Team,Date,Opponent,Location,Result,home_team,away_team,home_score,away_score,home_elo,away_elo
Florida,2024-02-18,Liberty,Home,W7 - 2,Florida,Liberty,7,2,1678.36,1511.59
Florida,2024-02-19,Liberty,Home,L4 - 6,Florida,Liberty,4,6,1678.36,1511.59
Florida,2024-02-20,Liberty,Home,L3 - 5,Florida,Liberty,3,5,1678.36,1511.59
Florida,2024-02-22,Stetson,Away,W8 - 1,Stetson,Florida,1,8,1398.89,1678.36
Florida,2024-02-23,North Florida,Home,W3 - 1,Florida,North Florida,3,1,1678.36,1362.42
Florida,2024-02-25,Georgia St.,Home,W4 - 1,Florida,Georgia St.,4,1,1678.36,1386.76
Florida,2024-02-26,Georgia St.,Home,W13 - 4,Florida,Georgia St.,13,4,1678.36,1386.76
Florida,2024-02-27,Georgia St.,Home,W12 - 1,Florida,Georgia St.,12,1,1678.36,1386.76
Florida,2024-03-01,North Florida,Away,W11 - 2,North Florida,Florida,2,11,1362.42,1678.36
Florida,2024-03-02,Florida A&M,Home,W17 - 0,Florida,Florida A&M,17,0,1678.36,1253.25
Florida,2024-03-04,Miami (FL),Away,L2 - 5,Miami (FL),Florida,5,2,1575.73,1678.36
Florida,2024-03-05,Miami (FL),Away,W8 - 1,Miami (FL),Florida,1,8,1575.73,1678.36
Florida,2024-03-06,Miami (FL),Away,W11 - 3,Miami (FL),Florida,3,11,1575.73,1678.36
Florida,2024-03-08,Jacksonville,Home,W1 - 0,Florida,Jacksonville,1,0,1678.36,1364.81
Florida,2024-03-12,Seton Hall,Home,W16 - 4,Florida,Seton Hall,16,4,1678.36,1274.24
Florida,2024-03-12,Seton Hall,Home,W11 - 9,Florida,Seton Hall,11,9,1678.36,1274.24
Florida,2024-03-13,Seton Hall,Home,L4 - 6,Florida,Seton Hall,4,6,1678.36,1274.24
Florida,2024-03-18,Alabama,Away,W6 - 4,Alabama,Florida,4,6,1567.28,1678.36
Florida,2024-03-19,Alabama,Away,W13 - 6,Alabama,Florida,6,13,1567.28,1678.36
Florida,2024-03-20,Alabama,Away,L7 - 8,Alabama,Florida,8,7,1567.28,1678.36
Florida,2024-03-22,Bethune-Cookman,Home,W3 - 2,Florida,Bethune-Cookman,3,2,1678.36,1246.09
Florida,2024-03-25,LSU,Home,W7 - 2,Florida,LSU,7,2,1678.36,1638.94
Florida,2024-03-26,LSU,Home,L4 - 16,Florida,LSU,4,16,1678.36,1638.94
Florida,2024-03-27,LSU,Home,L2 - 11,Florida,LSU,2,11,1678.36,1638.94
Florida,2024-03-29,Florida St.,Neutral,W6 - 3,Florida,Florida St.,6,3,1678.36,1575.46
Florida,2024-03-31,Georgia,Away,L6 - 7,Georgia,Florida,7,6,1560.16,1678.36
Florida,2024-04-01,Georgia,Away,L1 - 6,Georgia,Florida,6,1,1560.16,1678.36
Florida,2024-04-02,Georgia,Away,L8 - 14,Georgia,Florida,14,8,1560.16,1678.36
Florida,2024-04-05,Florida A&M,Home,W13 - 3,Florida,Florida A&M,13,3,1678.36,1253.25
Florida,2024-04-07,Arkansas,Home,L1 - 8,Florida,Arkansas,1,8,1678.36,1686.05
Florida,2024-04-08,Arkansas,Home,W7 - 2,Florida,Arkansas,7,2,1678.36,1686.05
Florida,2024-04-09,Arkansas,Home,W9 - 7,Florida,Arkansas,9,7,1678.36,1686.05
Florida,2024-04-12,Florida St.,Away,L0 - 5,Florida St.,Florida,5,0,1575.46,1678.36
Florida,2024-04-15,Vanderbilt,Away,L4 - 5,Vanderbilt,Florida,5,4,1614.82,1678.36
Florida,2024-04-16,Vanderbilt,Away,L6 - 8,Vanderbilt,Florida,8,6,1614.82,1678.36
Florida,2024-04-17,Vanderbilt,Away,W4 - 3(10 Innings),Vanderbilt,Florida,3,4,1614.82,1678.36
Florida,2024-04-19,Stetson,Home,W10 - 8,Florida,Stetson,10,8,1678.36,1398.89
Florida,2024-04-22,Tennessee,Home,L2 - 8,Florida,Tennessee,2,8,1678.36,1798.05
Florida,2024-04-23,Tennessee,Home,L0 - 3,Florida,Tennessee,0,3,1678.36,1798.05
Florida,2024-04-24,Tennessee,Home,L4 - 6(11 Innings),Florida,Tennessee,4,6,1678.36,1798.05
Florida,2024-04-29,Kentucky,Home,W9 - 2,Florida,Kentucky,9,2,1678.36,1604.55
