,Team,Date,Opponent,Location,Result,home_team,away_team,home_score,away_score,home_rating,away_rating,home_win_prob,Spread,elo_win_prob,PEAR,resume_quality,home_net,away_net,avg_net,TQ,WP,NED,GQI
0,Cleveland St.,2011-02-18,Longwood,Away,L3 - 8,Longwood,Cleveland St.,8,3,-2.79,-3.6,0.6049,1.11,50.0,Longwood -1.11,-0.904,219.0,275.0,247.0,0.15753424657534246,0.7902,0.8082191780821918,3.5
1,UTSA,2011-02-18,ULM,Away,L2 - 3,ULM,UTSA,3,2,-1.37,0.82,0.3262,-1.89,50.0,UTSA -1.89,-0.8452,161.0,126.0,143.5,0.511986301369863,0.6524,0.8801369863013698,5.8
2,Wake Forest,2011-02-18,LSU,Away,L4 - 15,LSU,Wake Forest,15,4,3.28,-0.22,0.8112999999999999,3.8,50.0,LSU -3.8,-0.47829999999999995,33.0,95.0,64.0,0.7842465753424658,0.3774000000000002,0.7876712328767124,7.0
3,Liberty,2011-02-18,Mercer,Away,L4 - 6,Mercer,Liberty,6,4,2.77,0.98,0.6904,2.09,50.0,Mercer -2.09,-0.5272,73.0,122.0,97.5,0.6695205479452054,0.6192,0.8321917808219178,6.8
4,Bucknell,2011-02-18,James Madison,Away,L7 - 37,James Madison,Bucknell,37,7,1.0,-2.41,0.8059000000000001,3.71,50.0,James Madison -3.71,-0.6875,111.0,244.0,177.5,0.3955479452054795,0.3881999999999999,0.5445205479452055,4.1
5,Florida A&M,2011-02-18,Jackson St.,Away,L4 - 13,Jackson St.,Florida A&M,13,4,-2.43,-4.72,0.7299,2.59,50.0,Jackson St. -2.59,-0.8913,259.0,282.0,270.5,0.07705479452054795,0.5402,0.9212328767123288,2.5
6,Illinois St.,2011-02-18,Belmont,Away,W9 - 4,Belmont,Illinois St.,4,9,1.63,2.34,0.4607,-0.41,50.0,Illinois St. -0.41,0.3667,87.0,64.0,75.5,0.7448630136986302,0.9214,0.9212328767123288,8.0
7,Southern Ill.,2011-02-18,Louisiana Tech,Away,L1 - 3,Louisiana Tech,Southern Ill.,3,1,1.09,-0.19,0.6470999999999999,1.58,50.0,Louisiana Tech -1.58,-0.6799999999999999,101.0,164.0,132.5,0.5496575342465754,0.7058000000000002,0.7842465753424658,6.0
8,Michigan,2011-02-18,Louisville,Neutral,L3 - 6,Louisville,Michigan,6,3,2.14,-1.17,0.7807999999999999,3.31,50.0,Louisville -3.31,-0.6144,98.0,223.0,160.5,0.4537671232876712,0.4384000000000001,0.571917808219178,4.6
9,UC Riverside,2011-02-18,LMU (CA),Away,L1 - 4,LMU (CA),UC Riverside,4,1,2.88,3.62,0.4579,-0.44,50.0,UC Riverside -0.44,-0.5166999999999999,50.0,56.0,53.0,0.821917808219178,0.9158,0.9794520547945206,8.6
10,Miami (OH),2011-02-18,Marshall,Neutral,L3 - 4,Marshall,Miami (OH),4,3,-0.59,0.76,0.37329999999999997,-1.35,50.0,Miami (OH) -1.35,-0.8195999999999999,174.0,152.0,163.0,0.4452054794520548,0.7465999999999999,0.9246575342465754,5.5
11,Evansville,2011-02-18,Memphis,Away,L9 - 13,Memphis,Evansville,13,9,1.55,1.16,0.5658,0.69,50.0,Memphis -0.69,-0.6404,99.0,119.0,109.0,0.6301369863013698,0.8684000000000001,0.9315068493150684,7.1
12,Ball St.,2011-02-18,Kennesaw St.,Away,L2 - 3,Kennesaw St.,Ball St.,3,2,1.01,-2.28,0.7986,3.59,50.0,Kennesaw St. -3.59,-0.6866,103.0,239.0,171.0,0.4178082191780822,0.40280000000000005,0.5342465753424658,4.3
13,Rutgers,2011-02-18,Miami (FL),Away,L1 - 2,Miami (FL),Rutgers,2,1,3.84,-0.15,0.8384,4.29,50.0,Miami (FL) -4.29,-0.4252,28.0,166.0,97.0,0.6712328767123288,0.32319999999999993,0.5273972602739726,5.9
14,Wright St.,2011-02-18,Ole Miss,Away,L6 - 15,Ole Miss,Wright St.,15,6,3.23,0.26,0.7781,3.27,50.0,Ole Miss -3.27,-0.4831,43.0,137.0,90.0,0.6952054794520548,0.4438,0.678082191780822,6.4
15,UT Arlington,2011-02-18,Houston,Away,L5 - 15,Houston,UT Arlington,15,5,1.97,0.96,0.6231,1.31,50.0,Houston -1.31,-0.6025,62.0,102.0,82.0,0.7226027397260274,0.7538,0.863013698630137,7.4
16,Oral Roberts,2011-02-18,Baylor,Away,W7 - 3,Baylor,Oral Roberts,3,7,3.25,2.21,0.6258,1.34,50.0,Baylor -1.34,0.5188,32.0,83.0,57.5,0.8065068493150684,0.7484,0.8253424657534246,8.0
17,Saint Joseph's,2011-02-18,Old Dominion,Away,L5 - 7,Old Dominion,Saint Joseph's,7,5,-1.15,-2.93,0.6896,2.08,50.0,Old Dominion -2.08,-0.8339,181.0,250.0,215.5,0.2654109589041096,0.6208,0.7636986301369864,3.9
18,Bryant,2011-02-18,Oklahoma St.,Away,L0 - 8,Oklahoma St.,Bryant,8,0,2.98,-1.36,0.8558,4.64,50.0,Oklahoma St. -4.64,-0.5071,34.0,185.0,109.5,0.6284246575342466,0.2884,0.48287671232876717,5.5
19,William & Mary,2011-02-18,Oklahoma,Away,L1 - 7,Oklahoma,William & Mary,7,1,4.36,-1.13,0.9022,5.79,50.0,Oklahoma -5.79,-0.37729999999999997,21.0,198.0,109.5,0.6284246575342466,0.1956,0.3938356164383562,5.2
20,BYU,2011-02-18,Northwestern St.,Away,L7 - 8,Northwestern St.,BYU,8,7,0.32,2.26,0.3477,-1.64,50.0,BYU -1.64,-0.7405999999999999,147.0,74.0,110.5,0.625,0.6954,0.75,6.5
21,North Florida,2011-02-18,Charleston So.,Away,W12 - 8,Charleston So.,North Florida,8,12,-0.67,0.36,0.4304,-0.73,50.0,North Florida -0.73,0.19320000000000004,175.0,148.0,161.5,0.4503424657534247,0.8608,0.9075342465753424,5.8
22,Jacksonville,2011-02-18,UNCW,Away,L7 - 20,UNCW,Jacksonville,20,7,-0.35,1.63,0.3442,-1.68,50.0,Jacksonville -1.68,-0.7869,159.0,75.0,117.0,0.6027397260273972,0.6884,0.7123287671232876,6.3
23,Elon,2011-02-18,NC State,Away,L4 - 17,NC State,Elon,17,4,3.37,1.72,0.6788,1.95,50.0,NC State -1.95,-0.4697,49.0,70.0,59.5,0.7996575342465754,0.6424000000000001,0.928082191780822,7.8
24,Notre Dame,2011-02-18,Michigan St.,Neutral,L1 - 2,Michigan St.,Notre Dame,2,1,1.6,0.07,0.6426999999999999,1.53,50.0,Michigan St. -1.53,-0.6622,100.0,158.0,129.0,0.5616438356164384,0.7146000000000001,0.8013698630136986,6.2
25,Delaware,2011-02-18,UNC Greensboro,Away,L3 - 7,UNC Greensboro,Delaware,7,3,0.32,-1.33,0.6788,1.95,50.0,UNC Greensboro -1.95,-0.7405999999999999,107.0,191.0,149.0,0.4931506849315068,0.6424000000000001,0.7123287671232876,5.4
26,Campbell,2011-02-18,N.C. A&T,Away,L9 - 14,N.C. A&T,Campbell,14,9,-3.52,-3.1,0.4885,-0.12,50.0,Campbell -0.12,-0.9257,268.0,245.0,256.5,0.125,0.977,0.9212328767123288,3.8
27,Murray St.,2011-02-18,UNC Asheville,Away,L11 - 15,UNC Asheville,Murray St.,15,11,-3.47,-2.55,0.44079999999999997,-0.62,50.0,Murray St. -0.62,-0.9244,260.0,252.0,256.0,0.1267123287671233,0.8815999999999999,0.9726027397260274,3.6
28,Cal Poly,2011-02-18,North Carolina,Neutral,L1 - 2,North Carolina,Cal Poly,2,1,4.38,2.4,0.6812999999999999,1.98,50.0,North Carolina -1.98,-0.4028,6.0,61.0,33.5,0.8886986301369864,0.6374000000000002,0.8116438356164384,8.3
29,Grambling,2011-02-18,Nicholls,Neutral,L2 - 5,Nicholls,Grambling,5,2,0.26,-3.29,0.7961,3.55,50.0,Nicholls -3.55,-0.7663,131.0,256.0,193.5,0.3407534246575342,0.40779999999999994,0.571917808219178,3.8
