Rank,Name,G,W-L,AB,H
1,Texas,69,47-22,2396,753
2,Georgia Tech,60,36-24,2235,730
3,Stanford,65,47-18,2317,716
4,UNLV,58,36-22,2185,713
5,Louisville,64,42-21-1,2294,709
6,Tennessee,66,57-9,2283,704
7,Wake Forest,61,41-19-1,2200,702
8,Rutgers,59,44-15,2189,701
9,UNC Greensboro,64,34-30,2279,700
10,Air Force,61,32-29,2235,697
11,UConn,66,50-16,2330,694
12,Oregon St.,66,48-18,2310,683
13,Maryland,62,48-14,2215,682
14,Oklahoma,69,45-24,2312,678
15,Kennesaw St.,64,36-28,2245,675
16,Grand Canyon,62,41-21,2186,672
17,Oregon,61,36-25,2160,670
18,Oklahoma St.,64,42-22,2245,668
19,North Carolina,64,42-22,2288,655
20,Virginia Tech,59,45-14,2105,651
21,Arizona,64,39-25,2253,644
,East Carolina,67,46-21,2264,644
23,Auburn,65,43-22,2251,637
,Texas A&M,64,44-20,2201,637
25,Richmond,56,30-26,2057,636
26,Xavier,60,33-27,2108,631
27,Virginia,58,39-19,2038,629
28,Arkansas,67,46-21,2277,628
29,Campbell,60,41-19,2084,624
30,Southern Ill.,60,44-16,2106,623
31,Tennessee Tech,57,30-27,2055,622
,Oral Roberts,58,38-20,2053,622
33,Texas Tech,61,39-22,2144,621
34,UTSA,58,38-20,2041,620
35,UCLA,64,40-24,2222,619
36,Old Dominion,58,41-17,2094,618
37,Southern Miss.,66,47-19,2233,617
38,Michigan,62,34-28,2170,616
,LSU,62,40-22,2133,616
40,Ga. Southern,61,41-20,2079,615
41,Grambling,57,26-31,1952,613
42,McNeese,57,34-23,2010,612
43,Wofford,59,42-16-1,1940,611
,FGCU,58,35-23,2068,611
45,Ole Miss,65,42-23,2191,610
,Abilene Christian,59,30-29,2074,610
,Nevada,55,29-26,1981,610
,Arizona St.,58,26-32,2056,610
49,Texas St.,61,47-14,2078,609
50,Missouri St.,60,31-29,2106,608
51,Florida,66,42-24,2224,607
52,Louisiana Tech,64,43-21,2187,605
53,Fresno St.,55,27-28,1975,604
54,USC Upstate,58,35-22-1,2039,603
55,Vanderbilt,62,39-23,2101,600
,Sam Houston,56,31-25,1961,600
57,Central Mich.,62,43-19,2021,597
,Miami (FL),60,40-20,2073,597
,Charlotte,58,36-22,2031,597
60,NC State,57,36-21,2027,595
61,San Jose St.,59,30-29,2086,594
,Notre Dame,58,41-17,2041,594
63,Cal Poly,58,37-21,2042,592
,Davidson,56,43-13,1953,592
,VCU,62,42-20,2139,592
66,Saint Joseph's,54,29-25,1941,588
,New Mexico St.,58,24-34,1999,588
68,Houston,61,37-24,2059,587
69,Louisiana,60,37-23,2034,585
,SIUE,55,27-28,1934,585
71,Alabama St.,59,34-25,2028,584
,UCF,60,35-25,2020,584
73,Georgia,59,36-23,2052,583
,Fla. Atlantic,58,35-23,2033,583
75,Prairie View,57,30-27,1915,582
76,Mercer,58,40-18,2007,572
,Canisius,54,29-25,1939,572
78,UC Santa Barbara,58,44-14,2013,571
79,California,56,29-27,1981,570
,Clemson,58,35-23,2025,570
81,Indiana,59,27-32,2047,569
,Belmont,59,39-20,2006,569
83,Lamar University,58,37-21,1998,566
,Army West Point,56,31-25,1893,566
,Coastal Carolina,60,39-20-1,1964,566
,Ball St.,59,40-19,1918,566
87,San Diego,57,37-20,1975,565
88,Western Caro.,58,26-31-1,2002,564
,UMass Lowell,58,28-30,2018,564
90,UTRGV,58,33-25,1940,563
91,Liberty,60,37-23,2067,557
,Wright St.,57,30-27,1967,557
93,Alabama,58,31-27,1991,555
,Georgia St.,57,30-27,1935,555
,Austin Peay,56,19-37,1938,555
96,South Alabama,54,31-23,1886,554
,Kentucky,59,33-26,2003,554
98,Tulane,60,33-26-1,2026,552
99,Texas Southern,53,28-25,1732,550
100,Morehead St.,54,27-27,1852,549
,New Mexico,54,21-33,1911,549
102,Gonzaga,56,37-19,1992,548
