Rank,Name,G,W-L,SH
1,Jackson St.,56,29-27,69
2,Ga. Southern,61,41-20,59
3,Wofford,59,42-16-1,56
4,Coastal Carolina,60,39-20-1,49
,The Citadel,57,26-31,49
6,East Carolina,67,46-21,48
7,UC Irvine,56,32-24,47
8,VCU,62,42-20,43
9,UIC,47,22-25,42
,Lipscomb,58,35-23,42
,UNCW,55,31-24,42
12,Utah,54,26-27-1,41
13,Central Ark.,53,24-29,40
14,Maine,49,27-22,39
,Central Mich.,62,43-19,39
,Hawaii,52,28-24,39
17,George Mason,56,23-33,38
,Oregon St.,66,48-18,38
,Northeastern,61,31-29-1,38
,Bethune-Cookman,59,27-32,38
21,Alabama St.,59,34-25,37
,Seton Hall,53,18-35,37
,ULM,56,20-35-1,37
,Morehead St.,54,27-27,37
,Louisiana,60,37-23,37
26,San Diego St.,56,18-38,36
,Mercer,58,40-18,36
28,Elon,55,27-28,35
,Eastern Ill.,53,33-20,35
,Oklahoma,69,45-24,35
,Texas,69,47-22,35
,Longwood,53,20-33,35
33,UCF,60,35-25,34
,St. Bonaventure,44,May-39,34
,Richmond,56,30-26,34
36,Fresno St.,55,27-28,33
,South Alabama,54,31-23,33
,NIU,54,14-40,33
,North Dakota St.,50,31-19,33
,N.C. A&T,53,15-38,33
41,Kennesaw St.,64,36-28,32
,UMES,54,17-37,32
,CSUN,54,32-22,32
,Bradley,49,20-29,32
,Bowling Green,52,18-34,32
46,Liberty,60,37-23,31
,Northern Ky.,54,19-35,31
,Vanderbilt,62,39-23,31
49,Fordham,52,16-36,30
,Villanova,49,19-29-1,30
,UCLA,64,40-24,30
52,Col. of Charleston,57,37-20,29
,Houston Christian,54,18-36,29
,Long Beach St.,56,29-27,29
,Western Mich.,54,18-36,29
,Nebraska,53,23-30,29
,Southeastern La.,61,30-31,29
,Southern Miss.,66,47-19,29
,Southern U.,58,27-31,29
,Southeast Mo. St.,59,37-22,29
61,USC Upstate,58,35-22-1,28
,James Madison,53,27-26,28
,Akron,56,15-41,28
,Coppin St.,54,24-30,28
