Rank,Name,G,W-L,R
248,San Diego St.,56,18-38,275
249,Cal St. Fullerton,55,22-33,273
,Villanova,49,19-29-1,273
,South Dakota St.,45,22-23,273
252,Sacred Heart,53,Dec-41,272
,Minnesota,52,16-36,272
254,Elon,55,27-28,270
255,Santa Clara,53,24-29,269
256,Pacific,52,14-38,266
257,Radford,48,15-33,265
258,App State,53,20-33,264
259,Towson,53,14-39,262
,Hartford,50,13-37,262
261,Illinois St.,51,20-31,261
262,Mississippi Val.,42,10/31/2001,258
,Houston Christian,54,18-36,258
264,Pepperdine,50,24-26,257
265,Purdue Fort Wayne,54,18-36,255
,Western Ill.,52,Aug-44,255
267,CSU Bakersfield,52,18-34,253
268,Youngstown St.,57,21-36,251
269,Alabama A&M,49,14-35,249
270,Siena,48,Nov-37,246
271,Northern Colo.,51,Dec-39,244
272,Akron,56,15-41,239
,Navy,45,19-26,239
274,Harvard,41,19-22,236
,UT Arlington,54,15-39,236
,Norfolk St.,47,15-32,236
277,FIU,50,16-34,234
278,Arkansas St.,49,Nov-38,232
279,Lafayette,50,15-35,231
280,Saint Peter's,50,Sep-41,229
281,UT Martin,45,Nov-34,227
282,Holy Cross,54,17-37,226
283,Seton Hall,53,18-35,225
284,Yale,38,20-18,217
,Princeton,40,Jul-33,217
286,Valparaiso,48,16-32,213
,Cornell,36,25-Nov,213
288,UC Riverside,53,Aug-45,187
289,Brown,36,13-23,183
290,UC Davis,41,Jun-35,171
291,St. Bonaventure,44,May-39,158
292,Iona,47,Jun-41,157
293,Alcorn,41,Feb-39,137
NR,California Baptist,56,36-20,455
NR,Utah Tech,55,22-33,348
NR,UC San Diego,56,24-32,327
NR,Tarleton St.,53,17-36,326
NR,Bellarmine,54,Nov-43,280
NR,North Ala.,53,Dec-41,272
NR,Merrimack,49,17-31-1,255
NR,St. Thomas (MN),45,16-29,174
      ,,,,
