Rank,Name,G,W-L,IP,HA,PG
1,Tennessee,66,57-9,594.2,428,6.48
2,Iowa,55,36-19,489.1,374,6.88
3,Vanderbilt,62,39-23,545,449,7.41
4,Davidson,56,43-13,497,415,7.52
5,Ball St.,59,40-19,478,402,7.57
6,Arkansas,67,46-21,591,505,7.69
7,Penn,48,33-15,420.2,361,7.72
8,Southern Miss.,66,47-19,596.1,512,7.73
9,Rutgers,59,44-15,523,451,7.76
10,Notre Dame,58,41-17,517.2,447,7.77
11,Northeastern,61,31-29-1,533.1,469,7.91
12,Virginia,58,39-19,511.2,450,7.92
13,Long Beach St.,56,29-27,496,438,7.95
14,Lipscomb,58,35-23,511,453,7.98
15,UC Santa Barbara,58,44-14,519,463,8.03
16,Florida,66,42-24,587,527,8.08
17,Florida St.,59,34-25,534,480,8.09
18,Texas,69,47-22,603.1,545,8.13
19,Ole Miss,65,42-23,564.1,510,8.13
20,Wake Forest,61,41-19-1,536.1,491,8.24
21,Oklahoma St.,64,42-22,571,523,8.24
22,Oral Roberts,58,38-20,506,465,8.27
23,UCLA,64,40-24,577,531,8.28
24,LSU,62,40-22,546,504,8.31
25,Campbell,60,41-19,534,493,8.31
26,Col. of Charleston,57,37-20,498.1,461,8.33
27,William & Mary,49,26-23,429.1,398,8.34
28,Gonzaga,56,37-19,504.1,468,8.35
29,Portland,55,32-23,481,447,8.36
30,Stanford,65,47-18,581,540,8.36
31,Jacksonville,55,27-28,492,458,8.38
32,Charlotte,58,36-22,516.2,483,8.41
33,Oregon St.,66,48-18,594.2,556,8.41
34,Maryland,62,48-14,557,521,8.42
35,East Carolina,67,46-21,597.1,559,8.42
36,Ga. Southern,61,41-20,539,506,8.45
37,VCU,62,42-20,550.2,520,8.5
38,Belmont,59,39-20,516,489,8.53
39,South Alabama,54,31-23,476,452,8.55
40,Texas St.,61,47-14,538.1,512,8.56
41,McNeese,57,34-23,506.1,482,8.57
42,UCF,60,35-25,522.2,499,8.59
43,Miami (FL),60,40-20,534,510,8.6
44,Louisiana,60,37-23,532.1,510,8.62
45,Louisiana Tech,64,43-21,567.2,545,8.64
46,Auburn,65,43-22,579,560,8.7
47,Alabama,58,31-27,511.1,495,8.71
48,UNCW,55,31-24,488.1,473,8.72
49,TCU,60,38-22,525.1,509,8.72
50,UConn,66,50-16,592.1,575,8.74
51,Hofstra,53,30-23,471,459,8.77
52,Army West Point,56,31-25,469.2,458,8.78
53,Texas Tech,61,39-22,539.1,528,8.81
54,BYU,54,33-21,479.1,470,8.82
55,San Diego St.,56,18-38,499.1,491,8.85
56,Youngstown St.,57,21-36,473.1,466,8.86
57,Clemson,58,35-23,510.2,503,8.86
58,DBU,59,34-24-1,514.1,507,8.87
59,Delaware,51,25-26,444.1,438,8.87
60,Virginia Tech,59,45-14,531,524,8.88
61,Washington,56,30-26,495.1,489,8.88
62,Eastern Ky.,58,38-20,510.1,505,8.91
63,Washington St.,53,27-26,466.2,462,8.91
64,UTSA,58,38-20,502,497,8.91
65,Oregon,61,36-25,539,534,8.92
66,Central Mich.,62,43-19,512.2,508,8.92
67,Illinois St.,51,20-31,449.2,446,8.93
68,NC State,57,36-21,512.1,509,8.94
69,Saint Mary's (CA),55,25-30,474.1,472,8.96
70,Creighton,49,31-18,430,428,8.96
71,North Carolina,64,42-22,577.1,575,8.96
72,Kentucky,59,33-26,513,512,8.98
73,Coastal Carolina,60,39-20-1,518,517,8.98
74,Georgia,59,36-23,519,518,8.98
75,UC Irvine,56,32-24,506.1,506,8.99
76,Northwestern St.,54,25-29,458,458,9
,Liberty,60,37-23,535,535,9
78,Louisville,64,42-21-1,575.1,576,9.01
79,West Virginia,55,33-22,479.1,480,9.01
80,Nebraska,53,23-30,458,459,9.02
81,Jackson St.,56,29-27,468.1,471,9.05
82,South Dakota St.,45,22-23,380.2,383,9.06
83,Old Dominion,58,41-17,524.2,528,9.06
84,Mississippi St.,56,26-30,489.2,494,9.08
85,Harvard,41,19-22,357,361,9.1
86,Seton Hall,53,18-35,457.1,463,9.11
87,Grand Canyon,62,41-21,541,548,9.12
88,Canisius,54,29-25,465.2,472,9.12
89,Duke,54,22-32,478,485,9.13
90,Pepperdine,50,24-26,445.1,452,9.13
91,Troy,56,32-24,496,504,9.15
92,Houston,61,37-24,539,548,9.15
93,Fairfield,52,31-21,458.2,467,9.16
94,Indiana St.,49,26-22-1,432,440,9.17
95,South Carolina,55,27-28,479,489,9.19
96,Illinois,53,31-22,468.2,479,9.2
97,Lamar University,58,37-21,512,524,9.21
98,CSUN,54,32-22,479.2,491,9.21
99,Tulane,60,33-26-1,520.1,535,9.25
100,Texas A&M,64,44-20,566,582,9.25
101,James Madison,53,27-26,462.1,476,9.27
102,Xavier,60,33-27,514.1,530,9.27
103,Missouri,51,28-23,438.1,453,9.3
104,Stetson,55,26-29,492,509,9.31
105,Toledo,58,33-25,478.1,497,9.35
106,Alabama St.,59,34-25,512.2,533,9.36
107,Nicholls,51,26-25,440,458,9.37
108,Bethune-Cookman,59,27-32,513,534,9.37
109,Marshall,55,20-34-1,478.1,499,9.39
110,Kansas St.,58,29-29,506.2,529,9.4
111,ETSU,51,30-21,449,469,9.4
112,LIU,58,37-21,516.2,540,9.41
113,San Diego,57,37-20,513.2,537,9.41
114,Kennesaw St.,64,36-28,554.2,581,9.43
115,Georgetown,56,32-24,495,520,9.45
116,Arizona,64,39-25,569.2,600,9.48
117,George Mason,56,23-33,489,516,9.5
118,Fla. Atlantic,58,35-23,513.1,542,9.5
119,New Orleans,53,30-23,464,490,9.5
120,Bradley,49,20-29,416,440,9.52
121,Delaware St.,48,25-23,370.2,393,9.54
122,Cal St. Fullerton,55,22-33,477.2,507,9.55
123,Georgia St.,57,30-27,495.1,526,9.56
124,Wofford,59,42-16-1,512.1,545,9.57
125,Cal Poly,58,37-21,517.1,551,9.59
126,Memphis,55,26-29,478.1,510,9.6
127,St. John's (NY),55,22-32-1,466,497,9.6
128,Mercer,58,40-18,515.1,550,9.61
129,California,56,29-27,497.1,531,9.61
130,The Citadel,57,26-31,495.1,529,9.61
131,Richmond,56,30-26,503.2,538,9.61
132,UAlbany,47,22-25,399.1,427,9.62
133,Oklahoma,69,45-24,614.1,659,9.65
134,Ohio St.,51,21-30,445.1,478,9.66
135,Wichita St.,57,21-36,497.2,535,9.68
136,Santa Clara,53,24-29,464,499,9.68
137,Hawaii,52,28-24,464.2,500,9.68
138,FGCU,58,35-23,511.2,551,9.69
139,UAB,56,31-25,484.2,522,9.69
140,Elon,55,27-28,488.1,526,9.69
141,Monmouth,51,24-27,444.1,479,9.7
142,Norfolk St.,47,15-32,374.2,404,9.7
143,Omaha,57,26-31,498.2,538,9.71
144,App State,53,20-33,465,502,9.72
145,Southern California,53,25-28,467.1,506,9.74
146,Fresno St.,55,27-28,493.2,535,9.75
147,Central Conn. St.,47,29-18,415,450,9.76
148,Samford,57,28-29,491,533,9.77
149,San Francisco,57,28-29,516.1,561,9.78
150,Jacksonville St.,55,27-28,487.2,530,9.78
151,USC Upstate,58,35-22-1,513.1,558,9.78
152,Middle Tenn.,55,29-26,479.2,522,9.79
153,Central Ark.,53,24-29,466.1,508,9.8
154,Miami (OH),56,23-33,464.1,506,9.81
155,Sacramento St.,58,32-26,500,546,9.83
156,Indiana,59,27-32,512.2,560,9.83
157,Southern Ill.,60,44-16,530,580,9.85
158,Dayton,50,23-27,434,476,9.87
159,Missouri St.,60,31-29,518.1,569,9.88
160,North Florida,55,22-33,477,525,9.91
161,Yale,38,20-18,334.1,368,9.91
162,ULM,56,20-35-1,487.1,537,9.92
163,UNC Asheville,51,21-29-1,441,487,9.94
164,Penn St.,55,26-29,490,542,9.96
165,Brown,36,13-23,310.1,344,9.98
166,FDU,54,24-30,473.2,526,9.99
167,Coppin St.,54,24-30,440,489,10
168,Baylor,54,26-28,469.2,522,10
169,Binghamton,52,22-30,450.1,501,10.01
170,Minnesota,52,16-36,455.1,507,10.02
171,UNC Greensboro,64,34-30,557,621,10.03
172,Tennessee Tech,57,30-27,500,560,10.08
173,Murray St.,55,30-25,486.2,546,10.1
174,UMass Lowell,58,28-30,509.2,572,10.1
175,Stony Brook,52,27-25,448,503,10.1
176,Purdue,50,29-21,450.2,507,10.13
177,Bucknell,48,22-26,399.2,450,10.13
178,Abilene Christian,59,30-29,511.1,576,10.14
179,NJIT,53,26-27,458,516,10.14
180,Marist,46,29-17,399.1,450,10.14
181,George Washington,52,22-30,454.1,513,10.16
182,South Fla.,57,28-29,494.2,559,10.17
183,UTRGV,58,33-25,490,554,10.18
184,Lehigh,50,26-24,411,465,10.18
185,Evansville,56,32-24,481.1,545,10.19
186,Columbia,50,32-18,432.1,490,10.2
187,North Dakota St.,50,31-19,424,481,10.21
188,Bryant,57,30-27,500.1,568,10.22
189,Little Rock,51,24-27,442,502,10.22
190,Grambling,57,26-31,465.2,530,10.24
191,Villanova,49,19-29-1,419.1,478,10.26
192,Eastern Ill.,53,33-20,456.1,521,10.28
193,Western Caro.,58,26-31-1,509.2,582,10.28
194,San Jose St.,59,30-29,517.1,591,10.28
195,SIUE,55,27-28,466.1,533,10.29
196,Niagara,54,22-32,466,533,10.29
197,Dartmouth,43,24-19,374,428,10.3
198,Southeast Mo. St.,59,37-22,516.1,591,10.3
199,Maine,49,27-22,426.1,488,10.3
200,Oakland,58,31-27,486.2,558,10.32
201,Kent St.,53,24-29,444.1,510,10.33
202,High Point,56,23-33,487.2,561,10.35
203,Gardner-Webb,60,24-36,514,592,10.37
204,Pittsburgh,56,29-27,489.2,564,10.37
205,FIU,50,16-34,444,512,10.38
206,Eastern Mich.,56,22-34,454,524,10.39
207,Rice,56,17-39,485.2,561,10.4
208,Radford,48,15-33,418.1,485,10.43
209,Sam Houston,56,31-25,484.2,562,10.44
210,UMBC,55,23-32,479.1,558,10.48
211,UIC,47,22-25,402,468,10.48
212,Rhode Island,55,20-35,473.2,552,10.49
213,Milwaukee,50,20-30,418,489,10.53
214,CSU Bakersfield,52,18-34,462.1,541,10.53
215,Michigan St.,54,24-30,470.2,551,10.54
216,Prairie View,57,30-27,472.1,553,10.54
217,Saint Joseph's,54,29-25,471.1,552,10.54
218,Wright St.,57,30-27,489,573,10.55
219,Morehead St.,54,27-27,461.2,541,10.55
220,Boston College,53,19-34,463.1,543,10.55
221,A&M-Corpus Christi,55,27-28,474.1,556,10.55
222,Utah,54,26-27-1,473.1,555,10.55
223,Texas Southern,53,28-25,431,506,10.57
224,Valparaiso,48,16-32,397.2,467,10.57
225,Rider,54,28-26,472,555,10.58
226,Pacific,52,14-38,448.2,528,10.59
227,Southern U.,58,27-31,478,565,10.64
228,Fordham,52,16-36,451,536,10.7
229,UT Arlington,54,15-39,462.1,551,10.73
230,Cincinnati,55,24-31,469.1,560,10.74
231,Arkansas St.,49,Nov-38,420.2,502,10.74
232,UIW,52,21-31,449.1,537,10.76
233,Houston Christian,54,18-36,446.1,534,10.77
234,Georgia Tech,60,36-24,530.1,635,10.78
235,Charleston So.,54,24-30,457.1,548,10.78
236,Florida A&M,59,29-30,503,604,10.81
237,Nevada,55,29-26,487.2,586,10.81
238,LMU (CA),55,20-34-1,495,595,10.82
239,Wagner,51,17-34,430,517,10.82
240,Southeastern La.,61,30-31,535,644,10.83
241,N.C. A&T,53,15-38,468.1,564,10.84
242,Air Force,61,32-29,534.1,645,10.86
243,Michigan,62,34-28,542.2,656,10.88
244,Northwestern,51,24-27,427,517,10.9
,Manhattan,50,24-26,427,517,10.9
246,Western Ky.,54,18-36,464,563,10.92
247,Cornell,36,25-Nov,310.1,377,10.93
248,Arizona St.,58,26-32,511,621,10.94
249,Navy,45,19-26,371,451,10.94
250,UMES,54,17-37,420.2,512,10.95
251,Northern Ky.,54,19-35,452,552,10.99
252,Saint Louis,53,29-24,454.1,558,11.05
253,Utah Valley,55,18-37,456.1,562,11.08
254,NIU,54,14-40,421.2,520,11.1
255,Presbyterian,54,22-32,468.1,578,11.11
256,Longwood,53,20-33,462,573,11.16
257,Purdue Fort Wayne,54,18-36,452,561,11.17
258,Butler,56,20-35-1,482,599,11.18
259,Winthrop,52,18-34,452.1,563,11.2
260,Lafayette,50,15-35,403,502,11.21
261,UT Martin,45,Nov-34,385.2,482,11.25
262,VMI,56,16-40,481,602,11.26
263,Towson,53,14-39,454,569,11.28
264,Kansas,55,20-35,474.2,596,11.3
265,Austin Peay,56,19-37,480.1,610,11.43
266,Ohio,53,29-24,436,555,11.46
267,Western Ill.,52,Aug-44,431,553,11.55
268,Quinnipiac,48,15-33,410.1,530,11.62
269,Mount St. Mary's,48,14-34,407,530,11.72
270,UNLV,58,36-22,520.1,681,11.78
271,Hartford,50,13-37,429.2,563,11.79
272,Holy Cross,54,17-37,444,583,11.82
273,Sacred Heart,53,Dec-41,448.1,589,11.82
274,UC Riverside,53,Aug-45,444.2,585,11.84
275,UC Davis,41,Jun-35,355.1,468,11.85
276,Siena,48,Nov-37,404,536,11.94
277,Princeton,40,Jul-33,341.2,454,11.96
278,New Mexico St.,58,24-34,500,665,11.97
279,Seattle U,50,16-34,432.1,577,12.01
280,SFA,52,15-37,432.1,583,12.14
281,Alabama A&M,49,14-35,409.2,555,12.19
282,Ark.-Pine Bluff,50,13-36-1,399.1,547,12.33
283,Iona,47,Jun-41,388.1,535,12.4
284,Mississippi Val.,42,10/31/2001,321,443,12.42
285,Bowling Green,52,18-34,407.2,563,12.43
286,Massachusetts,49,22-26-1,421.1,585,12.5
287,St. Bonaventure,44,May-39,370.2,517,12.55
288,Akron,56,15-41,444.2,622,12.59
289,Western Mich.,54,18-36,425.2,608,12.86
290,Northern Colo.,51,Dec-39,406.2,601,13.3
291,New Mexico,54,21-33,466,745,14.39
292,Saint Peter's,50,Sep-41,403,652,14.56
293,Alcorn,41,Feb-39,281,483,15.47
NR,St. Thomas (MN),45,16-29,381.2,357,8.42
NR,California Baptist,56,36-20,482,493,9.21
NR,UC San Diego,56,24-32,493.2,512,9.33
NR,Bellarmine,54,Nov-43,460.2,556,10.86
NR,Tarleton St.,53,17-36,447.1,570,11.47
NR,Utah Tech,55,22-33,465.1,609,11.78
NR,Merrimack,49,17-31-1,414.2,546,11.85
NR,North Ala.,53,Dec-41,440.1,607,12.41
