Rank,Name,G,W-L,HBP
1,Southeastern La.,61,30-31,130
2,LSU,62,40-22,125
3,Campbell,60,41-19,121
4,Purdue,50,29-21,112
,FGCU,58,35-23,112
6,Southern U.,58,27-31,111
7,UCLA,64,40-24,106
8,Maryland,62,48-14,105
9,VCU,62,42-20,103
,Bryant,57,30-27,103
,Grambling,57,26-31,103
,USC Upstate,58,35-22-1,103
13,Louisiana Tech,64,43-21,102
,Davidson,56,43-13,102
,Rhode Island,55,20-35,102
16,UC Irvine,56,32-24,101
17,Air Force,61,32-29,100
,Southern Miss.,66,47-19,100
19,Nevada,55,29-26,99
20,Louisville,64,42-21-1,97
,Central Ark.,53,24-29,97
,Texas Southern,53,28-25,97
,Oklahoma,69,45-24,97
,UMass Lowell,58,28-30,97
,FDU,54,24-30,97
26,Western Caro.,58,26-31-1,94
,Charleston So.,54,24-30,94
,Prairie View,57,30-27,94
29,San Francisco,57,28-29,93
30,Abilene Christian,59,30-29,92
,Ga. Southern,61,41-20,92
,A&M-Corpus Christi,55,27-28,92
33,Wofford,59,42-16-1,91
,Missouri,51,28-23,91
35,Central Mich.,62,43-19,90
,Rutgers,59,44-15,90
,McNeese,57,34-23,90
38,UTSA,58,38-20,89
,UConn,66,50-16,89
,Alabama St.,59,34-25,89
41,LMU (CA),55,20-34-1,88
,Radford,48,15-33,88
43,Northeastern,61,31-29-1,87
,Nebraska,53,23-30,87
,Canisius,54,29-25,87
,UC Santa Barbara,58,44-14,87
47,Northwestern St.,54,25-29,86
,Samford,57,28-29,86
,Iowa,55,36-19,86
50,Texas Tech,61,39-22,85
,San Diego,57,37-20,85
,Georgia Tech,60,36-24,85
,North Carolina,64,42-22,85
,Michigan,62,34-28,85
55,Richmond,56,30-26,84
,Texas,69,47-22,84
,UMBC,55,23-32,84
58,Western Ill.,52,Aug-44,83
,Liberty,60,37-23,83
,Hawaii,52,28-24,83
61,Creighton,49,31-18,82
,Miami (OH),56,23-33,82
,Coastal Carolina,60,39-20-1,82
64,Dayton,50,23-27,81
,Maine,49,27-22,81
,William & Mary,49,26-23,81
,Western Mich.,54,18-36,81
,CSUN,54,32-22,81
69,George Mason,56,23-33,80
,Auburn,65,43-22,80
71,Florida St.,59,34-25,79
,Troy,56,32-24,79
,Boston College,53,19-34,79
,Lamar University,58,37-21,79
,Gardner-Webb,60,24-36,79
,UT Arlington,54,15-39,79
,UTRGV,58,33-25,79
78,Eastern Mich.,56,22-34,78
,South Alabama,54,31-23,78
,South Fla.,57,28-29,78
,Indiana St.,49,26-22-1,78
82,UCF,60,35-25,77
,Jackson St.,56,29-27,77
,Middle Tenn.,55,29-26,77
,Duke,54,22-32,77
86,Illinois,53,31-22,76
,Evansville,56,32-24,76
,Villanova,49,19-29-1,76
89,Georgetown,56,32-24,75
,UNCW,55,31-24,75
91,Missouri St.,60,31-29,74
,Nicholls,51,26-25,74
93,Texas A&M,64,44-20,73
,Wagner,51,17-34,73
,Fla. Atlantic,58,35-23,73
,Butler,56,20-35-1,73
,Fordham,52,16-36,73
,New Orleans,53,30-23,73
99,Bethune-Cookman,59,27-32,72
,Utah,54,26-27-1,72
,Arkansas,67,46-21,72
,Notre Dame,58,41-17,72
,Coppin St.,54,24-30,72
,Arizona,64,39-25,72
105,Oklahoma St.,64,42-22,71
,West Virginia,55,33-22,71
,Tulane,60,33-26-1,71
,Sam Houston,56,31-25,71
109,James Madison,53,27-26,70
