Rank,Name,G,W-L,AB,H,BB,HBP,SF,SH,PCT
210,Navy,45,19-26,1467,378,181,57,13,15,0.359
211,Louisiana,60,37-23,2034,585,176,64,27,37,0.359
212,Marshall,55,20-34-1,1919,518,234,44,24,8,0.358
213,Villanova,49,19-29-1,1625,396,221,76,12,30,0.358
214,Wagner,51,17-34,1678,432,201,73,20,17,0.358
215,Penn St.,55,26-29,1891,501,237,46,17,8,0.358
216,Jacksonville,55,27-28,1846,473,235,68,22,25,0.357
217,Presbyterian,54,22-32,1830,491,222,50,35,19,0.357
218,Niagara,54,22-32,1864,497,212,62,22,8,0.357
219,Harvard,41,19-22,1448,398,149,42,12,15,0.357
220,Washington St.,53,27-26,1795,475,207,60,19,26,0.357
221,BYU,54,33-21,1852,492,208,66,23,11,0.356
222,South Dakota St.,45,22-23,1522,389,185,60,12,9,0.356
223,Gardner-Webb,60,24-36,2002,502,259,79,21,27,0.356
224,Gonzaga,56,37-19,1992,548,201,62,25,24,0.356
225,Delaware,51,25-26,1742,483,199,23,18,22,0.356
226,Kansas,55,20-35,1918,518,213,50,15,14,0.356
227,Western Ill.,52,Aug-44,1687,426,198,83,20,27,0.356
228,The Citadel,57,26-31,1888,489,244,49,19,49,0.355
229,UIW,52,21-31,1813,501,181,51,18,14,0.355
230,Wichita St.,57,21-36,1954,518,232,51,20,17,0.355
231,Rider,54,28-26,1882,494,222,59,21,18,0.355
232,San Diego St.,56,18-38,1890,492,219,65,18,36,0.354
,Northern Colo.,51,Dec-39,1672,445,186,48,12,19,0.354
234,Fordham,52,16-36,1730,438,209,73,22,30,0.354
235,Milwaukee,50,20-30,1690,455,180,50,17,12,0.354
236,Yale,38,20-18,1282,321,173,42,19,14,0.354
237,Saint Mary's (CA),55,25-30,1844,489,209,53,22,28,0.353
238,Winthrop,52,18-34,1758,465,209,41,19,28,0.353
239,UNCW,55,31-24,1835,491,181,75,27,42,0.353
240,VMI,56,16-40,1933,523,206,51,22,13,0.353
241,Michigan St.,54,24-30,1850,501,207,37,21,15,0.352
242,Washington,56,30-26,1955,534,200,50,22,16,0.352
243,Cal St. Fullerton,55,22-33,1878,520,180,45,16,25,0.352
244,Bethune-Cookman,59,27-32,1928,467,265,72,23,38,0.351
245,Boston College,53,19-34,1822,461,204,79,15,23,0.351
246,Southern California,53,25-28,1790,487,176,53,23,21,0.351
247,Minnesota,52,16-36,1726,433,217,54,19,22,0.349
248,Rice,56,17-39,1882,473,243,48,18,14,0.349
249,Santa Clara,53,24-29,1803,464,202,61,19,21,0.349
250,Princeton,40,Jul-33,1405,367,161,36,16,7,0.349
251,Long Beach St.,56,29-27,1919,508,187,63,7,29,0.348
252,Hofstra,53,30-23,1851,507,175,48,23,20,0.348
253,Pacific,52,14-38,1806,474,174,70,13,21,0.348
254,Alabama A&M,49,14-35,1547,389,186,47,13,24,0.347
255,Hartford,50,13-37,1683,432,198,41,15,21,0.346
256,Sacred Heart,53,Dec-41,1839,503,180,35,20,9,0.346
257,Middle Tenn.,55,29-26,1893,520,140,77,20,15,0.346
258,North Florida,55,22-33,1911,530,175,36,20,18,0.346
259,Stetson,55,26-29,1831,458,219,60,22,24,0.346
260,CSU Bakersfield,52,18-34,1757,448,210,40,17,22,0.345
261,Pepperdine,50,24-26,1742,463,175,43,15,12,0.345
262,High Point,56,23-33,1874,467,233,50,21,23,0.344
263,Brown,36,13-23,1196,292,148,40,12,8,0.344
264,Cornell,36,25-Nov,1246,309,159,30,14,7,0.344
265,UT Arlington,54,15-39,1781,441,191,79,20,11,0.343
266,Butler,56,20-35-1,1889,471,204,73,15,25,0.343
267,Houston Christian,54,18-36,1714,434,200,41,18,29,0.342
268,Arkansas St.,49,Nov-38,1634,402,209,40,21,24,0.342
269,App State,53,20-33,1823,460,191,65,20,17,0.341
270,Siena,48,Nov-37,1616,388,194,61,14,13,0.341
271,Illinois St.,51,20-31,1794,468,173,51,12,22,0.341
272,Youngstown St.,57,21-36,1847,446,249,34,15,22,0.34
273,Norfolk St.,47,15-32,1446,369,149,48,24,10,0.34
274,Lafayette,50,15-35,1601,394,183,52,20,12,0.339
275,Akron,56,15-41,1734,438,185,49,17,28,0.339
276,Towson,53,14-39,1732,414,227,41,20,24,0.338
