Rank,Name,App,W-L,IP,SO,BB,K/BB
1,Tennessee,0,57-9,594,695,164,4.24
2,Southern Miss.,0,47-19,596,746,181,4.12
3,UConn,0,50-16,592,642,191,3.36
4,Florida St.,0,34-25,534,702,210,3.34
5,Oregon St.,0,48-18,594,628,188,3.34
6,Cal Poly,0,37-21,517,559,173,3.23
7,Elon,0,27-28,488,442,138,3.2
8,Wofford,0,42-16-1,512,506,159,3.18
9,Louisiana Tech,0,43-21,567,606,194,3.12
10,UCLA,0,40-24,577,579,193,3
,Grand Canyon,0,41-21,541,597,199,3
12,East Carolina,0,46-21,597,647,217,2.98
13,Oral Roberts,0,38-20,506,527,178,2.96
14,Ole Miss,0,42-23,564,682,234,2.91
15,Miami (FL),0,40-20,534,640,224,2.86
16,San Diego,0,37-20,513,553,195,2.84
17,Oklahoma St.,0,42-22,571,679,241,2.82
18,Long Beach St.,0,29-27,496,518,184,2.82
19,Liberty,0,37-23,535,620,222,2.79
20,UC Irvine,0,32-24,506,497,179,2.78
21,Eastern Ill.,0,33-20,456,483,174,2.78
22,LSU,0,40-22,546,610,220,2.77
23,BYU,0,33-21,479,485,175,2.77
24,Alabama,0,31-27,511,540,197,2.74
25,Oklahoma,0,45-24,614,644,235,2.74
26,Fresno St.,0,27-28,493,495,181,2.73
27,VCU,0,42-20,550,518,191,2.71
28,Notre Dame,0,41-17,517,615,228,2.7
29,Texas A&M,0,44-20,566,588,220,2.67
30,Central Ark.,0,24-29,466,447,170,2.63
31,Florida,0,42-24,587,575,220,2.61
32,Texas Tech,0,39-22,539,608,234,2.6
33,Vanderbilt,0,39-23,545,627,243,2.58
34,Auburn,0,43-22,579,666,260,2.56
35,Northeastern,0,31-29-1,533,476,186,2.56
36,Saint Mary's (CA),0,25-30,474,497,195,2.55
37,Davidson,0,43-13,497,532,209,2.55
38,Coastal Carolina,0,39-20-1,518,524,206,2.54
39,Virginia Tech,0,45-14,531,558,221,2.52
40,Monmouth,0,24-27,444,457,181,2.52
41,UIC,0,22-25,402,393,156,2.52
42,Western Ky.,0,18-36,464,431,172,2.51
43,Mercer,0,40-18,515,550,220,2.5
44,UNLV,0,36-22,520,456,183,2.49
45,Texas,0,47-22,603,606,245,2.47
46,Central Mich.,0,43-19,512,540,219,2.47
47,Valparaiso,0,16-32,397,416,169,2.46
48,Gonzaga,0,37-19,504,596,245,2.43
49,Virginia,0,39-19,511,598,247,2.42
50,New Mexico St.,0,24-34,500,502,209,2.4
51,Louisiana,0,37-23,532,545,227,2.4
52,Stetson,0,26-29,492,436,182,2.4
53,Iowa,0,36-19,489,609,255,2.39
54,UIW,0,21-31,449,455,191,2.38
55,Marist,0,29-17,399,419,176,2.38
56,Arkansas,0,46-21,591,674,285,2.36
57,Indiana St.,0,26-22-1,432,428,181,2.36
58,Sam Houston,0,31-25,484,442,187,2.36
59,Southern Ill.,0,44-16,530,478,203,2.35
60,Ohio,0,29-24,436,393,168,2.34
61,DBU,0,34-24-1,514,570,244,2.34
62,Portland,0,32-23,481,502,215,2.33
63,Kentucky,0,33-26,513,593,254,2.33
64,James Madison,0,27-26,462,402,173,2.32
65,Col. of Charleston,0,37-20,498,484,209,2.32
66,Houston,0,37-24,539,488,211,2.31
67,Nebraska,0,23-30,458,437,189,2.31
68,Stanford,0,47-18,581,595,259,2.3
69,NC State,0,36-21,512,549,239,2.3
70,Texas St.,0,47-14,538,541,236,2.29
71,Washington,0,30-26,495,474,208,2.28
72,UCF,0,35-25,522,541,238,2.27
73,North Carolina,0,42-22,577,584,258,2.26
74,Old Dominion,0,41-17,524,509,225,2.26
75,California,0,29-27,497,510,226,2.26
76,Troy,0,32-24,496,520,231,2.25
77,Mississippi St.,0,26-30,489,592,263,2.25
78,Lamar University,0,37-21,512,466,208,2.24
79,Southeast Mo. St.,0,37-22,516,505,226,2.23
80,Duke,0,22-32,478,563,252,2.23
81,Evansville,0,32-24,481,431,193,2.23
82,Pittsburgh,0,29-27,489,466,210,2.22
83,Abilene Christian,0,30-29,511,588,267,2.2
84,McNeese,0,34-23,506,519,236,2.2
85,Bethune-Cookman,0,27-32,513,531,242,2.19
86,UT Arlington,0,15-39,462,408,186,2.19
87,Ball St.,0,40-19,478,559,255,2.19
88,Louisville,0,42-21-1,575,646,298,2.17
89,South Fla.,0,28-29,494,466,215,2.17
90,FGCU,0,35-23,511,478,221,2.16
91,Maryland,0,48-14,557,538,249,2.16
92,Georgia St.,0,30-27,495,505,234,2.16
93,Purdue,0,29-21,450,479,222,2.16
94,UTRGV,0,33-25,490,485,225,2.16
95,Penn,0,33-15,420,484,225,2.15
96,CSUN,0,32-22,479,393,183,2.15
97,Clemson,0,35-23,510,515,240,2.15
98,Charlotte,0,36-22,516,532,248,2.15
99,Western Caro.,0,26-31-1,509,506,236,2.14
100,Creighton,0,31-18,430,418,195,2.14
101,Wake Forest,0,41-19-1,536,557,260,2.14
102,Yale,0,20-18,334,330,155,2.13
103,Brown,0,13-23,310,283,133,2.13
104,UAB,0,31-25,484,419,197,2.13
105,Toledo,0,33-25,478,438,206,2.13
106,South Alabama,0,31-23,476,440,208,2.12
107,Florida A&M,0,29-30,503,482,228,2.11
108,North Dakota St.,0,31-19,424,353,167,2.11
