Rank,Name,G,W-L,BB
1,Oregon St.,66,48-18,389
2,Tennessee,66,57-9,388
3,Oklahoma,69,45-24,378
4,Charlotte,58,36-22,371
5,Wake Forest,61,41-19-1,364
6,Central Mich.,62,43-19,355
7,Texas A&M,64,44-20,351
8,Louisville,64,42-21-1,342
9,TCU,60,38-22,341
10,Maryland,62,48-14,337
11,Mercer,58,40-18,336
12,Texas Tech,61,39-22,334
13,Davidson,56,43-13,331
14,Oklahoma St.,64,42-22,330
15,Arkansas,67,46-21,325
,LIU,58,37-21,325
17,Texas St.,61,47-14,322
18,Texas,69,47-22,319
19,Wright St.,57,30-27,318
,Pittsburgh,56,29-27,318
,UCLA,64,40-24,318
22,Miami (FL),60,40-20,310
,UConn,66,50-16,310
24,Coastal Carolina,60,39-20-1,309
25,Virginia Tech,59,45-14,307
26,LSU,62,40-22,306
27,Vanderbilt,62,39-23,305
28,Michigan,62,34-28,304
,Auburn,65,43-22,304
30,Alabama St.,59,34-25,301
,Indiana,59,27-32,301
,Virginia,58,39-19,301
33,Texas Southern,53,28-25,298
34,Georgia Tech,60,36-24,295
,Ole Miss,65,42-23,295
,Clemson,58,35-23,295
37,Eastern Ky.,58,38-20,294
38,Rutgers,59,44-15,292
39,Southern U.,58,27-31,291
40,Liberty,60,37-23,290
,Florida,66,42-24,290
42,Campbell,60,41-19,289
,Fla. Atlantic,58,35-23,289
,Southern Ill.,60,44-16,289
45,Old Dominion,58,41-17,287
,UNC Greensboro,64,34-30,287
47,North Carolina,64,42-22,286
,FGCU,58,35-23,286
49,Georgia,59,36-23,285
50,Tennessee Tech,57,30-27,284
,Louisiana Tech,64,43-21,284
,Southern Miss.,66,47-19,284
,Southeast Mo. St.,59,37-22,284
54,Abilene Christian,59,30-29,283
55,Oakland,58,31-27,282
,Missouri St.,60,31-29,282
57,UC Santa Barbara,58,44-14,281
58,Georgetown,56,32-24,280
,UNLV,58,36-22,280
,Xavier,60,33-27,280
61,UMBC,55,23-32,279
,NC State,57,36-21,279
63,UMass Lowell,58,28-30,277
,Wofford,59,42-16-1,277
65,Coppin St.,54,24-30,276
66,Oral Roberts,58,38-20,275
,Saint Joseph's,54,29-25,275
68,Cincinnati,55,24-31,274
69,Arizona,64,39-25,273
,Prairie View,57,30-27,273
,Murray St.,55,30-25,273
72,Grambling,57,26-31,271
73,VCU,62,42-20,270
,Southeastern La.,61,30-31,270
,Western Caro.,58,26-31-1,270
76,South Fla.,57,28-29,269
77,Jackson St.,56,29-27,268
,Omaha,57,26-31,268
79,East Carolina,67,46-21,266
80,Bethune-Cookman,59,27-32,265
81,Monmouth,51,24-27,264
,South Alabama,54,31-23,264
,UTSA,58,38-20,264
84,Iowa,55,36-19,263
,Ga. Southern,61,41-20,263
86,St. John's (NY),55,22-32-1,262
,Delaware St.,48,25-23,262
88,Col. of Charleston,57,37-20,260
89,ULM,56,20-35-1,259
,Cal Poly,58,37-21,259
,James Madison,53,27-26,259
,Saint Louis,53,29-24,259
,Gardner-Webb,60,24-36,259
94,Canisius,54,29-25,258
,Manhattan,50,24-26,258
96,NJIT,53,26-27,257
,Stanford,65,47-18,257
,Tulane,60,33-26-1,257
,California,56,29-27,257
100,Florida A&M,59,29-30,256
101,Nicholls,51,26-25,255
,San Francisco,57,28-29,255
,Eastern Ill.,53,33-20,255
104,DBU,59,34-24-1,254
105,Mississippi St.,56,26-30,253
106,Elon,55,27-28,252
107,Charleston So.,54,24-30,251
,Northwestern St.,54,25-29,251
109,Rhode Island,55,20-35,250
,UMES,54,17-37,250
111,Evansville,56,32-24,249
,Illinois,53,31-22,249
,San Jose St.,59,30-29,249
,Youngstown St.,57,21-36,249
115,Sam Houston,56,31-25,248
,Portland,55,32-23,248
117,UNC Asheville,51,21-29-1,247
,Ohio,53,29-24,247
119,Sacramento St.,58,32-26,246
120,Nevada,55,29-26,245
,San Diego,57,37-20,245
,UAB,56,31-25,245
,UCF,60,35-25,245
124,Lipscomb,58,35-23,244
,The Citadel,57,26-31,244
126,Oregon,61,36-25,243
,UC Irvine,56,32-24,243
,Army West Point,56,31-25,243
,Rice,56,17-39,243
,Duke,54,22-32,243
131,Kentucky,59,33-26,242
,Creighton,49,31-18,242
133,West Virginia,55,33-22,241
,Central Conn. St.,47,29-18,241
135,Baylor,54,26-28,239
,Ball St.,59,40-19,239
137,Memphis,55,26-29,238
,Austin Peay,56,19-37,238
,Mount St. Mary's,48,14-34,238
,Bryant,57,30-27,238
141,Florida St.,59,34-25,237
,Penn St.,55,26-29,237
143,Lamar University,58,37-21,236
144,Jacksonville,55,27-28,235
,Fairfield,52,31-21,235
146,Longwood,53,20-33,234
,Marshall,55,20-34-1,234
148,High Point,56,23-33,233
149,North Dakota St.,50,31-19,232
,Air Force,61,32-29,232
,Wichita St.,57,21-36,232
,Northwestern,51,24-27,232
153,Grand Canyon,62,41-21,231
,Ohio St.,51,21-30,231
155,NIU,54,14-40,230
,Marist,46,29-17,230
,Utah,54,26-27-1,230
,Kennesaw St.,64,36-28,230
,Western Mich.,54,18-36,230
,Belmont,59,39-20,230
161,McNeese,57,34-23,229
162,Saint Peter's,50,Sep-41,228
163,Towson,53,14-39,227
164,Kansas St.,58,29-29,226
,Georgia St.,57,30-27,226
,Dayton,50,23-27,226
167,A&M-Corpus Christi,55,27-28,225
,Maine,49,27-22,225
,Morehead St.,54,27-27,225
170,Richmond,56,30-26,224
,Nebraska,53,23-30,224
172,Massachusetts,49,22-26-1,223
,UIC,47,22-25,223
,South Carolina,55,27-28,223
,Central Ark.,53,24-29,223
176,Presbyterian,54,22-32,222
,Houston,61,37-24,222
,Rider,54,28-26,222
179,Villanova,49,19-29-1,221
180,New Orleans,53,30-23,220
,Northern Ky.,54,19-35,220
,Columbia,50,32-18,220
,Penn,48,33-15,220
,Alabama,58,31-27,220
185,Stetson,55,26-29,219
,San Diego St.,56,18-38,219
,USC Upstate,58,35-22-1,219
188,UAlbany,47,22-25,218
,Jacksonville St.,55,27-28,218
,George Mason,56,23-33,218
191,Minnesota,52,16-36,217
,SIUE,55,27-28,217
193,William & Mary,49,26-23,216
,FDU,54,24-30,216
,Arizona St.,58,26-32,216
196,Troy,56,32-24,215
197,Stony Brook,52,27-25,214
198,Kansas,55,20-35,213
199,Miami (OH),56,23-33,212
,Bucknell,48,22-26,212
,Niagara,54,22-32,212
,New Mexico,54,21-33,212
203,Missouri,51,28-23,210
,CSU Bakersfield,52,18-34,210
,Hawaii,52,28-24,210
206,Arkansas St.,49,Nov-38,209
,Samford,57,28-29,209
,Saint Mary's (CA),55,25-30,209
,Winthrop,52,18-34,209
,Fordham,52,16-36,209
,New Mexico St.,58,24-34,209
212,BYU,54,33-21,208
,Kent St.,53,24-29,208
,Holy Cross,54,17-37,208
215,Notre Dame,58,41-17,207
,Michigan St.,54,24-30,207
,Washington St.,53,27-26,207
,Binghamton,52,22-30,207
219,CSUN,54,32-22,206
,Purdue,50,29-21,206
,VMI,56,16-40,206
,Bradley,49,20-29,206
223,Ark.-Pine Bluff,50,13-36-1,205
224,Butler,56,20-35-1,204
