Rank,Name,IP,W-L,BB,HA,WHIP
136,Georgia,519,36-23,288,518,1.55
137,San Francisco,516.1,28-29,242,561,1.56
138,Georgetown,495,32-24,254,520,1.56
139,Yale,334.1,20-18,155,368,1.56
140,West Virginia,479.1,33-22,270,480,1.56
141,South Fla.,494.2,28-29,215,559,1.56
142,Marist,399.1,29-17,176,450,1.57
143,Jackson St.,468.1,29-27,264,471,1.57
144,Youngstown St.,473.1,21-36,278,466,1.57
145,Dartmouth,374,24-19,161,428,1.57
146,USC Upstate,513.1,35-22-1,251,558,1.58
147,Missouri St.,518.1,31-29,248,569,1.58
148,The Citadel,495.1,26-31,252,529,1.58
149,Dayton,434,23-27,210,476,1.58
150,Pittsburgh,489.2,29-27,210,564,1.58
151,Southeast Mo. St.,516.1,37-22,226,591,1.58
152,Western Ky.,464,18-36,172,563,1.58
153,Canisius,465.2,29-25,267,472,1.59
154,Jacksonville St.,487.2,27-28,245,530,1.59
155,Alabama St.,512.2,34-25,282,533,1.59
156,UTRGV,490,33-25,225,554,1.59
157,Binghamton,450.1,22-30,215,501,1.59
158,New Orleans,464,30-23,248,490,1.59
159,UT Arlington,462.1,15-39,186,551,1.59
160,Columbia,432.1,32-18,200,490,1.6
161,Ohio St.,445.1,21-30,233,478,1.6
162,Kansas St.,506.2,29-29,280,529,1.6
163,FDU,473.2,24-30,231,526,1.6
164,Valparaiso,397.2,16-32,169,467,1.6
165,George Washington,454.1,22-30,214,513,1.6
166,Western Caro.,509.2,26-31-1,236,582,1.6
167,Bryant,500.1,30-27,236,568,1.61
168,UMass Lowell,509.2,28-30,248,572,1.61
169,Kent St.,444.1,24-29,206,510,1.61
170,Utah,473.1,26-27-1,208,555,1.61
171,Santa Clara,464,24-29,250,499,1.61
172,Seton Hall,457.1,18-35,276,463,1.62
173,Samford,491,28-29,261,533,1.62
174,Purdue,450.2,29-21,222,507,1.62
175,UIW,449.1,21-31,191,537,1.62
176,ULM,487.1,20-35-1,253,537,1.62
177,Oakland,486.2,31-27,231,558,1.62
178,Baylor,469.2,26-28,240,522,1.62
179,Xavier,514.1,33-27,305,530,1.62
180,Rice,485.2,17-39,228,561,1.62
181,UAlbany,399.1,22-25,222,427,1.63
182,Miami (OH),464.1,23-33,249,506,1.63
183,Marshall,478.1,20-34-1,280,499,1.63
,Memphis,478.1,26-29,269,510,1.63
185,Rider,472,28-26,217,555,1.64
186,Bucknell,399.2,22-26,204,450,1.64
187,Penn St.,490,26-29,263,542,1.64
188,Richmond,503.2,30-26,290,538,1.64
189,LMU (CA),495,20-34-1,220,595,1.65
190,Saint Joseph's,471.1,29-25,225,552,1.65
191,Southern U.,478,27-31,223,565,1.65
192,Abilene Christian,511.1,30-29,267,576,1.65
193,Florida A&M,503,29-30,228,604,1.65
194,Ohio,436,29-24,168,555,1.66
195,Gardner-Webb,514,24-36,261,592,1.66
196,Prairie View,472.1,30-27,231,553,1.66
197,UNLV,520.1,36-22,183,681,1.66
198,Tennessee Tech,500,30-27,271,560,1.66
199,Villanova,419.1,19-29-1,219,478,1.66
200,A&M-Corpus Christi,474.1,27-28,233,556,1.66
201,Lehigh,411,26-24,219,465,1.66
202,CSU Bakersfield,462.1,18-34,230,541,1.67
203,App State,465,20-33,275,502,1.67
204,St. John's (NY),466,22-32-1,282,497,1.67
205,Saint Louis,454.1,29-24,203,558,1.67
206,Michigan St.,470.2,24-30,238,551,1.68
207,Air Force,534.1,32-29,251,645,1.68
208,Stony Brook,448,27-25,249,503,1.68
209,Morehead St.,461.2,27-27,235,541,1.68
210,UMES,420.2,17-37,196,512,1.68
211,Bradley,416,20-29,261,440,1.69
212,NJIT,458,26-27,256,516,1.69
213,Wright St.,489,30-27,257,573,1.7
214,Nevada,487.2,29-26,245,586,1.7
215,Minnesota,455.1,16-36,270,507,1.71
216,UNC Asheville,441,21-29-1,267,487,1.71
217,High Point,487.2,23-33,274,561,1.71
218,Navy,371,19-26,185,451,1.71
