Rank,Name,G,W-L,PO,A,E,PCT
1,Texas,69,47-22,1810,691,37,0.985
2,Houston,61,37-24,1617,607,36,0.984
3,East Carolina,67,46-21,1792,564,39,0.984
4,Belmont,59,39-20,1548,581,37,0.983
5,Mississippi St.,56,26-30,1469,452,34,0.983
6,Arkansas,67,46-21,1773,629,43,0.982
7,Oregon St.,66,48-18,1784,564,43,0.982
8,Ga. Southern,61,41-20,1617,609,41,0.982
9,Florida,66,42-24,1761,590,45,0.981
10,Auburn,65,43-22,1737,582,45,0.981
11,Alabama,58,31-27,1534,505,40,0.981
12,Rutgers,59,44-15,1569,479,41,0.98
13,San Diego,57,37-20,1541,522,42,0.98
14,Notre Dame,58,41-17,1553,591,44,0.98
15,Virginia Tech,59,45-14,1593,543,44,0.98
16,Tennessee,66,57-9,1784,576,49,0.98
17,Oregon,61,36-25,1617,559,47,0.979
18,Gonzaga,56,37-19,1513,477,43,0.979
19,Oklahoma St.,64,42-22,1713,544,50,0.978
20,Georgia,59,36-23,1557,472,45,0.978
21,TCU,60,38-22,1576,557,48,0.978
22,Sacramento St.,58,32-26,1500,565,47,0.978
23,Southeastern La.,61,30-31,1605,591,50,0.978
24,Southern Miss.,66,47-19,1789,643,56,0.977
25,Oral Roberts,58,38-20,1518,524,48,0.977
26,Old Dominion,58,41-17,1574,544,50,0.977
27,Kentucky,59,33-26,1539,474,48,0.977
28,Vanderbilt,62,39-23,1635,539,52,0.977
29,Charlotte,58,36-22,1550,488,49,0.977
30,Texas Tech,61,39-22,1618,542,52,0.976
31,Abilene Christian,59,30-29,1534,496,49,0.976
32,Missouri,51,28-23,1315,423,42,0.976
33,Rider,54,28-26,1416,476,46,0.976
34,Illinois,53,31-22,1406,484,46,0.976
35,Stanford,65,47-18,1743,546,56,0.976
36,Evansville,56,32-24,1444,508,48,0.976
37,Long Beach St.,56,29-27,1488,494,50,0.975
38,Bowling Green,52,18-34,1223,394,41,0.975
39,Eastern Ky.,58,38-20,1531,519,52,0.975
40,UAlbany,47,22-25,1198,418,41,0.975
41,Illinois St.,51,20-31,1349,424,45,0.975
42,Fla. Atlantic,58,35-23,1540,466,51,0.975
43,Navy,45,19-26,1113,381,38,0.975
44,Washington,56,30-26,1486,519,51,0.975
45,Seton Hall,53,18-35,1372,465,47,0.975
46,Memphis,55,26-29,1435,438,48,0.975
47,DBU,59,34-24-1,1543,447,51,0.975
48,Eastern Ill.,53,33-20,1369,423,46,0.975
49,Bucknell,48,22-26,1199,423,42,0.975
50,Purdue,50,29-21,1352,459,47,0.975
51,Washington St.,53,27-26,1400,481,49,0.975
52,North Carolina,64,42-22,1732,560,60,0.974
53,South Alabama,54,31-23,1428,519,51,0.974
54,Austin Peay,56,19-37,1441,464,50,0.974
55,Ball St.,59,40-19,1434,425,49,0.974
56,Yale,38,20-18,1003,361,36,0.974
57,Iowa,55,36-19,1468,456,51,0.974
58,Grand Canyon,62,41-21,1623,524,57,0.974
59,Duke,54,22-32,1434,449,50,0.974
60,Louisville,64,42-21-1,1726,490,59,0.974
61,Coastal Carolina,60,39-20-1,1554,578,57,0.974
62,Lipscomb,58,35-23,1533,560,56,0.974
63,UConn,66,50-16,1777,499,61,0.974
64,South Carolina,55,27-28,1437,487,52,0.974
65,Central Conn. St.,47,29-18,1245,453,46,0.974
66,Cal Poly,58,37-21,1552,551,57,0.974
67,UCLA,64,40-24,1731,553,62,0.974
68,Hofstra,53,30-23,1413,502,52,0.974
69,Davidson,56,43-13,1491,497,54,0.974
70,Cal St. Fullerton,55,22-33,1433,511,53,0.973
71,Utah,54,26-27-1,1420,560,54,0.973
72,Central Ark.,53,24-29,1399,433,50,0.973
73,Maryland,62,48-14,1671,597,62,0.973
74,Liberty,60,37-23,1605,551,59,0.973
75,Air Force,61,32-29,1603,587,60,0.973
76,Central Mich.,62,43-19,1538,494,56,0.973
77,Clemson,58,35-23,1532,536,57,0.973
78,Indiana St.,49,26-22-1,1296,436,48,0.973
79,Southern California,53,25-28,1402,501,53,0.973
80,UNCW,55,31-24,1465,509,55,0.973
81,Northwestern,51,24-27,1281,512,50,0.973
82,Samford,57,28-29,1473,533,56,0.973
83,UC Irvine,56,32-24,1519,558,58,0.973
84,NJIT,53,26-27,1374,486,52,0.973
85,UC Riverside,53,Aug-45,1334,449,50,0.973
86,Wake Forest,61,41-19-1,1609,592,62,0.973
87,Creighton,49,31-18,1290,449,49,0.973
88,San Francisco,57,28-29,1549,542,59,0.973
89,West Virginia,55,33-22,1438,545,56,0.973
90,Louisiana Tech,64,43-21,1703,597,65,0.973
91,Southeast Mo. St.,59,37-22,1549,503,58,0.973
92,Troy,56,32-24,1488,563,58,0.972
93,Ole Miss,65,42-23,1693,464,61,0.972
,Southern Ill.,60,44-16,1589,568,61,0.972
95,Northeastern,61,31-29-1,1600,618,63,0.972
96,Michigan,62,34-28,1628,553,62,0.972
97,Kansas,55,20-35,1424,540,56,0.972
98,CSUN,54,32-22,1439,595,58,0.972
99,Louisiana,60,37-23,1597,567,62,0.972
100,Virginia,58,39-19,1535,489,58,0.972
101,Arizona,64,39-25,1709,592,66,0.972
102,Jacksonville St.,55,27-28,1463,591,59,0.972
103,UC Santa Barbara,58,44-14,1557,531,60,0.972
104,Portland,55,32-23,1443,436,54,0.972
105,Baylor,54,26-28,1409,503,55,0.972
106,UCF,60,35-25,1567,552,61,0.972
107,Eastern Mich.,56,22-34,1362,473,53,0.972
108,Toledo,58,33-25,1435,498,56,0.972
109,California,56,29-27,1492,544,59,0.972
110,Massachusetts,49,22-26-1,1264,446,50,0.972
111,Oklahoma,69,45-24,1843,585,71,0.972
112,Niagara,54,22-32,1397,409,53,0.971
113,Wright St.,57,30-27,1467,506,58,0.971
114,Jacksonville,55,27-28,1476,492,58,0.971
115,James Madison,53,27-26,1386,505,56,0.971
116,Wichita St.,57,21-36,1493,526,60,0.971
117,Arizona St.,58,26-32,1533,552,62,0.971
118,Hawaii,52,28-24,1394,520,57,0.971
119,San Jose St.,59,30-29,1552,556,63,0.971
120,Nevada,55,29-26,1463,528,60,0.971
121,Dartmouth,43,24-19,1122,368,45,0.971
122,UTRGV,58,33-25,1470,499,60,0.97
123,BYU,54,33-21,1436,561,61,0.97
124,William & Mary,49,26-23,1288,444,53,0.97
125,Pittsburgh,56,29-27,1469,524,61,0.97
126,Tulane,60,33-26-1,1561,559,65,0.97
127,Pepperdine,50,24-26,1335,455,55,0.97
128,Ohio,53,29-24,1307,481,55,0.97
129,Miami (FL),60,40-20,1602,507,65,0.97
130,Stony Brook,52,27-25,1344,466,56,0.97
131,Lamar University,58,37-21,1536,530,64,0.97
132,North Dakota St.,50,31-19,1268,441,53,0.97
133,Cincinnati,55,24-31,1408,526,60,0.97
134,Northern Ky.,54,19-35,1356,500,58,0.97
135,Gardner-Webb,60,24-36,1542,503,64,0.97
136,Fordham,52,16-36,1353,467,57,0.97
137,Tennessee Tech,57,30-27,1500,508,63,0.97
138,Omaha,57,26-31,1496,478,62,0.97
139,Milwaukee,50,20-30,1253,434,53,0.97
140,Mercer,58,40-18,1546,490,64,0.97
141,McNeese,57,34-23,1519,513,64,0.969
142,Indiana,59,27-32,1538,456,63,0.969
143,Nicholls,51,26-25,1320,482,57,0.969
144,Columbia,50,32-18,1297,472,56,0.969
145,Nebraska,53,23-30,1374,514,60,0.969
146,Xavier,60,33-27,1543,501,65,0.969
147,Alabama St.,59,34-25,1538,473,64,0.969
148,Stetson,55,26-29,1476,501,63,0.969
149,Fairfield,52,31-21,1376,468,59,0.969
150,ETSU,51,30-21,1347,489,59,0.969
151,Army West Point,56,31-25,1409,518,62,0.969
152,UMass Lowell,58,28-30,1529,489,65,0.969
153,Northwestern St.,54,25-29,1374,477,60,0.969
154,Delaware,51,25-26,1333,474,59,0.968
155,Binghamton,52,22-30,1350,472,60,0.968
,Kent St.,53,24-29,1333,489,60,0.968
157,Campbell,60,41-19,1602,553,71,0.968
158,Georgetown,56,32-24,1485,517,66,0.968
159,Georgia Tech,60,36-24,1591,459,68,0.968
160,New Orleans,53,30-23,1392,499,63,0.968
161,Manhattan,50,24-26,1281,447,58,0.968
162,Penn,48,33-15,1262,376,55,0.968
163,Bryant,57,30-27,1500,516,68,0.967
164,High Point,56,23-33,1463,551,68,0.967
165,Sam Houston,56,31-25,1454,499,66,0.967
,UTSA,58,38-20,1506,447,66,0.967
167,LMU (CA),55,20-34-1,1485,545,69,0.967
168,Saint Mary's (CA),55,25-30,1423,428,63,0.967
169,Kennesaw St.,64,36-28,1664,577,77,0.967
170,George Mason,56,23-33,1467,512,68,0.967
171,Monmouth,51,24-27,1333,435,61,0.967
172,Kansas St.,58,29-29,1520,537,71,0.967
173,Utah Valley,55,18-37,1369,509,65,0.967
174,Florida St.,59,34-25,1602,504,73,0.966
175,SIUE,55,27-28,1398,443,64,0.966
176,Saint Louis,53,29-24,1363,526,66,0.966
177,Butler,56,20-35-1,1446,500,68,0.966
178,Oakland,58,31-27,1460,484,68,0.966
179,Texas A&M,64,44-20,1698,645,82,0.966
180,New Mexico St.,58,24-34,1500,528,71,0.966
181,Valparaiso,48,16-32,1193,427,57,0.966
182,UNC Greensboro,64,34-30,1671,573,79,0.966
183,UT Martin,45,Nov-34,1157,405,55,0.966
184,Maine,49,27-22,1279,389,59,0.966
185,Fresno St.,55,27-28,1481,524,71,0.966
186,Missouri St.,60,31-29,1555,531,74,0.966
187,Harvard,41,19-22,1071,309,49,0.966
188,George Washington,52,22-30,1363,464,65,0.966
189,Col. of Charleston,57,37-20,1495,468,70,0.966
190,UIC,47,22-25,1206,446,59,0.966
,Wofford,59,42-16-1,1535,537,74,0.966
192,Michigan St.,54,24-30,1412,491,68,0.965
193,UIW,52,21-31,1348,499,66,0.965
194,Marshall,55,20-34-1,1435,493,69,0.965
195,Minnesota,52,16-36,1366,471,66,0.965
196,Texas St.,61,47-14,1615,553,78,0.965
197,ULM,56,20-35-1,1462,547,73,0.965
198,SFA,52,15-37,1297,456,64,0.965
199,FDU,54,24-30,1421,495,70,0.965
200,FIU,50,16-34,1332,391,63,0.965
201,Western Mich.,54,18-36,1277,417,62,0.965
202,Georgia St.,57,30-27,1486,480,72,0.965
203,Longwood,53,20-33,1386,525,70,0.965
204,Santa Clara,53,24-29,1392,435,67,0.965
205,Brown,36,13-23,931,346,47,0.965
206,VCU,62,42-20,1652,516,80,0.964
207,Saint Joseph's,54,29-25,1414,537,72,0.964
208,Middle Tenn.,55,29-26,1439,527,73,0.964
209,Bethune-Cookman,59,27-32,1539,555,78,0.964
210,UNLV,58,36-22,1561,585,80,0.964
211,North Florida,55,22-33,1431,493,72,0.964
212,Villanova,49,19-29-1,1258,451,64,0.964
213,Bradley,49,20-29,1248,325,59,0.964
214,Lehigh,50,26-24,1233,498,65,0.964
215,Western Caro.,58,26-31-1,1528,543,78,0.964
216,Little Rock,51,24-27,1326,517,70,0.963
217,Rhode Island,55,20-35,1421,492,73,0.963
218,Canisius,54,29-25,1397,461,71,0.963
219,Purdue Fort Wayne,54,18-36,1356,475,70,0.963
220,NC State,57,36-21,1537,494,78,0.963
221,Boston College,53,19-34,1390,457,71,0.963
222,USC Upstate,58,35-22-1,1540,504,79,0.963
223,Murray St.,55,30-25,1460,494,76,0.963
224,South Fla.,57,28-29,1484,520,78,0.963
225,Coppin St.,54,24-30,1320,470,70,0.962
226,UT Arlington,54,15-39,1387,499,74,0.962
227,LSU,62,40-22,1638,438,82,0.962
228,UNC Asheville,51,21-29-1,1323,547,74,0.962
229,New Mexico,54,21-33,1398,538,77,0.962
230,UC Davis,41,Jun-35,1066,366,57,0.962
231,App State,53,20-33,1395,460,74,0.962
232,Miami (OH),56,23-33,1393,458,74,0.962
233,Radford,48,15-33,1255,478,70,0.961
234,UMBC,55,23-32,1438,488,78,0.961
235,Seattle U,50,16-34,1297,406,69,0.961
236,Marist,46,29-17,1198,351,63,0.961
237,Richmond,56,30-26,1511,498,82,0.961
238,St. John's (NY),55,22-32-1,1398,486,77,0.961
239,Pacific,52,14-38,1346,473,75,0.96
240,UAB,56,31-25,1454,484,80,0.96
241,Western Ky.,54,18-36,1392,497,78,0.96
242,Winthrop,52,18-34,1357,451,75,0.96
243,Elon,55,27-28,1465,528,83,0.96
244,Penn St.,55,26-29,1470,541,84,0.96
245,N.C. A&T,53,15-38,1405,456,78,0.96
246,Morehead St.,54,27-27,1385,492,80,0.959
247,South Dakota St.,45,22-23,1142,405,66,0.959
248,The Citadel,57,26-31,1486,526,86,0.959
249,Towson,53,14-39,1362,527,81,0.959
250,Presbyterian,54,22-32,1405,451,80,0.959
251,Jackson St.,56,29-27,1405,423,79,0.959
252,San Diego St.,56,18-38,1498,510,87,0.958
253,CSU Bakersfield,52,18-34,1387,470,81,0.958
254,Texas Southern,53,28-25,1293,477,78,0.958
255,VMI,56,16-40,1443,463,84,0.958
256,Youngstown St.,57,21-36,1420,463,83,0.958
257,Delaware St.,48,25-23,1112,403,67,0.958
258,Rice,56,17-39,1457,500,87,0.957
259,Florida A&M,59,29-30,1509,504,91,0.957
260,Mount St. Mary's,48,14-34,1219,437,75,0.957
261,LIU,58,37-21,1550,491,93,0.956
262,Wagner,51,17-34,1290,472,81,0.956
263,A&M-Corpus Christi,55,27-28,1423,459,88,0.955
264,St. Bonaventure,44,May-39,1112,404,71,0.955
265,Akron,56,15-41,1331,478,85,0.955
266,Ohio St.,51,21-30,1333,453,84,0.955
267,Lafayette,50,15-35,1209,381,75,0.955
268,FGCU,58,35-23,1535,558,99,0.955
269,Hartford,50,13-37,1290,515,86,0.955
270,NIU,54,14-40,1265,435,81,0.955
271,Cornell,36,25-Nov,931,325,60,0.954
272,Charleston So.,54,24-30,1372,451,88,0.954
273,Holy Cross,54,17-37,1332,483,89,0.953
274,Siena,48,Nov-37,1212,412,80,0.953
275,Houston Christian,54,18-36,1339,443,89,0.952
276,Saint Peter's,50,Sep-41,1209,409,81,0.952
277,Southern U.,58,27-31,1434,517,98,0.952
278,Sacred Heart,53,Dec-41,1345,439,90,0.952
