Rank,Name,G,W-L,3B
1,Texas Southern,53,28-25,29
2,Grambling,57,26-31,28
,Louisiana,60,37-23,28
,Ball St.,59,40-19,28
5,Arizona,64,39-25,26
6,McNeese,57,34-23,24
,UConn,66,50-16,24
,A&M-Corpus Christi,55,27-28,24
,Dartmouth,43,24-19,24
,Coppin St.,54,24-30,24
11,Sam Houston,56,31-25,23
,San Jose St.,59,30-29,23
,Oregon St.,66,48-18,23
,New Mexico St.,58,24-34,23
,Tennessee,66,57-9,23
16,UC Santa Barbara,58,44-14,22
,New Mexico,54,21-33,22
,UNLV,58,36-22,22
,Delaware,51,25-26,22
20,USC Upstate,58,35-22-1,21
,Prairie View,57,30-27,21
,Louisville,64,42-21-1,21
,Lamar University,58,37-21,21
24,Ark.-Pine Bluff,50,13-36-1,20
,Michigan St.,54,24-30,20
,Nevada,55,29-26,20
,Virginia Tech,59,45-14,20
,Western Caro.,58,26-31-1,20
,UC Irvine,56,32-24,20
30,UMBC,55,23-32,19
,Penn St.,55,26-29,19
,Air Force,61,32-29,19
,Santa Clara,53,24-29,19
34,Georgia Tech,60,36-24,18
,Iona,47,Jun-41,18
,Alabama A&M,49,14-35,18
,Rutgers,59,44-15,18
,Canisius,54,29-25,18
,Stanford,65,47-18,18
,Utah,54,26-27-1,18
41,UIW,52,21-31,17
,UMass Lowell,58,28-30,17
,Marist,46,29-17,17
,Bowling Green,52,18-34,17
,Campbell,60,41-19,17
,Utah Valley,55,18-37,17
,Murray St.,55,30-25,17
,NJIT,53,26-27,17
,Oral Roberts,58,38-20,17
,Saint Mary's (CA),55,25-30,17
,Wright St.,57,30-27,17
52,Seattle U,50,16-34,16
,Wofford,59,42-16-1,16
,Col. of Charleston,57,37-20,16
,DBU,59,34-24-1,16
,Miami (OH),56,23-33,16
,Bryant,57,30-27,16
,UNC Greensboro,64,34-30,16
,Columbia,50,32-18,16
,Davidson,56,43-13,16
,South Alabama,54,31-23,16
,Southern U.,58,27-31,16
,Vanderbilt,62,39-23,16
,UCF,60,35-25,16
65,Grand Canyon,62,41-21,15
,Belmont,59,39-20,15
,Kansas,55,20-35,15
,Alabama St.,59,34-25,15
,Cornell,36,25-Nov,15
,Virginia,58,39-19,15
,Saint Joseph's,54,29-25,15
,Texas Tech,61,39-22,15
,UTSA,58,38-20,15
,Tulane,60,33-26-1,15
,UNC Asheville,51,21-29-1,15
,Norfolk St.,47,15-32,15
,Richmond,56,30-26,15
,Stony Brook,52,27-25,15
79,Georgia,59,36-23,14
,Pittsburgh,56,29-27,14
,Houston Christian,54,18-36,14
,Jackson St.,56,29-27,14
,BYU,54,33-21,14
,Bucknell,48,22-26,14
,Cal St. Fullerton,55,22-33,14
,Seton Hall,53,18-35,14
,Milwaukee,50,20-30,14
,Youngstown St.,57,21-36,14
,Southeastern La.,61,30-31,14
,Stetson,55,26-29,14
,Valparaiso,48,16-32,14
,North Carolina,64,42-22,14
,ULM,56,20-35-1,14
,Northern Colo.,51,Dec-39,14
,Oklahoma,69,45-24,14
,UTRGV,58,33-25,14
,Gonzaga,56,37-19,14
98,Fairfield,52,31-21,13
,Lipscomb,58,35-23,13
,Ga. Southern,61,41-20,13
,Holy Cross,54,17-37,13
,Indiana,59,27-32,13
,Baylor,54,26-28,13
,California,56,29-27,13
,Central Mich.,62,43-19,13
,Cincinnati,55,24-31,13
,East Carolina,67,46-21,13
,San Diego,57,37-20,13
,VMI,56,16-40,13
,Texas St.,61,47-14,13
,Nebraska,53,23-30,13
,Northeastern,61,31-29-1,13
,Ohio,53,29-24,13
,Minnesota,52,16-36,13
115,Kennesaw St.,64,36-28,12
,St. Bonaventure,44,May-39,12
,Longwood,53,20-33,12
,Maine,49,27-22,12
,Florida,66,42-24,12
,Hofstra,53,30-23,12
,Indiana St.,49,26-22-1,12
,Akron,56,15-41,12
,Fresno St.,55,27-28,12
,UCLA,64,40-24,12
,San Diego St.,56,18-38,12
,Southern California,53,25-28,12
,TCU,60,38-22,12
,Texas,69,47-22,12
,Towson,53,14-39,12
,Notre Dame,58,41-17,12
,Old Dominion,58,41-17,12
,Oregon,61,36-25,12
,Rhode Island,55,20-35,12
,FDU,54,24-30,12
135,Elon,55,27-28,11
,Eastern Ill.,53,33-20,11
,Eastern Mich.,56,22-34,11
,Kentucky,59,33-26,11
,LIU,58,37-21,11
,LSU,62,40-22,11
,Miami (FL),60,40-20,11
,George Mason,56,23-33,11
,Hartford,50,13-37,11
,UAB,56,31-25,11
,UAlbany,47,22-25,11
,Arizona St.,58,26-32,11
,Arkansas,67,46-21,11
,Little Rock,51,24-27,11
,CSUN,54,32-22,11
,Sacramento St.,58,32-26,11
,Creighton,49,31-18,11
,ETSU,51,30-21,11
,San Francisco,57,28-29,11
,Wake Forest,61,41-19-1,11
,West Virginia,55,33-22,11
,Western Ky.,54,18-36,11
,SIUE,55,27-28,11
,Toledo,58,33-25,11
,Navy,45,19-26,11
,UNCW,55,31-24,11
,Nicholls,51,26-25,11
,N.C. A&T,53,15-38,11
,Oklahoma St.,64,42-22,11
,Portland,55,32-23,11
,Purdue,50,29-21,11
,Saint Louis,53,29-24,11
167,Rice,56,17-39,10
,LMU (CA),55,20-34-1,10
,Florida A&M,59,29-30,10
,Illinois,53,31-22,10
,Purdue Fort Wayne,54,18-36,10
,Jacksonville St.,55,27-28,10
,Abilene Christian,59,30-29,10
,App State,53,20-33,10
,Auburn,65,43-22,10
,Bethune-Cookman,59,27-32,10
,Coastal Carolina,60,39-20-1,10
,Delaware St.,48,25-23,10
,Wichita St.,57,21-36,10
,Xavier,60,33-27,10
,Southeast Mo. St.,59,37-22,10
,Southern Miss.,66,47-19,10
,Texas A&M,64,44-20,10
,Morehead St.,54,27-27,10
,Charlotte,58,36-22,10
,New Orleans,53,30-23,10
,Niagara,54,22-32,10
,Northwestern,51,24-27,10
,Oakland,58,31-27,10
,Ohio St.,51,21-30,10
,Central Ark.,53,24-29,10
192,North Florida,55,22-33,9
,St. John's (NY),55,22-32-1,9
,Lehigh,50,26-24,9
,Louisiana Tech,64,43-21,9
,UMES,54,17-37,9
,Mississippi Val.,42,10/31/2001,9
,Houston,61,37-24,9
,Iowa,55,36-19,9
,Boston College,53,19-34,9
,Bradley,49,20-29,9
,UC Riverside,53,Aug-45,9
,The Citadel,57,26-31,9
,Wagner,51,17-34,9
,Western Mich.,54,18-36,9
,Southern Ill.,60,44-16,9
,Missouri St.,60,31-29,9
,SFA,52,15-37,9
,Troy,56,32-24,9
,Villanova,49,19-29-1,9
,VCU,62,42-20,9
,Ole Miss,65,42-23,9
,NC State,57,36-21,9
,Northern Ky.,54,19-35,9
,Pepperdine,50,24-26,9
,Lafayette,50,15-35,9
217,Presbyterian,54,22-32,8
,Saint Peter's,50,Sep-41,8
,Eastern Ky.,58,38-20,8
,Kent St.,53,24-29,8
,Massachusetts,49,22-26-1,8
,Mercer,58,40-18,8
,Michigan,62,34-28,8
,Middle Tenn.,55,29-26,8
,George Washington,52,22-30,8
,UIC,47,22-25,8
,Alabama,58,31-27,8
,Cal Poly,58,37-21,8
,Long Beach St.,56,29-27,8
,Samford,57,28-29,8
,Washington St.,53,27-26,8
,Washington,56,30-26,8
,South Fla.,57,28-29,8
,UT Martin,45,Nov-34,8
,Army West Point,56,31-25,8
,North Dakota St.,50,31-19,8
,NIU,54,14-40,8
,Quinnipiac,48,15-33,8
,Rider,54,28-26,8
240,Gardner-Webb,60,24-36,7
,Sacred Heart,53,Dec-41,7
,Manhattan,50,24-26,7
,Marshall,55,20-34-1,7
,FIU,50,16-34,7
,Florida St.,59,34-25,7
,Harvard,41,19-22,7
,James Madison,53,27-26,7
,Brown,36,13-23,7
,Butler,56,20-35-1,7
,UC Davis,41,Jun-35,7
,Central Conn. St.,47,29-18,7
,Dayton,50,23-27,7
,William & Mary,49,26-23,7
,Northwestern St.,54,25-29,7
,Kansas St.,58,29-29,7
256,High Point,56,23-33,6
,Maryland,62,48-14,6
,Memphis,55,26-29,6
,FGCU,58,35-23,6
,Georgetown,56,32-24,6
,Clemson,58,35-23,6
,Siena,48,Nov-37,6
,Princeton,40,Jul-33,6
,Fla. Atlantic,58,35-23,6
265,Evansville,56,32-24,5
,Penn,48,33-15,5
,Mississippi St.,56,26-30,5
,Jacksonville,55,27-28,5
,Alcorn,41,Feb-39,5
,Arkansas St.,49,Nov-38,5
,Charleston So.,54,24-30,5
,Binghamton,52,22-30,5
,CSU Bakersfield,52,18-34,5
,South Carolina,55,27-28,5
,Western Ill.,52,Aug-44,5
,Winthrop,52,18-34,5
,Tennessee Tech,57,30-27,5
,Missouri,51,28-23,5
,Monmouth,51,24-27,5
,Pacific,52,14-38,5
,Liberty,60,37-23,5
282,Georgia St.,57,30-27,4
,Hawaii,52,28-24,4
,Illinois St.,51,20-31,4
,Radford,48,15-33,4
,Yale,38,20-18,4
,UT Arlington,54,15-39,4
,Mount St. Mary's,48,14-34,4
,Duke,54,22-32,4
290,Fordham,52,16-36,3
,Omaha,57,26-31,3
,South Dakota St.,45,22-23,3
293,Austin Peay,56,19-37,2
NR,UC San Diego,56,24-32,18
NR,Merrimack,49,17-31-1,12
NR,St. Thomas (MN),45,16-29,11
NR,Tarleton St.,53,17-36,10
NR,North Ala.,53,Dec-41,8
NR,Utah Tech,55,22-33,8
NR,California Baptist,56,36-20,6
NR,Bellarmine,54,Nov-43,4
