Rank,Name,G,W-L,HR,PG
1,Tennessee,66,57-9,158,2.39
2,Maryland,62,48-14,137,2.21
3,Old Dominion,58,41-17,128,2.21
4,Virginia Tech,59,45-14,126,2.14
5,Tennessee Tech,57,30-27,114,2
,Wake Forest,61,41-19-1,122,2
7,Campbell,60,41-19,118,1.97
8,Georgia Tech,60,36-24,115,1.92
9,Texas,69,47-22,128,1.86
10,LSU,62,40-22,114,1.84
11,Missouri St.,60,31-29,110,1.83
,Florida,66,42-24,121,1.83
13,Mercer,58,40-18,106,1.83
14,Stanford,65,47-18,118,1.82
15,SIUE,55,27-28,99,1.8
16,NC State,57,36-21,101,1.77
17,Georgetown,56,32-24,98,1.75
18,Clemson,58,35-23,100,1.72
19,Charlotte,58,36-22,99,1.71
20,Mississippi St.,56,26-30,95,1.7
21,Xavier,60,33-27,100,1.67
22,Ole Miss,65,42-23,108,1.66
23,Southeast Mo. St.,59,37-22,97,1.64
24,Rutgers,59,44-15,96,1.63
25,FGCU,58,35-23,94,1.62
26,Arkansas,67,46-21,106,1.58
27,Cincinnati,55,24-31,87,1.58
28,North Carolina,64,42-22,101,1.58
29,Air Force,61,32-29,95,1.56
30,Davidson,56,43-13,86,1.54
31,Fla. Atlantic,58,35-23,89,1.53
32,Kent St.,53,24-29,81,1.53
33,Morehead St.,54,27-27,81,1.5
,Miami (FL),60,40-20,90,1.5
35,Louisville,64,42-21-1,95,1.48
36,Michigan,62,34-28,92,1.48
37,ETSU,51,30-21,75,1.47
38,Southern Ill.,60,44-16,88,1.47
39,DBU,59,34-24-1,86,1.46
40,Oklahoma St.,64,42-22,93,1.45
41,Kansas St.,58,29-29,84,1.45
42,Eastern Mich.,56,22-34,81,1.45
43,Fairfield,52,31-21,75,1.44
44,Texas St.,61,47-14,87,1.43
45,Wright St.,57,30-27,81,1.42
46,Pittsburgh,56,29-27,79,1.41
47,Abilene Christian,59,30-29,83,1.41
48,South Dakota St.,45,22-23,62,1.38
49,Evansville,56,32-24,77,1.38
50,Georgia,59,36-23,81,1.37
51,Coastal Carolina,60,39-20-1,82,1.37
52,Notre Dame,58,41-17,79,1.36
,UNLV,58,36-22,79,1.36
54,Texas Tech,61,39-22,83,1.36
55,UC Santa Barbara,58,44-14,78,1.34
56,California,56,29-27,75,1.34
57,Ohio St.,51,21-30,68,1.33
58,Georgia St.,57,30-27,75,1.32
59,Texas A&M,64,44-20,84,1.31
60,Duke,54,22-32,70,1.3
,Saint Joseph's,54,29-25,70,1.3
62,Virginia,58,39-19,75,1.29
63,UNCW,55,31-24,71,1.29
64,Boston College,53,19-34,68,1.28
65,Columbia,50,32-18,64,1.28
66,UConn,66,50-16,83,1.26
67,Northwestern,51,24-27,64,1.25
68,Liberty,60,37-23,75,1.25
69,Southern Miss.,66,47-19,82,1.24
70,Vanderbilt,62,39-23,77,1.24
71,New Mexico,54,21-33,67,1.24
72,Indiana,59,27-32,73,1.24
73,Fresno St.,55,27-28,68,1.24
74,Louisiana Tech,64,43-21,79,1.23
75,UCF,60,35-25,74,1.23
76,Oregon,61,36-25,75,1.23
77,Hartford,50,13-37,61,1.22
78,Missouri,51,28-23,62,1.22
79,UTSA,58,38-20,69,1.19
,Eastern Ky.,58,38-20,69,1.19
81,Quinnipiac,48,15-33,57,1.19
82,Bradley,49,20-29,58,1.18
,Maine,49,27-22,58,1.18
84,Rhode Island,55,20-35,65,1.18
85,Grand Canyon,62,41-21,73,1.18
86,Wichita St.,57,21-36,67,1.18
87,Southern California,53,25-28,62,1.17
88,Ball St.,59,40-19,69,1.17
89,Marshall,55,20-34-1,64,1.16
90,Arizona,64,39-25,74,1.16
91,Lipscomb,58,35-23,67,1.16
92,James Madison,53,27-26,61,1.15
93,East Carolina,67,46-21,77,1.15
94,Southeastern La.,61,30-31,70,1.15
95,Richmond,56,30-26,64,1.14
96,Samford,57,28-29,65,1.14
97,Auburn,65,43-22,74,1.14
98,Western Caro.,58,26-31-1,66,1.14
,New Mexico St.,58,24-34,66,1.14
100,San Jose St.,59,30-29,66,1.12
101,Ohio,53,29-24,59,1.11
102,Jacksonville St.,55,27-28,61,1.11
103,Arizona St.,58,26-32,64,1.1
104,Monmouth,51,24-27,56,1.1
105,Kennesaw St.,64,36-28,70,1.09
106,UTRGV,58,33-25,63,1.09
107,Alabama,58,31-27,62,1.07
108,Oklahoma,69,45-24,73,1.06
109,NJIT,53,26-27,56,1.06
110,Western Mich.,54,18-36,57,1.06
111,South Carolina,55,27-28,58,1.05
,Murray St.,55,30-25,58,1.05
113,South Fla.,57,28-29,60,1.05
114,Toledo,58,33-25,61,1.05
115,Tulane,60,33-26-1,63,1.05
116,Penn,48,33-15,50,1.04
117,UIW,52,21-31,54,1.04
118,Florida St.,59,34-25,61,1.03
119,TCU,60,38-22,62,1.03
120,Stony Brook,52,27-25,53,1.02
121,McNeese,57,34-23,58,1.02
122,Houston,61,37-24,62,1.02
,Ga. Southern,61,41-20,62,1.02
124,VCU,62,42-20,63,1.02
125,Kansas,55,20-35,55,1
,Princeton,40,Jul-33,40,1
,Eastern Ill.,53,33-20,53,1
,Rider,54,28-26,54,1
,A&M-Corpus Christi,55,27-28,55,1
,Kentucky,59,33-26,59,1
,Northwestern St.,54,25-29,54,1
,North Dakota St.,50,31-19,50,1
,Grambling,57,26-31,57,1
,Nevada,55,29-26,55,1
,UAlbany,47,22-25,47,1
,Delaware,51,25-26,51,1
,San Diego,57,37-20,57,1
138,Bryant,57,30-27,56,0.98
139,Utah Valley,55,18-37,54,0.98
140,Northern Ky.,54,19-35,53,0.98
141,Illinois St.,51,20-31,50,0.98
142,Miami (OH),56,23-33,54,0.96
,UAB,56,31-25,54,0.96
,Troy,56,32-24,54,0.96
145,Canisius,54,29-25,52,0.96
146,Nebraska,53,23-30,51,0.96
147,William & Mary,49,26-23,47,0.96
148,Central Conn. St.,47,29-18,45,0.96
149,Louisiana,60,37-23,57,0.95
150,Sacramento St.,58,32-26,55,0.95
151,Austin Peay,56,19-37,53,0.95
152,FDU,54,24-30,51,0.94
153,Towson,53,14-39,50,0.94
154,Lehigh,50,26-24,47,0.94
155,LIU,58,37-21,54,0.93
156,Col. of Charleston,57,37-20,53,0.93
157,Minnesota,52,16-36,48,0.92
158,Indiana St.,49,26-22-1,45,0.92
159,Cornell,36,25-Nov,33,0.92
160,Memphis,55,26-29,50,0.91
,Iowa,55,36-19,50,0.91
,West Virginia,55,33-22,50,0.91
163,Western Ky.,54,18-36,49,0.91
,Purdue Fort Wayne,54,18-36,49,0.91
165,Illinois,53,31-22,48,0.91
,New Orleans,53,30-23,48,0.91
167,Pacific,52,14-38,47,0.9
168,Belmont,59,39-20,53,0.9
,Alabama St.,59,34-25,53,0.9
170,Oregon St.,66,48-18,59,0.89
171,ULM,56,20-35-1,50,0.89
,VMI,56,16-40,50,0.89
173,Charleston So.,54,24-30,48,0.89
174,Bowling Green,52,18-34,46,0.88
175,Seattle U,50,16-34,44,0.88
,Dayton,50,23-27,44,0.88
177,San Francisco,57,28-29,50,0.88
178,Middle Tenn.,55,29-26,48,0.87
179,UIC,47,22-25,41,0.87
180,BYU,54,33-21,47,0.87
,South Alabama,54,31-23,47,0.87
182,Yale,38,20-18,33,0.87
183,Texas Southern,53,28-25,46,0.87
,Saint Louis,53,29-24,46,0.87
185,UT Martin,45,Nov-34,39,0.87
186,Wofford,59,42-16-1,51,0.86
187,Little Rock,51,24-27,44,0.86
188,UMass Lowell,58,28-30,50,0.86
189,Purdue,50,29-21,43,0.86
190,Washington,56,30-26,48,0.86
191,Southern U.,58,27-31,49,0.84
192,Pepperdine,50,24-26,42,0.84
193,Brown,36,13-23,30,0.83
194,UNC Greensboro,64,34-30,53,0.83
195,Oakland,58,31-27,48,0.83
196,Winthrop,52,18-34,43,0.83
197,Nicholls,51,26-25,42,0.82
198,Arkansas St.,49,Nov-38,40,0.82
199,CSUN,54,32-22,44,0.81
200,Dartmouth,43,24-19,35,0.81
201,Hofstra,53,30-23,43,0.81
202,Oral Roberts,58,38-20,47,0.81
,Cal Poly,58,37-21,47,0.81
204,Binghamton,52,22-30,42,0.81
205,LMU (CA),55,20-34-1,44,0.8
206,Massachusetts,49,22-26-1,39,0.8
207,Gardner-Webb,60,24-36,47,0.78
208,Elon,55,27-28,43,0.78
209,Niagara,54,22-32,42,0.78
210,Central Mich.,62,43-19,48,0.77
211,N.C. A&T,53,15-38,41,0.77
212,Wagner,51,17-34,39,0.76
213,Penn St.,55,26-29,42,0.76
214,Utah,54,26-27-1,41,0.76
215,Sam Houston,56,31-25,42,0.75
216,Central Ark.,53,24-29,39,0.74
217,UCLA,64,40-24,47,0.73
218,George Washington,52,22-30,38,0.73
219,Mount St. Mary's,48,14-34,35,0.73
220,Baylor,54,26-28,39,0.72
,Michigan St.,54,24-30,39,0.72
222,Butler,56,20-35-1,40,0.71
223,North Florida,55,22-33,39,0.71
,Saint Mary's (CA),55,25-30,39,0.71
225,Harvard,41,19-22,29,0.71
226,Presbyterian,54,22-32,38,0.7
227,Omaha,57,26-31,40,0.7
228,FIU,50,16-34,35,0.7
229,Washington St.,53,27-26,37,0.7
,Longwood,53,20-33,37,0.7
231,UC Irvine,56,32-24,39,0.7
,Gonzaga,56,37-19,39,0.7
,Rice,56,17-39,39,0.7
234,SFA,52,15-37,36,0.69
235,St. John's (NY),55,22-32-1,38,0.69
236,USC Upstate,58,35-22-1,40,0.69
237,Delaware St.,48,25-23,33,0.69
238,Milwaukee,50,20-30,34,0.68
239,High Point,56,23-33,38,0.68
240,Creighton,49,31-18,33,0.67
241,Mississippi Val.,42,10/31/2001,28,0.67
242,Long Beach St.,56,29-27,37,0.66
243,Lamar University,58,37-21,38,0.66
244,Florida A&M,59,29-30,38,0.64
245,George Mason,56,23-33,36,0.64
246,Manhattan,50,24-26,32,0.64
247,Portland,55,32-23,35,0.64
,Cal St. Fullerton,55,22-33,35,0.64
249,CSU Bakersfield,52,18-34,33,0.63
250,Valparaiso,48,16-32,30,0.63
,Siena,48,Nov-37,30,0.63
252,Hawaii,52,28-24,32,0.62
253,Marist,46,29-17,28,0.61
254,Northern Colo.,51,Dec-39,31,0.61
255,Akron,56,15-41,34,0.61
256,UMBC,55,23-32,33,0.6
257,Youngstown St.,57,21-36,34,0.6
258,Houston Christian,54,18-36,32,0.59
