Rank,Name,G,W-L,SF
1,UConn,66,50-16,44
2,Sacramento St.,58,32-26,43
3,Coastal Carolina,60,39-20-1,39
,Texas A&M,64,44-20,39
,East Carolina,67,46-21,39
6,Nevada,55,29-26,38
,Texas Southern,53,28-25,38
8,Charleston So.,54,24-30,37
9,UTSA,58,38-20,36
,Texas Tech,61,39-22,36
11,Presbyterian,54,22-32,35
,Texas,69,47-22,35
,Central Mich.,62,43-19,35
,Florida,66,42-24,35
15,Auburn,65,43-22,34
,Georgia Tech,60,36-24,34
17,UMBC,55,23-32,33
,Maryland,62,48-14,33
,Lipscomb,58,35-23,33
,Virginia,58,39-19,33
,UCLA,64,40-24,33
22,UMass Lowell,58,28-30,32
,Xavier,60,33-27,32
,NC State,57,36-21,32
,TCU,60,38-22,32
,Tennessee,66,57-9,32
27,Grand Canyon,62,41-21,31
,Wofford,59,42-16-1,31
,Louisiana Tech,64,43-21,31
,Cal Poly,58,37-21,31
,Prairie View,57,30-27,31
,Vanderbilt,62,39-23,31
,Ole Miss,65,42-23,31
,Oral Roberts,58,38-20,31
,Southern Miss.,66,47-19,31
36,Columbia,50,32-18,30
,Western Caro.,58,26-31-1,30
,Tulane,60,33-26-1,30
,Stanford,65,47-18,30
,Texas St.,61,47-14,30
41,Kennesaw St.,64,36-28,29
,Eastern Ky.,58,38-20,29
,Oklahoma St.,64,42-22,29
,Sam Houston,56,31-25,29
,Southern Ill.,60,44-16,29
,Louisville,64,42-21-1,29
47,Maine,49,27-22,28
,California,56,29-27,28
,A&M-Corpus Christi,55,27-28,28
,Tennessee Tech,57,30-27,28
,UNLV,58,36-22,28
,Virginia Tech,59,45-14,28
53,USC Upstate,58,35-22-1,27
,Saint Louis,53,29-24,27
,Miami (FL),60,40-20,27
,Georgia,59,36-23,27
,Campbell,60,41-19,27
,Louisiana,60,37-23,27
,Toledo,58,33-25,27
,Army West Point,56,31-25,27
,UNCW,55,31-24,27
,Oakland,58,31-27,27
,Ohio,53,29-24,27
,Oregon St.,66,48-18,27
,Rutgers,59,44-15,27
,Col. of Charleston,57,37-20,27
67,Memphis,55,26-29,26
,Mercer,58,40-18,26
,Michigan,62,34-28,26
,Clemson,58,35-23,26
,Saint Joseph's,54,29-25,26
,South Fla.,57,28-29,26
,Air Force,61,32-29,26
,Utah,54,26-27-1,26
,Notre Dame,58,41-17,26
,Creighton,49,31-18,26
77,Ark.-Pine Bluff,50,13-36-1,25
,Belmont,59,39-20,25
,LIU,58,37-21,25
,LSU,62,40-22,25
,Marist,46,29-17,25
,Gonzaga,56,37-19,25
,UAlbany,47,22-25,25
,Arizona,64,39-25,25
,San Diego,57,37-20,25
,South Carolina,55,27-28,25
,Wake Forest,61,41-19-1,25
,Wright St.,57,30-27,25
,Missouri St.,60,31-29,25
,New Orleans,53,30-23,25
,Nicholls,51,26-25,25
,Old Dominion,58,41-17,25
93,Kentucky,59,33-26,24
,Penn,48,33-15,24
,LMU (CA),55,20-34-1,24
,Marshall,55,20-34-1,24
,McNeese,57,34-23,24
,Grambling,57,26-31,24
,Arkansas,67,46-21,24
,Ball St.,59,40-19,24
,UC Santa Barbara,58,44-14,24
,Murray St.,55,30-25,24
,Charlotte,58,36-22,24
,NJIT,53,26-27,24
,Norfolk St.,47,15-32,24
,UTRGV,58,33-25,24
,Longwood,53,20-33,24
108,Central Ark.,53,24-29,23
,Richmond,56,30-26,23
,Kent St.,53,24-29,23
,Mississippi St.,56,26-30,23
,Ga. Southern,61,41-20,23
,Hofstra,53,30-23,23
,Alabama St.,59,34-25,23
,Alabama,58,31-27,23
,Bethune-Cookman,59,27-32,23
,BYU,54,33-21,23
,UC Irvine,56,32-24,23
,UCF,60,35-25,23
,Coppin St.,54,24-30,23
,Dartmouth,43,24-19,23
,Davidson,56,43-13,23
,San Jose St.,59,30-29,23
,Western Ky.,54,18-36,23
,Southern California,53,25-28,23
,SIUE,55,27-28,23
,Missouri,51,28-23,23
