Rank,Name,G,W-L,IP,SO,K/9
1,Florida St.,59,34-25,534,702,11.8
2,Southern Miss.,66,47-19,596.1,746,11.3
3,Iowa,55,36-19,489.1,609,11.2
4,Mississippi St.,56,26-30,489.2,592,10.9
5,Ole Miss,65,42-23,564.1,682,10.9
6,Miami (FL),60,40-20,534,640,10.8
7,Oklahoma St.,64,42-22,571,679,10.7
8,Notre Dame,58,41-17,517.2,615,10.7
9,Gonzaga,56,37-19,504.1,596,10.6
10,Duke,54,22-32,478,563,10.6
11,Indiana,59,27-32,512.2,600,10.5
12,Ball St.,59,40-19,478,559,10.5
13,Virginia,58,39-19,511.2,598,10.5
14,Tennessee,66,57-9,594.2,695,10.5
15,Liberty,60,37-23,535,620,10.4
16,Kentucky,59,33-26,513,593,10.4
17,Penn,48,33-15,420.2,484,10.4
18,Vanderbilt,62,39-23,545,627,10.4
19,Auburn,65,43-22,579,666,10.4
20,Abilene Christian,59,30-29,511.1,588,10.3
21,Arkansas,67,46-21,591,674,10.3
22,FIU,50,16-34,444,506,10.3
23,Texas Tech,61,39-22,539.1,608,10.1
24,Louisville,64,42-21-1,575.1,646,10.1
25,LSU,62,40-22,546,610,10.1
26,DBU,59,34-24-1,514.1,570,10
27,Grand Canyon,62,41-21,541,597,9.9
28,Ohio St.,51,21-30,445.1,490,9.9
29,Harvard,41,19-22,357,388,9.8
30,Georgia,59,36-23,519,563,9.8
31,UConn,66,50-16,592.1,642,9.8
32,East Carolina,67,46-21,597.1,647,9.7
33,Cal Poly,58,37-21,517.1,559,9.7
34,Jacksonville,55,27-28,492,530,9.7
35,San Diego,57,37-20,513.2,553,9.7
36,NC State,57,36-21,512.1,549,9.6
37,Davidson,56,43-13,497,532,9.6
38,Louisiana Tech,64,43-21,567.2,606,9.6
39,Mercer,58,40-18,515.1,550,9.6
40,Kansas St.,58,29-29,506.2,540,9.6
41,UC Santa Barbara,58,44-14,519,553,9.6
42,Canisius,54,29-25,465.2,495,9.6
43,Purdue,50,29-21,450.2,479,9.6
44,Campbell,60,41-19,534,566,9.5
45,Eastern Ill.,53,33-20,456.1,483,9.5
46,Alabama,58,31-27,511.1,540,9.5
47,Oregon St.,66,48-18,594.2,628,9.5
48,Santa Clara,53,24-29,464,490,9.5
49,Central Mich.,62,43-19,512.2,540,9.5
50,Virginia Tech,59,45-14,531,558,9.5
51,Memphis,55,26-29,478.1,502,9.4
52,Marist,46,29-17,399.1,419,9.4
53,Troy,56,32-24,496,520,9.4
54,Oklahoma,69,45-24,614.1,644,9.4
55,Saint Mary's (CA),55,25-30,474.1,497,9.4
56,Valparaiso,48,16-32,397.2,416,9.4
57,South Carolina,55,27-28,479,501,9.4
58,Long Beach St.,56,29-27,496,518,9.4
59,Portland,55,32-23,481,502,9.4
60,Oral Roberts,58,38-20,506,527,9.4
61,Texas A&M,64,44-20,566,588,9.3
62,Wake Forest,61,41-19-1,536.1,557,9.3
63,Bethune-Cookman,59,27-32,513,531,9.3
64,UCF,60,35-25,522.2,541,9.3
65,West Virginia,55,33-22,479.1,496,9.3
66,UTSA,58,38-20,502,519,9.3
67,Georgia Tech,60,36-24,530.1,547,9.3
68,Charlotte,58,36-22,516.2,532,9.3
69,Monmouth,51,24-27,444.1,457,9.3
70,Minnesota,52,16-36,455.1,468,9.3
71,Lipscomb,58,35-23,511,525,9.2
72,Jackson St.,56,29-27,468.1,481,9.2
73,Penn St.,55,26-29,490,503,9.2
74,California,56,29-27,497.1,510,9.2
75,McNeese,57,34-23,506.1,519,9.2
76,Stanford,65,47-18,581,595,9.2
77,Louisiana,60,37-23,532.1,545,9.2
78,Rutgers,59,44-15,523,534,9.2
79,Georgia St.,57,30-27,495.1,505,9.2
80,Washington St.,53,27-26,466.2,473,9.1
81,UIW,52,21-31,449.1,455,9.1
82,BYU,54,33-21,479.1,485,9.1
83,Coastal Carolina,60,39-20-1,518,524,9.1
84,North Carolina,64,42-22,577.1,584,9.1
85,San Diego St.,56,18-38,499.1,504,9.1
86,Grambling,57,26-31,465.2,470,9.1
87,Clemson,58,35-23,510.2,515,9.1
88,Texas St.,61,47-14,538.1,541,9
89,Texas,69,47-22,603.1,606,9
90,New Mexico St.,58,24-34,500,502,9
91,UCLA,64,40-24,577,579,9
92,Fresno St.,55,27-28,493.2,495,9
93,Wright St.,57,30-27,489,490,9
94,TCU,60,38-22,525.1,523,9
95,Dayton,50,23-27,434,432,9
96,Western Caro.,58,26-31-1,509.2,506,8.9
97,Marshall,55,20-34-1,478.1,474,8.9
98,Indiana St.,49,26-22-1,432,428,8.9
99,UTRGV,58,33-25,490,485,8.9
100,Wofford,59,42-16-1,512.1,506,8.9
101,Eastern Ky.,58,38-20,510.1,504,8.9
102,Yale,38,20-18,334.1,330,8.9
103,Lafayette,50,15-35,403,397,8.9
104,Charleston So.,54,24-30,457.1,450,8.9
105,UC Irvine,56,32-24,506.1,497,8.8
106,Florida,66,42-24,587,575,8.8
107,Southeast Mo. St.,59,37-22,516.1,505,8.8
108,UIC,47,22-25,402,393,8.8
109,Hawaii,52,28-24,464.2,454,8.8
110,Missouri,51,28-23,438.1,428,8.8
111,Maine,49,27-22,426.1,416,8.8
112,Coppin St.,54,24-30,440,429,8.8
113,South Dakota St.,45,22-23,380.2,371,8.8
114,Norfolk St.,47,15-32,374.2,365,8.8
115,Milwaukee,50,20-30,418,407,8.8
116,Michigan,62,34-28,542.2,528,8.8
117,Creighton,49,31-18,430,418,8.7
118,Col. of Charleston,57,37-20,498.1,484,8.7
119,Old Dominion,58,41-17,524.2,509,8.7
120,Alabama St.,59,34-25,512.2,497,8.7
121,Maryland,62,48-14,557,538,8.7
122,Seton Hall,53,18-35,457.1,439,8.6
123,Central Ark.,53,24-29,466.1,447,8.6
124,Florida A&M,59,29-30,503,482,8.6
125,Washington,56,30-26,495.1,474,8.6
126,Wichita St.,57,21-36,497.2,475,8.6
127,Nebraska,53,23-30,458,437,8.6
128,Miami (OH),56,23-33,464.1,442,8.6
129,Pittsburgh,56,29-27,489.2,466,8.6
130,Austin Peay,56,19-37,480.1,456,8.5
131,Richmond,56,30-26,503.2,477,8.5
132,Niagara,54,22-32,466,441,8.5
133,Boston College,53,19-34,463.1,438,8.5
134,Arkansas St.,49,Nov-38,420.2,397,8.5
135,Omaha,57,26-31,498.2,470,8.5
136,South Fla.,57,28-29,494.2,466,8.5
137,VCU,62,42-20,550.2,518,8.5
138,Gardner-Webb,60,24-36,514,482,8.4
139,Xavier,60,33-27,514.1,482,8.4
140,Tulane,60,33-26-1,520.1,487,8.4
141,ETSU,51,30-21,449,420,8.4
142,FGCU,58,35-23,511.2,478,8.4
143,Rice,56,17-39,485.2,453,8.4
144,Delaware,51,25-26,444.1,414,8.4
145,LIU,58,37-21,516.2,481,8.4
146,Bryant,57,30-27,500.1,465,8.4
147,Western Ky.,54,18-36,464,431,8.4
148,App State,53,20-33,465,430,8.3
149,South Alabama,54,31-23,476,440,8.3
150,Quinnipiac,48,15-33,410.1,379,8.3
151,Jacksonville St.,55,27-28,487.2,450,8.3
152,Fairfield,52,31-21,458.2,422,8.3
153,Binghamton,52,22-30,450.1,414,8.3
154,Missouri St.,60,31-29,518.1,476,8.3
155,CSU Bakersfield,52,18-34,462.1,424,8.3
156,Youngstown St.,57,21-36,473.1,434,8.3
157,Eastern Mich.,56,22-34,454,416,8.2
158,Toledo,58,33-25,478.1,438,8.2
159,Fla. Atlantic,58,35-23,513.1,470,8.2
160,Rider,54,28-26,472,432,8.2
161,Georgetown,56,32-24,495,453,8.2
162,Kennesaw St.,64,36-28,554.2,506,8.2
163,Sam Houston,56,31-25,484.2,442,8.2
164,Brown,36,13-23,310.1,283,8.2
165,San Francisco,57,28-29,516.1,470,8.2
166,Lamar University,58,37-21,512,466,8.2
167,Butler,56,20-35-1,482,438,8.2
168,Villanova,49,19-29-1,419.1,381,8.2
169,Houston,61,37-24,539,488,8.1
170,Elon,55,27-28,488.1,442,8.1
171,Bradley,49,20-29,416,376,8.1
172,UNCW,55,31-24,488.1,441,8.1
173,Southern Ill.,60,44-16,530,478,8.1
174,Ohio,53,29-24,436,393,8.1
175,Presbyterian,54,22-32,468.1,421,8.1
176,Morehead St.,54,27-27,461.2,415,8.1
177,Illinois,53,31-22,468.2,421,8.1
178,VMI,56,16-40,481,432,8.1
179,Cal St. Fullerton,55,22-33,477.2,428,8.1
180,Kent St.,53,24-29,444.1,398,8.1
181,Evansville,56,32-24,481.1,431,8.1
182,A&M-Corpus Christi,55,27-28,474.1,424,8
183,Northeastern,61,31-29-1,533.1,476,8
184,Arizona St.,58,26-32,511,456,8
185,North Florida,55,22-33,477,424,8
186,UNC Greensboro,64,34-30,557,495,8
187,Stetson,55,26-29,492,436,8
188,Siena,48,Nov-37,404,358,8
189,Massachusetts,49,22-26-1,421.1,373,8
190,UT Arlington,54,15-39,462.1,408,7.9
191,Northwestern St.,54,25-29,458,404,7.9
192,Saint Louis,53,29-24,454.1,400,7.9
193,Rhode Island,55,20-35,473.2,416,7.9
194,Middle Tenn.,55,29-26,479.2,421,7.9
195,UNLV,58,36-22,520.1,456,7.9
196,New Orleans,53,30-23,464,406,7.9
197,Iona,47,Jun-41,388.1,339,7.9
198,Northern Colo.,51,Dec-39,406.2,355,7.9
199,Tennessee Tech,57,30-27,500,436,7.8
200,UMass Lowell,58,28-30,509.2,444,7.8
201,Little Rock,51,24-27,442,385,7.8
202,Illinois St.,51,20-31,449.2,391,7.8
203,James Madison,53,27-26,462.1,402,7.8
204,Radford,48,15-33,418.1,363,7.8
205,St. John's (NY),55,22-32-1,466,404,7.8
206,Oregon,61,36-25,539,467,7.8
207,N.C. A&T,53,15-38,468.1,405,7.8
208,UAB,56,31-25,484.2,419,7.8
209,Western Mich.,54,18-36,425.2,367,7.8
210,SIUE,55,27-28,466.1,402,7.8
211,Sacramento St.,58,32-26,500,430,7.7
212,FDU,54,24-30,473.2,407,7.7
213,San Jose St.,59,30-29,517.1,444,7.7
214,UAlbany,47,22-25,399.1,342,7.7
215,Murray St.,55,30-25,486.2,416,7.7
216,Dartmouth,43,24-19,374,319,7.7
217,Air Force,61,32-29,534.1,455,7.7
218,Cincinnati,55,24-31,469.1,399,7.7
219,Northern Ky.,54,19-35,452,383,7.6
220,Samford,57,28-29,491,416,7.6
221,Saint Joseph's,54,29-25,471.1,399,7.6
222,Arizona,64,39-25,569.2,482,7.6
223,George Mason,56,23-33,489,413,7.6
224,Belmont,59,39-20,516,435,7.6
225,George Washington,52,22-30,454.1,382,7.6
226,USC Upstate,58,35-22-1,513.1,431,7.6
227,Lehigh,50,26-24,411,345,7.6
228,UMBC,55,23-32,479.1,402,7.5
229,Winthrop,52,18-34,452.1,379,7.5
230,The Citadel,57,26-31,495.1,415,7.5
231,Southeastern La.,61,30-31,535,448,7.5
232,William & Mary,49,26-23,429.1,359,7.5
233,North Dakota St.,50,31-19,424,353,7.5
234,Southern California,53,25-28,467.1,389,7.5
235,Prairie View,57,30-27,472.1,393,7.5
236,Delaware St.,48,25-23,370.2,308,7.5
237,High Point,56,23-33,487.2,405,7.5
238,Fordham,52,16-36,451,374,7.5
239,Texas Southern,53,28-25,431,356,7.4
240,Ark.-Pine Bluff,50,13-36-1,399.1,329,7.4
241,Hofstra,53,30-23,471,387,7.4
242,Seattle U,50,16-34,432.1,355,7.4
243,CSUN,54,32-22,479.2,393,7.4
244,LMU (CA),55,20-34-1,495,405,7.4
245,Central Conn. St.,47,29-18,415,339,7.4
246,ULM,56,20-35-1,487.1,398,7.4
247,Purdue Fort Wayne,54,18-36,452,369,7.3
248,Manhattan,50,24-26,427,347,7.3
249,Ga. Southern,61,41-20,539,438,7.3
250,NJIT,53,26-27,458,372,7.3
251,Oakland,58,31-27,486.2,395,7.3
252,Utah,54,26-27-1,473.1,383,7.3
253,Army West Point,56,31-25,469.2,378,7.2
254,Mount St. Mary's,48,14-34,407,327,7.2
255,Houston Christian,54,18-36,446.1,358,7.2
256,Michigan St.,54,24-30,470.2,376,7.2
257,SFA,52,15-37,432.1,345,7.2
258,Pacific,52,14-38,448.2,358,7.2
259,Baylor,54,26-28,469.2,373,7.1
260,Western Ill.,52,Aug-44,431,342,7.1
261,Stony Brook,52,27-25,448,355,7.1
262,Northwestern,51,24-27,427,338,7.1
263,Columbia,50,32-18,432.1,341,7.1
264,Nicholls,51,26-25,440,346,7.1
265,Pepperdine,50,24-26,445.1,350,7.1
266,UT Martin,45,Nov-34,385.2,303,7.1
267,Sacred Heart,53,Dec-41,448.1,352,7.1
268,St. Bonaventure,44,May-39,370.2,286,6.9
269,UNC Asheville,51,21-29-1,441,340,6.9
270,Holy Cross,54,17-37,444,341,6.9
271,Kansas,55,20-35,474.2,364,6.9
272,Towson,53,14-39,454,348,6.9
273,NIU,54,14-40,421.2,323,6.9
274,Bowling Green,52,18-34,407.2,311,6.9
275,Cornell,36,25-Nov,310.1,234,6.8
276,New Mexico,54,21-33,466,351,6.8
277,Mississippi Val.,42,10/31/2001,321,240,6.7
278,Wagner,51,17-34,430,316,6.6
279,Princeton,40,Jul-33,341.2,251,6.6
280,Nevada,55,29-26,487.2,358,6.6
281,Longwood,53,20-33,462,339,6.6
282,Southern U.,58,27-31,478,340,6.4
283,Alabama A&M,49,14-35,409.2,291,6.4
284,Hartford,50,13-37,429.2,305,6.4
285,Akron,56,15-41,444.2,314,6.4
286,UC Riverside,53,Aug-45,444.2,310,6.3
287,Utah Valley,55,18-37,456.1,318,6.3
288,UMES,54,17-37,420.2,293,6.3
289,Bucknell,48,22-26,399.2,278,6.3
290,UC Davis,41,Jun-35,355.1,239,6.1
291,Alcorn,41,Feb-39,281,185,5.9
292,Saint Peter's,50,Sep-41,403,264,5.9
293,Navy,45,19-26,371,236,5.7
NR,St. Thomas (MN),45,16-29,381.2,436,10.3
NR,North Ala.,53,Dec-41,440.1,403,8.2
NR,California Baptist,56,36-20,482,431,8
NR,Utah Tech,55,22-33,465.1,415,8
NR,UC San Diego,56,24-32,493.2,439,8
NR,Tarleton St.,53,17-36,447.1,380,7.6
NR,Bellarmine,54,Nov-43,460.2,343,6.7
NR,Merrimack,49,17-31-1,414.2,270,5.9
      ,,,,,,
