Rank,Name,G,W-L,IP,BB,PG
1,Tennessee,66,57-9,594.2,164,2.48
2,Elon,55,27-28,488.1,138,2.54
3,Southern Miss.,66,47-19,596.1,181,2.73
4,Wofford,59,42-16-1,512.1,159,2.79
5,Oregon St.,66,48-18,594.2,188,2.85
6,UConn,66,50-16,592.1,191,2.9
7,Cal Poly,58,37-21,517.1,173,3.01
8,UCLA,64,40-24,577,193,3.01
9,Louisiana Tech,64,43-21,567.2,194,3.08
10,VCU,62,42-20,550.2,191,3.12
11,Northeastern,61,31-29-1,533.1,186,3.14
12,UNLV,58,36-22,520.1,183,3.17
13,Oral Roberts,58,38-20,506,178,3.17
14,UC Irvine,56,32-24,506.1,179,3.18
15,East Carolina,67,46-21,597.1,217,3.27
16,Central Ark.,53,24-29,466.1,170,3.28
17,BYU,54,33-21,479.1,175,3.29
18,Fresno St.,55,27-28,493.2,181,3.3
19,Grand Canyon,62,41-21,541,199,3.31
20,Stetson,55,26-29,492,182,3.33
21,Western Ky.,54,18-36,464,172,3.34
22,Long Beach St.,56,29-27,496,184,3.34
23,James Madison,53,27-26,462.1,173,3.37
24,Florida,66,42-24,587,220,3.37
25,San Diego,57,37-20,513.2,195,3.42
26,Eastern Ill.,53,33-20,456.1,174,3.43
27,CSUN,54,32-22,479.2,183,3.43
28,Nicholls,51,26-25,440,168,3.44
29,Oklahoma,69,45-24,614.1,235,3.44
30,Southern Ill.,60,44-16,530,203,3.45
31,Alabama,58,31-27,511.1,197,3.47
32,Ohio,53,29-24,436,168,3.47
33,Sam Houston,56,31-25,484.2,187,3.47
34,UIC,47,22-25,402,156,3.49
35,Texas A&M,64,44-20,566,220,3.5
36,Houston,61,37-24,539,211,3.52
37,Florida St.,59,34-25,534,210,3.54
38,North Dakota St.,50,31-19,424,167,3.54
39,Central Conn. St.,47,29-18,415,164,3.56
40,Coastal Carolina,60,39-20-1,518,206,3.58
41,Evansville,56,32-24,481.1,193,3.61
42,UT Arlington,54,15-39,462.1,186,3.62
43,LSU,62,40-22,546,220,3.63
44,Texas,69,47-22,603.1,245,3.65
45,Lamar University,58,37-21,512,208,3.66
46,UAB,56,31-25,484.2,197,3.66
47,Monmouth,51,24-27,444.1,181,3.67
48,Saint Mary's (CA),55,25-30,474.1,195,3.7
49,Nebraska,53,23-30,458,189,3.71
50,Pepperdine,50,24-26,445.1,184,3.72
51,Ole Miss,65,42-23,564.1,234,3.73
52,Liberty,60,37-23,535,222,3.73
53,Virginia Tech,59,45-14,531,221,3.75
54,Southern California,53,25-28,467.1,195,3.76
55,New Mexico St.,58,24-34,500,209,3.76
56,Indiana St.,49,26-22-1,432,181,3.77
57,Col. of Charleston,57,37-20,498.1,209,3.77
58,Miami (FL),60,40-20,534,224,3.78
59,Washington,56,30-26,495.1,208,3.78
60,Davidson,56,43-13,497,209,3.78
61,Belmont,59,39-20,516,217,3.78
62,Oklahoma St.,64,42-22,571,241,3.8
63,Valparaiso,48,16-32,397.2,169,3.82
64,UIW,52,21-31,449.1,191,3.83
65,Louisiana,60,37-23,532.1,227,3.84
66,Mercer,58,40-18,515.1,220,3.84
67,Central Mich.,62,43-19,512.2,219,3.84
68,Brown,36,13-23,310.1,133,3.86
69,Old Dominion,58,41-17,524.2,225,3.86
70,Pittsburgh,56,29-27,489.2,210,3.86
71,Murray St.,55,30-25,486.2,209,3.87
72,Dartmouth,43,24-19,374,161,3.87
73,Toledo,58,33-25,478.1,206,3.88
74,FGCU,58,35-23,511.2,221,3.89
75,Sacramento St.,58,32-26,500,216,3.89
76,UNC Greensboro,64,34-30,557,241,3.89
77,Texas Tech,61,39-22,539.1,234,3.9
78,South Fla.,57,28-29,494.2,215,3.91
79,Arizona,64,39-25,569.2,248,3.92
80,South Alabama,54,31-23,476,208,3.93
81,Southeast Mo. St.,59,37-22,516.1,226,3.94
82,Texas St.,61,47-14,538.1,236,3.95
83,Utah,54,26-27-1,473.1,208,3.95
84,Fla. Atlantic,58,35-23,513.1,226,3.96
85,Notre Dame,58,41-17,517.2,228,3.96
86,Marist,46,29-17,399.1,176,3.97
87,LMU (CA),55,20-34-1,495,220,4
,North Florida,55,22-33,477,212,4
89,Stanford,65,47-18,581,259,4.01
90,Vanderbilt,62,39-23,545,243,4.01
91,Saint Louis,53,29-24,454.1,203,4.02
92,North Carolina,64,42-22,577.1,258,4.02
93,Portland,55,32-23,481,215,4.02
94,Maryland,62,48-14,557,249,4.02
95,Tulane,60,33-26-1,520.1,233,4.03
96,Auburn,65,43-22,579,260,4.04
97,Cal St. Fullerton,55,22-33,477.2,215,4.05
98,Florida A&M,59,29-30,503,228,4.08
99,Creighton,49,31-18,430,195,4.08
100,California,56,29-27,497.1,226,4.09
101,Illinois,53,31-22,468.2,213,4.09
102,UCF,60,35-25,522.2,238,4.1
103,Illinois St.,51,20-31,449.2,206,4.12
104,UTRGV,58,33-25,490,225,4.13
105,Rider,54,28-26,472,217,4.14
106,Columbia,50,32-18,432.1,200,4.16
107,Middle Tenn.,55,29-26,479.2,222,4.17
108,Western Caro.,58,26-31-1,509.2,236,4.17
109,Yale,38,20-18,334.1,155,4.17
110,Kent St.,53,24-29,444.1,206,4.17
111,Ga. Southern,61,41-20,539,250,4.17
112,Wichita St.,57,21-36,497.2,231,4.18
113,Omaha,57,26-31,498.2,232,4.19
114,Troy,56,32-24,496,231,4.19
115,UMES,54,17-37,420.2,196,4.19
116,McNeese,57,34-23,506.1,236,4.19
117,NC State,57,36-21,512.1,239,4.2
118,Southern U.,58,27-31,478,223,4.2
119,Hawaii,52,28-24,464.2,217,4.2
120,San Francisco,57,28-29,516.1,242,4.22
121,Rice,56,17-39,485.2,228,4.23
122,Air Force,61,32-29,534.1,251,4.23
123,Clemson,58,35-23,510.2,240,4.23
124,George Washington,52,22-30,454.1,214,4.24
125,Bryant,57,30-27,500.1,236,4.25
126,Bethune-Cookman,59,27-32,513,242,4.25
127,ETSU,51,30-21,449,212,4.25
128,Georgia St.,57,30-27,495.1,234,4.25
129,South Dakota St.,45,22-23,380.2,180,4.26
130,DBU,59,34-24-1,514.1,244,4.27
131,Oakland,58,31-27,486.2,231,4.27
132,Missouri,51,28-23,438.1,209,4.29
133,Saint Joseph's,54,29-25,471.1,225,4.3
134,Binghamton,52,22-30,450.1,215,4.3
135,Missouri St.,60,31-29,518.1,248,4.31
