Rank,Name,G,W-L,2B
1,UConn,66,50-16,165
2,Texas,69,47-22,157
3,Tennessee,66,57-9,156
4,Air Force,61,32-29,148
5,Rutgers,59,44-15,147
6,UNLV,58,36-22,144
,Davidson,56,43-13,144
8,Maryland,62,48-14,143
9,Texas Tech,61,39-22,142
10,Oregon St.,66,48-18,141
11,Virginia Tech,59,45-14,140
,Louisiana Tech,64,43-21,140
13,Oklahoma St.,64,42-22,139
,Louisville,64,42-21-1,139
15,Oklahoma,69,45-24,138
,Michigan,62,34-28,138
17,Stanford,65,47-18,137
18,New Mexico St.,58,24-34,135
19,Western Caro.,58,26-31-1,134
,Arizona St.,58,26-32,134
21,UNC Greensboro,64,34-30,132
22,Western Mich.,54,18-36,131
23,Campbell,60,41-19,130
24,Austin Peay,56,19-37,129
,Old Dominion,58,41-17,129
,ETSU,51,30-21,129
27,Kansas St.,58,29-29,128
,Tulane,60,33-26-1,128
,Central Mich.,62,43-19,128
30,Arkansas,67,46-21,127
,Southern Miss.,66,47-19,127
,Cal Poly,58,37-21,127
33,Auburn,65,43-22,126
,Kennesaw St.,64,36-28,126
35,Miami (OH),56,23-33,125
,UCLA,64,40-24,125
,New Mexico,54,21-33,125
,UTSA,58,38-20,125
,Nevada,55,29-26,125
,Texas Southern,53,28-25,125
41,Abilene Christian,59,30-29,124
,Texas A&M,64,44-20,124
,San Jose St.,59,30-29,124
44,Missouri St.,60,31-29,123
,Grand Canyon,62,41-21,123
46,Kentucky,59,33-26,122
,Oregon,61,36-25,122
,Oral Roberts,58,38-20,122
,Arizona,64,39-25,122
50,Texas St.,61,47-14,121
,Evansville,56,32-24,121
52,DBU,59,34-24-1,120
,LSU,62,40-22,120
,FGCU,58,35-23,120
,California,56,29-27,120
,Ole Miss,65,42-23,120
,Georgia Tech,60,36-24,120
58,Fla. Atlantic,58,35-23,119
,Southern Ill.,60,44-16,119
,Coastal Carolina,60,39-20-1,119
61,Columbia,50,32-18,118
,Saint Joseph's,54,29-25,118
