Rank,Name,G,W-L,AB,H,BA
1,Georgia Tech,60,36-24,2235,730,0.327
2,UNLV,58,36-22,2185,713,0.326
3,Rutgers,59,44-15,2189,701,0.32
4,Wake Forest,61,41-19-1,2200,702,0.319
5,Texas Southern,53,28-25,1732,550,0.318
6,Wofford,59,42-16-1,1940,611,0.315
7,Texas,69,47-22,2396,753,0.314
8,Grambling,57,26-31,1952,613,0.314
9,Air Force,61,32-29,2235,697,0.312
10,Oregon,61,36-25,2160,670,0.31
11,Virginia Tech,59,45-14,2105,651,0.309
12,Richmond,56,30-26,2057,636,0.309
13,Louisville,64,42-21-1,2294,709,0.309
14,Stanford,65,47-18,2317,716,0.309
15,Virginia,58,39-19,2038,629,0.309
16,Tennessee,66,57-9,2283,704,0.308
17,Nevada,55,29-26,1981,610,0.308
18,Maryland,62,48-14,2215,682,0.308
19,Grand Canyon,62,41-21,2186,672,0.307
20,UNC Greensboro,64,34-30,2279,700,0.307
21,Sam Houston,56,31-25,1961,600,0.306
22,Fresno St.,55,27-28,1975,604,0.306
23,McNeese,57,34-23,2010,612,0.304
24,Prairie View,57,30-27,1915,582,0.304
25,UTSA,58,38-20,2041,620,0.304
26,Davidson,56,43-13,1953,592,0.303
27,Oral Roberts,58,38-20,2053,622,0.303
28,Saint Joseph's,54,29-25,1941,588,0.303
29,Tennessee Tech,57,30-27,2055,622,0.303
30,SIUE,55,27-28,1934,585,0.302
31,Kennesaw St.,64,36-28,2245,675,0.301
32,Columbia,50,32-18,1767,531,0.301
33,Penn,48,33-15,1685,506,0.3
34,ETSU,51,30-21,1819,545,0.3
35,Indiana St.,49,26-22-1,1726,517,0.3
36,Campbell,60,41-19,2084,624,0.299
37,Xavier,60,33-27,2108,631,0.299
38,Army West Point,56,31-25,1893,566,0.299
39,UConn,66,50-16,2330,694,0.298
40,Oklahoma St.,64,42-22,2245,668,0.298
41,Arizona St.,58,26-32,2056,610,0.297
42,Morehead St.,54,27-27,1852,549,0.296
43,Kent St.,53,24-29,1789,530,0.296
44,Ohio,53,29-24,1750,518,0.296
45,Southern Ill.,60,44-16,2106,623,0.296
46,Ga. Southern,61,41-20,2079,615,0.296
47,USC Upstate,58,35-22-1,2039,603,0.296
48,Oregon St.,66,48-18,2310,683,0.296
49,FGCU,58,35-23,2068,611,0.295
50,Marist,46,29-17,1618,478,0.295
51,Central Mich.,62,43-19,2021,597,0.295
52,Old Dominion,58,41-17,2094,618,0.295
53,Ball St.,59,40-19,1918,566,0.295
54,Canisius,54,29-25,1939,572,0.295
55,Western Mich.,54,18-36,1787,526,0.294
56,New Mexico St.,58,24-34,1999,588,0.294
57,Abilene Christian,59,30-29,2074,610,0.294
58,Charlotte,58,36-22,2031,597,0.294
59,South Alabama,54,31-23,1886,554,0.294
60,NC State,57,36-21,2027,595,0.294
61,Eastern Ill.,53,33-20,1840,540,0.293
62,Oklahoma,69,45-24,2312,678,0.293
63,Texas St.,61,47-14,2078,609,0.293
64,Central Conn. St.,47,29-18,1694,496,0.293
65,Lehigh,50,26-24,1662,486,0.292
66,Dartmouth,43,24-19,1527,446,0.292
67,Notre Dame,58,41-17,2041,594,0.291
68,A&M-Corpus Christi,55,27-28,1886,548,0.291
69,UTRGV,58,33-25,1940,563,0.29
70,UAlbany,47,22-25,1655,480,0.29
71,Cal Poly,58,37-21,2042,592,0.29
72,Illinois,53,31-22,1880,545,0.29
73,Texas Tech,61,39-22,2144,621,0.29
74,Maine,49,27-22,1699,492,0.29
