Rank,Name,G,W-L,AB,TB,SLG PCT
1,Tennessee,66,57-9,2283,1380,0.604
2,Virginia Tech,59,45-14,2105,1209,0.574
3,Maryland,62,48-14,2215,1248,0.563
4,Old Dominion,58,41-17,2094,1155,0.552
5,Georgia Tech,60,36-24,2235,1231,0.551
6,Texas,69,47-22,2396,1318,0.55
7,Campbell,60,41-19,2084,1142,0.548
8,Wake Forest,61,41-19-1,2200,1205,0.548
9,Stanford,65,47-18,2317,1243,0.536
10,Rutgers,59,44-15,2189,1172,0.535
11,Davidson,56,43-13,1953,1026,0.525
12,SIUE,55,27-28,1934,1013,0.524
13,Tennessee Tech,57,30-27,2055,1075,0.523
14,Air Force,61,32-29,2235,1168,0.523
15,UNLV,58,36-22,2185,1138,0.521
16,LSU,62,40-22,2133,1100,0.516
17,Missouri St.,60,31-29,2106,1079,0.512
18,Louisville,64,42-21-1,2294,1175,0.512
19,Mercer,58,40-18,2007,1021,0.509
20,NC State,57,36-21,2027,1030,0.508
21,ETSU,51,30-21,1819,921,0.506
22,Texas Southern,53,28-25,1732,871,0.503
23,Xavier,60,33-27,2108,1057,0.501
24,Charlotte,58,36-22,2031,1008,0.496
25,UConn,66,50-16,2330,1156,0.496
26,Morehead St.,54,27-27,1852,918,0.496
27,FGCU,58,35-23,2068,1025,0.496
28,Kent St.,53,24-29,1789,886,0.495
29,Columbia,50,32-18,1767,873,0.494
30,Oklahoma St.,64,42-22,2245,1108,0.494
31,Florida,66,42-24,2224,1091,0.491
32,Texas St.,61,47-14,2078,1017,0.489
33,Ole Miss,65,42-23,2191,1072,0.489
34,Saint Joseph's,54,29-25,1941,946,0.487
35,Grambling,57,26-31,1952,951,0.487
36,Southern Ill.,60,44-16,2106,1024,0.486
37,Texas Tech,61,39-22,2144,1042,0.486
38,Virginia,58,39-19,2038,990,0.486
39,Ball St.,59,40-19,1918,931,0.485
40,Coastal Carolina,60,39-20-1,1964,951,0.484
41,Cincinnati,55,24-31,1882,911,0.484
42,Wright St.,57,30-27,1967,952,0.484
43,New Mexico St.,58,24-34,1999,967,0.484
44,Abilene Christian,59,30-29,2074,1003,0.484
45,Fairfield,52,31-21,1839,889,0.483
46,Fla. Atlantic,58,35-23,2033,981,0.483
47,Michigan,62,34-28,2170,1046,0.482
48,Clemson,58,35-23,2025,976,0.482
49,Oregon,61,36-25,2160,1041,0.482
50,UTSA,58,38-20,2041,982,0.481
51,New Mexico,54,21-33,1911,919,0.481
52,Arkansas,67,46-21,2277,1095,0.481
53,Eastern Mich.,56,22-34,1837,883,0.481
54,Georgetown,56,32-24,1927,926,0.481
55,Miami (FL),60,40-20,2073,995,0.48
56,North Carolina,64,42-22,2288,1098,0.48
57,UC Santa Barbara,58,44-14,2013,966,0.48
58,Southeast Mo. St.,59,37-22,1995,955,0.479
59,Mississippi St.,56,26-30,1946,931,0.478
60,Fresno St.,55,27-28,1975,944,0.478
61,DBU,59,34-24-1,2003,957,0.478
62,Grand Canyon,62,41-21,2186,1044,0.478
63,Ohio,53,29-24,1750,834,0.477
64,Kansas St.,58,29-29,1973,940,0.476
65,California,56,29-27,1981,941,0.475
66,Nevada,55,29-26,1981,940,0.475
67,Western Mich.,54,18-36,1787,846,0.473
68,Notre Dame,58,41-17,2041,964,0.472
69,McNeese,57,34-23,2010,948,0.472
70,Texas A&M,64,44-20,2201,1033,0.469
71,Ohio St.,51,21-30,1761,825,0.468
72,Western Caro.,58,26-31-1,2002,936,0.468
73,Richmond,56,30-26,2057,961,0.467
74,Wofford,59,42-16-1,1940,904,0.466
75,Arizona St.,58,26-32,2056,958,0.466
76,Vanderbilt,62,39-23,2101,978,0.465
77,UCF,60,35-25,2020,940,0.465
78,A&M-Corpus Christi,55,27-28,1886,877,0.465
79,Evansville,56,32-24,1941,902,0.465
80,Maine,49,27-22,1699,788,0.464
81,Pittsburgh,56,29-27,1907,884,0.464
82,Northwestern,51,24-27,1722,797,0.463
83,Arizona,64,39-25,2253,1040,0.462
84,San Jose St.,59,30-29,2086,962,0.461
85,Kennesaw St.,64,36-28,2245,1035,0.461
86,Georgia St.,57,30-27,1935,892,0.461
87,Oklahoma,69,45-24,2312,1063,0.46
88,Georgia,59,36-23,2052,943,0.46
89,Louisiana Tech,64,43-21,2187,1000,0.457
90,Penn,48,33-15,1685,766,0.455
91,Dartmouth,43,24-19,1527,694,0.454
92,UTRGV,58,33-25,1940,881,0.454
93,Oregon St.,66,48-18,2310,1047,0.453
94,Indiana St.,49,26-22-1,1726,781,0.452
95,Southern Miss.,66,47-19,2233,1010,0.452
96,UNCW,55,31-24,1835,829,0.452
97,Ga. Southern,61,41-20,2079,938,0.451
98,Sam Houston,56,31-25,1961,883,0.45
99,Lehigh,50,26-24,1662,747,0.449
100,Louisiana,60,37-23,2034,914,0.449
101,Indiana,59,27-32,2047,919,0.449
102,UNC Greensboro,64,34-30,2279,1023,0.449
103,Bradley,49,20-29,1649,739,0.448
104,Miami (OH),56,23-33,1841,825,0.448
105,Oral Roberts,58,38-20,2053,919,0.448
106,UAlbany,47,22-25,1655,740,0.447
107,Auburn,65,43-22,2251,1005,0.446
108,East Carolina,67,46-21,2264,1010,0.446
109,Quinnipiac,48,15-33,1678,748,0.446
110,South Alabama,54,31-23,1886,839,0.445
111,NJIT,53,26-27,1818,807,0.444
112,Tulane,60,33-26-1,2026,899,0.444
113,Missouri,51,28-23,1753,777,0.443
114,Central Mich.,62,43-19,2021,895,0.443
115,Eastern Ill.,53,33-20,1840,812,0.441
116,Bowling Green,52,18-34,1660,731,0.44
117,Toledo,58,33-25,1904,838,0.44
118,Houston,61,37-24,2059,906,0.44
119,Canisius,54,29-25,1939,853,0.44
120,Delaware,51,25-26,1742,764,0.439
121,Lipscomb,58,35-23,1927,845,0.439
122,UIW,52,21-31,1813,795,0.438
123,Illinois,53,31-22,1880,824,0.438
124,James Madison,53,27-26,1807,792,0.438
125,Marist,46,29-17,1618,709,0.438
126,Little Rock,51,24-27,1733,759,0.438
127,South Dakota St.,45,22-23,1522,666,0.438
128,San Diego,57,37-20,1975,864,0.437
129,Liberty,60,37-23,2067,904,0.437
130,Austin Peay,56,19-37,1938,847,0.437
131,Kentucky,59,33-26,2003,875,0.437
132,Central Conn. St.,47,29-18,1694,739,0.436
133,Eastern Ky.,58,38-20,1983,861,0.434
134,Purdue,50,29-21,1756,762,0.434
135,Southern California,53,25-28,1790,775,0.433
136,Belmont,59,39-20,2006,868,0.433
137,TCU,60,38-22,2018,873,0.433
138,Northern Ky.,54,19-35,1824,789,0.433
139,Murray St.,55,30-25,1903,823,0.432
140,Charleston So.,54,24-30,1781,769,0.432
141,Jacksonville St.,55,27-28,1865,805,0.432
142,Utah,54,26-27-1,1842,795,0.432
143,Alabama St.,59,34-25,2028,873,0.43
144,Alabama,58,31-27,1991,856,0.43
145,FDU,54,24-30,1864,801,0.43
146,New Orleans,53,30-23,1852,795,0.429
147,Cal Poly,58,37-21,2042,876,0.429
148,Duke,54,22-32,1851,794,0.429
149,Samford,57,28-29,1903,816,0.429
150,Troy,56,32-24,1900,814,0.428
151,Col. of Charleston,57,37-20,1898,813,0.428
152,VCU,62,42-20,2139,915,0.428
153,USC Upstate,58,35-22-1,2039,872,0.428
154,Southern U.,58,27-31,1862,796,0.427
155,Wichita St.,57,21-36,1954,834,0.427
156,Marshall,55,20-34-1,1919,819,0.427
157,Boston College,53,19-34,1822,777,0.426
158,Ark.-Pine Bluff,50,13-36-1,1599,681,0.426
159,Stony Brook,52,27-25,1758,748,0.425
160,Saint Louis,53,29-24,1780,757,0.425
161,Kansas,55,20-35,1918,815,0.425
162,Hartford,50,13-37,1683,715,0.425
163,Sacramento St.,58,32-26,1935,820,0.424
164,South Fla.,57,28-29,1857,786,0.423
165,North Dakota St.,50,31-19,1676,709,0.423
166,UMass Lowell,58,28-30,2018,853,0.423
167,Bryant,57,30-27,1957,826,0.422
168,Seattle U,50,16-34,1742,734,0.421
169,UAB,56,31-25,1868,786,0.421
170,Iowa,55,36-19,1897,797,0.42
171,Memphis,55,26-29,1865,783,0.42
172,West Virginia,55,33-22,1806,758,0.42
173,Southeastern La.,61,30-31,1995,836,0.419
174,UIC,47,22-25,1547,647,0.418
175,Florida St.,59,34-25,2012,839,0.417
176,Lamar University,58,37-21,1998,832,0.416
177,Rhode Island,55,20-35,1871,778,0.416
178,Coppin St.,54,24-30,1714,711,0.415
179,William & Mary,49,26-23,1677,694,0.414
180,Utah Valley,55,18-37,1834,758,0.413
181,Hofstra,53,30-23,1851,761,0.411
182,Army West Point,56,31-25,1893,778,0.411
183,BYU,54,33-21,1852,761,0.411
184,Oakland,58,31-27,1886,773,0.41
185,Delaware St.,48,25-23,1446,592,0.409
186,George Washington,52,22-30,1832,750,0.409
187,Binghamton,52,22-30,1806,739,0.409
188,UCLA,64,40-24,2222,909,0.409
189,Prairie View,57,30-27,1915,783,0.409
190,VMI,56,16-40,1933,790,0.409
191,Middle Tenn.,55,29-26,1893,773,0.408
192,Washington,56,30-26,1955,798,0.408
193,South Carolina,55,27-28,1804,735,0.407
194,Creighton,49,31-18,1654,673,0.407
195,Michigan St.,54,24-30,1850,752,0.406
196,LMU (CA),55,20-34-1,1977,803,0.406
197,LIU,58,37-21,1977,802,0.406
198,Manhattan,50,24-26,1717,696,0.405
199,Cornell,36,25-Nov,1246,505,0.405
200,ULM,56,20-35-1,1906,772,0.405
201,Monmouth,51,24-27,1712,693,0.405
202,UMBC,55,23-32,1857,751,0.404
203,Harvard,41,19-22,1448,585,0.404
204,CSUN,54,32-22,1847,746,0.404
205,Massachusetts,49,22-26-1,1704,688,0.404
206,Minnesota,52,16-36,1726,696,0.403
207,Gonzaga,56,37-19,1992,801,0.402
208,Jackson St.,56,29-27,1821,732,0.402
209,Pacific,52,14-38,1806,723,0.4
210,Nebraska,53,23-30,1746,698,0.4
211,Saint Mary's (CA),55,25-30,1844,737,0.4
212,Penn St.,55,26-29,1891,755,0.399
213,Princeton,40,Jul-33,1405,559,0.398
214,North Florida,55,22-33,1911,759,0.397
215,Niagara,54,22-32,1864,740,0.397
216,Northwestern St.,54,25-29,1742,691,0.397
217,SFA,52,15-37,1753,695,0.396
218,Western Ky.,54,18-36,1768,700,0.396
219,Rider,54,28-26,1882,745,0.396
220,San Francisco,57,28-29,1946,770,0.396
221,George Mason,56,23-33,1878,741,0.395
222,Pepperdine,50,24-26,1742,687,0.394
223,Baylor,54,26-28,1812,714,0.394
224,Cal St. Fullerton,55,22-33,1878,739,0.394
225,Milwaukee,50,20-30,1690,665,0.393
226,Winthrop,52,18-34,1758,690,0.392
227,UC Irvine,56,32-24,1893,742,0.392
228,Nicholls,51,26-25,1649,645,0.391
229,Illinois St.,51,20-31,1794,701,0.391
230,Bucknell,48,22-26,1627,634,0.39
231,Purdue Fort Wayne,54,18-36,1800,701,0.389
232,Mississippi Val.,42,10/31/2001,1321,513,0.388
233,Longwood,53,20-33,1794,696,0.388
234,Florida A&M,59,29-30,1982,767,0.387
235,Presbyterian,54,22-32,1830,708,0.387
236,Wagner,51,17-34,1678,649,0.387
237,UT Martin,45,Nov-34,1524,587,0.385
238,Yale,38,20-18,1282,493,0.385
239,Central Ark.,53,24-29,1741,669,0.384
240,N.C. A&T,53,15-38,1829,702,0.384
241,Towson,53,14-39,1732,664,0.383
242,Washington St.,53,27-26,1795,688,0.383
243,Sacred Heart,53,Dec-41,1839,704,0.383
244,Valparaiso,48,16-32,1596,609,0.382
245,Northern Colo.,51,Dec-39,1672,636,0.38
246,Rice,56,17-39,1882,713,0.379
247,Long Beach St.,56,29-27,1919,727,0.379
248,Gardner-Webb,60,24-36,2002,758,0.379
249,Hawaii,52,28-24,1746,661,0.379
250,Dayton,50,23-27,1686,638,0.378
251,St. John's (NY),55,22-32-1,1807,683,0.378
252,Santa Clara,53,24-29,1803,681,0.378
253,Portland,55,32-23,1875,707,0.377
254,Mount St. Mary's,48,14-34,1612,606,0.376
255,NIU,54,14-40,1670,619,0.371
256,Omaha,57,26-31,1931,715,0.37
257,The Citadel,57,26-31,1888,697,0.369
258,Navy,45,19-26,1467,541,0.369
259,Akron,56,15-41,1734,639,0.369
260,Houston Christian,54,18-36,1714,630,0.368
261,CSU Bakersfield,52,18-34,1757,645,0.367
262,UNC Asheville,51,21-29-1,1727,633,0.367
263,Norfolk St.,47,15-32,1446,530,0.367
264,Alabama A&M,49,14-35,1547,567,0.367
265,Butler,56,20-35-1,1889,691,0.366
266,Brown,36,13-23,1196,437,0.365
267,Arkansas St.,49,Nov-38,1634,597,0.365
268,San Diego St.,56,18-38,1890,688,0.364
269,High Point,56,23-33,1874,682,0.364
270,Elon,55,27-28,1771,639,0.361
271,Radford,48,15-33,1628,587,0.361
272,Youngstown St.,57,21-36,1847,661,0.358
273,App State,53,20-33,1823,651,0.357
274,Stetson,55,26-29,1831,650,0.355
275,Siena,48,Nov-37,1616,572,0.354
276,FIU,50,16-34,1660,584,0.352
277,Fordham,52,16-36,1730,605,0.35
278,Lafayette,50,15-35,1601,556,0.347
279,Villanova,49,19-29-1,1625,562,0.346
280,Bethune-Cookman,59,27-32,1928,656,0.34
281,Jacksonville,55,27-28,1846,624,0.338
282,Northeastern,61,31-29-1,1985,669,0.337
283,Seton Hall,53,18-35,1755,591,0.337
284,UMES,54,17-37,1633,546,0.334
285,Western Ill.,52,Aug-44,1687,563,0.334
286,St. Bonaventure,44,May-39,1444,481,0.333
287,Holy Cross,54,17-37,1769,588,0.332
288,UC Davis,41,Jun-35,1413,466,0.33
289,Iona,47,Jun-41,1561,512,0.328
290,UT Arlington,54,15-39,1781,583,0.327
291,Saint Peter's,50,Sep-41,1614,515,0.319
292,Alcorn,41,Feb-39,1137,339,0.298
293,UC Riverside,53,Aug-45,1697,503,0.296
NR,California Baptist,56,36-20,1967,1026,0.522
NR,Tarleton St.,53,17-36,1774,787,0.444
NR,UC San Diego,56,24-32,1920,818,0.426
NR,Utah Tech,55,22-33,1825,777,0.426
NR,Bellarmine,54,Nov-43,1863,748,0.402
NR,Merrimack,49,17-31-1,1669,653,0.391
NR,North Ala.,53,Dec-41,1739,623,0.358
NR,St. Thomas (MN),45,16-29,1454,476,0.327
