Rank,Name,G,W-L,IP,HB
1,Ark.-Pine Bluff,50,13-36-1,399,124
2,Indiana,59,27-32,512,111
3,Alcorn,41,Feb-39,281,108
4,Grambling,57,26-31,465,107
,Seton Hall,53,18-35,457,107
6,Massachusetts,49,22-26-1,421,104
7,Iona,47,Jun-41,388,103
8,Niagara,54,22-32,466,100
9,Fordham,52,16-36,451,99
10,Michigan St.,54,24-30,470,98
,Lipscomb,58,35-23,511,98
12,Richmond,56,30-26,503,97
13,Michigan,62,34-28,542,96
,Davidson,56,43-13,497,96
,Jackson St.,56,29-27,468,96
16,Gardner-Webb,60,24-36,514,95
,Saint Joseph's,54,29-25,471,95
18,Saint Mary's (CA),55,25-30,474,92
19,Xavier,60,33-27,514,90
,ULM,56,20-35-1,487,90
21,Kennesaw St.,64,36-28,554,89
,Pacific,52,14-38,448,89
23,Ohio,53,29-24,436,88
,San Francisco,57,28-29,516,88
25,Southeastern La.,61,30-31,535,87
,Northwestern St.,54,25-29,458,87
,Campbell,60,41-19,534,87
,Prairie View,57,30-27,472,87
29,Samford,57,28-29,491,86
,Akron,56,15-41,444,86
,New Mexico,54,21-33,466,86
,Tennessee Tech,57,30-27,500,86
33,Hartford,50,13-37,429,85
34,Texas Southern,53,28-25,431,84
,Miami (OH),56,23-33,464,84
,Rice,56,17-39,485,84
,Radford,48,15-33,418,84
38,Florida,66,42-24,587,83
,Sacred Heart,53,Dec-41,448,83
40,Houston Christian,54,18-36,446,82
,Western Caro.,58,26-31-1,509,82
42,Wake Forest,61,41-19-1,536,81
,Cincinnati,55,24-31,469,81
,St. John's (NY),55,22-32-1,466,81
,Towson,53,14-39,454,81
46,High Point,56,23-33,487,80
,Coastal Carolina,60,39-20-1,518,80
,Fla. Atlantic,58,35-23,513,80
49,Missouri St.,60,31-29,518,79
,CSU Bakersfield,52,18-34,462,79
,Butler,56,20-35-1,482,79
,FIU,50,16-34,444,79
53,NIU,54,14-40,421,78
,Georgia,59,36-23,519,78
,Georgia Tech,60,36-24,530,78
56,Oakland,58,31-27,486,77
,Southern U.,58,27-31,478,77
58,San Diego St.,56,18-38,499,76
,Northern Ky.,54,19-35,452,76
,Quinnipiac,48,15-33,410,76
,Dayton,50,23-27,434,76
,UAlbany,47,22-25,399,76
,Canisius,54,29-25,465,76
,Kentucky,59,33-26,513,76
65,Louisville,64,42-21-1,575,75
,Mount St. Mary's,48,14-34,407,75
67,Wagner,51,17-34,430,74
,Northern Colo.,51,Dec-39,406,74
,Abilene Christian,59,30-29,511,74
,Jacksonville,55,27-28,492,74
,UMass Lowell,58,28-30,509,74
72,Kansas,55,20-35,474,73
,Marshall,55,20-34-1,478,73
,Cornell,36,25-Nov,310,73
,Bethune-Cookman,59,27-32,513,73
,Minnesota,52,16-36,455,73
77,VMI,56,16-40,481,72
,Washington St.,53,27-26,466,72
,George Mason,56,23-33,489,72
,UT Arlington,54,15-39,462,72
,Northwestern,51,24-27,427,72
,Louisiana,60,37-23,532,72
83,Penn St.,55,26-29,490,71
,A&M-Corpus Christi,55,27-28,474,71
,Mississippi Val.,42,10/31/2001,321,71
,UC Riverside,53,Aug-45,444,71
,Houston,61,37-24,539,71
,Bradley,49,20-29,416,71
,Georgetown,56,32-24,495,71
90,Siena,48,Nov-37,404,70
,Wright St.,57,30-27,489,70
,TCU,60,38-22,525,70
,Ga. Southern,61,41-20,539,70
,LMU (CA),55,20-34-1,495,70
,Memphis,55,26-29,478,70
,Murray St.,55,30-25,486,70
97,San Jose St.,59,30-29,517,69
,SFA,52,15-37,432,69
,Texas,69,47-22,603,69
,Oregon,61,36-25,539,69
,Eastern Mich.,56,22-34,454,69
,Maine,49,27-22,426,69
,Fresno St.,55,27-28,493,69
,Hawaii,52,28-24,464,69
,Hofstra,53,30-23,471,69
,Alabama A&M,49,14-35,409,69
,Arizona St.,58,26-32,511,69
,Binghamton,52,22-30,450,69
,Florida St.,59,34-25,534,69
110,San Diego,57,37-20,513,68
,Western Mich.,54,18-36,425,68
,Ohio St.,51,21-30,445,68
,Rhode Island,55,20-35,473,68
,UIW,52,21-31,449,68
,Kansas St.,58,29-29,506,68
,Lehigh,50,26-24,411,68
,UMBC,55,23-32,479,68
,Coppin St.,54,24-30,440,68
,Delaware St.,48,25-23,370,68
,Delaware,51,25-26,444,68
121,Duke,54,22-32,478,67
,South Alabama,54,31-23,476,67
,UC Davis,41,Jun-35,355,67
,N.C. A&T,53,15-38,468,67
,Cal St. Fullerton,55,22-33,477,67
,Southern Miss.,66,47-19,596,67
127,Seattle U,50,16-34,432,66
,Louisiana Tech,64,43-21,567,66
,Purdue Fort Wayne,54,18-36,452,66
,Arizona,64,39-25,569,66
,Bowling Green,52,18-34,407,66
,Yale,38,20-18,334,66
,Southern Ill.,60,44-16,530,66
,Stanford,65,47-18,581,66
,Air Force,61,32-29,534,66
,Morehead St.,54,27-27,461,66
,Norfolk St.,47,15-32,374,66
138,FDU,54,24-30,473,65
,Middle Tenn.,55,29-26,479,65
,Holy Cross,54,17-37,444,65
,Northeastern,61,31-29-1,533,65
,Clemson,58,35-23,510,65
,New Orleans,53,30-23,464,65
,Bryant,57,30-27,500,65
145,Eastern Ky.,58,38-20,510,64
,Maryland,62,48-14,557,64
,Jacksonville St.,55,27-28,487,64
,Charleston So.,54,24-30,457,64
,Oral Roberts,58,38-20,506,64
,Toledo,58,33-25,478,64
,Charlotte,58,36-22,516,64
,Nevada,55,29-26,487,64
,Sam Houston,56,31-25,484,64
154,Arkansas,67,46-21,591,63
,Little Rock,51,24-27,442,63
,UCF,60,35-25,522,63
,UNLV,58,36-22,520,63
,Winthrop,52,18-34,452,63
,Vanderbilt,62,39-23,545,63
,Wichita St.,57,21-36,497,63
161,Grand Canyon,62,41-21,541,62
,North Florida,55,22-33,477,62
,Liberty,60,37-23,535,62
,James Madison,53,27-26,462,62
,The Citadel,57,26-31,495,62
,Utah Valley,55,18-37,456,62
,Western Ill.,52,Aug-44,431,62
,Stony Brook,52,27-25,448,62
,UTSA,58,38-20,502,62
,Oklahoma,69,45-24,614,62
,Saint Peter's,50,Sep-41,403,62
,Virginia Tech,59,45-14,531,62
173,Illinois,53,31-22,468,61
,Iowa,55,36-19,489,61
,Navy,45,19-26,371,61
,Santa Clara,53,24-29,464,61
,SIUE,55,27-28,466,61
,Boston College,53,19-34,463,61
179,Kent St.,53,24-29,444,60
,Miami (FL),60,40-20,534,60
,Florida A&M,59,29-30,503,60
,Saint Louis,53,29-24,454,60
,Ball St.,59,40-19,478,60
,Utah,54,26-27-1,473,60
,Old Dominion,58,41-17,524,60
,Alabama St.,59,34-25,512,60
187,Presbyterian,54,22-32,468,59
,USC Upstate,58,35-22-1,513,59
,Col. of Charleston,57,37-20,498,59
,Fairfield,52,31-21,458,59
,George Washington,52,22-30,454,59
,St. Bonaventure,44,May-39,370,59
,UC Irvine,56,32-24,506,59
,Texas A&M,64,44-20,566,59
,Nicholls,51,26-25,440,59
,NC State,57,36-21,512,59
,UC Santa Barbara,58,44-14,519,59
198,Manhattan,50,24-26,427,58
,Tulane,60,33-26-1,520,58
,Auburn,65,43-22,579,58
201,LIU,58,37-21,516,57
,UAB,56,31-25,484,57
,Arkansas St.,49,Nov-38,420,57
,Pepperdine,50,24-26,445,57
,Youngstown St.,57,21-36,473,57
,Troy,56,32-24,496,57
,Omaha,57,26-31,498,57
,Sacramento St.,58,32-26,500,57
209,Lafayette,50,15-35,403,56
,New Mexico St.,58,24-34,500,56
,Baylor,54,26-28,469,56
212,Longwood,53,20-33,462,55
,Marist,46,29-17,399,55
,UMES,54,17-37,420,55
,Central Conn. St.,47,29-18,415,55
,Dartmouth,43,24-19,374,55
,UNC Asheville,51,21-29-1,441,55
,Western Ky.,54,18-36,464,55
,South Fla.,57,28-29,494,55
,Southern California,53,25-28,467,55
,Texas St.,61,47-14,538,55
,ETSU,51,30-21,449,55
223,Wofford,59,42-16-1,512,54
,Illinois St.,51,20-31,449,54
,Cal Poly,58,37-21,517,54
,Oklahoma St.,64,42-22,571,54
,UT Martin,45,Nov-34,385,54
,VCU,62,42-20,550,54
,Ole Miss,65,42-23,564,54
,UNC Greensboro,64,34-30,557,54
,Nebraska,53,23-30,458,54
,UCLA,64,40-24,577,54
