Rank,Name,G,W-L,IP,R,ER,ERA
1,Tennessee,66,57-9,594.2,192,166,2.51
2,Southern Miss.,66,47-19,596.1,257,218,3.29
3,Northeastern,61,31-29-1,533.1,259,214,3.61
4,Iowa,55,36-19,489.1,246,202,3.72
5,BYU,54,33-21,479.1,246,200,3.76
6,UConn,66,50-16,592.1,291,249,3.78
7,Long Beach St.,56,29-27,496,239,211,3.83
8,Davidson,56,43-13,497,247,213,3.86
9,VCU,62,42-20,550.2,307,239,3.91
10,Notre Dame,58,41-17,517.2,262,225,3.91
11,CSUN,54,32-22,479.2,237,210,3.94
12,Vanderbilt,62,39-23,545,275,239,3.95
13,UC Santa Barbara,58,44-14,519,278,230,3.99
14,Virginia,58,39-19,511.2,266,227,3.99
15,UCLA,64,40-24,577,300,256,3.99
16,Arkansas,67,46-21,591,290,267,4.07
17,Oral Roberts,58,38-20,506,270,229,4.07
18,Elon,55,27-28,488.1,283,222,4.09
19,Penn,48,33-15,420.2,220,192,4.11
20,Col. of Charleston,57,37-20,498.1,280,228,4.12
21,North Carolina,64,42-22,577.1,305,267,4.16
22,Oregon St.,66,48-18,594.2,297,277,4.19
23,Ole Miss,65,42-23,564.1,295,264,4.21
24,Rutgers,59,44-15,523,277,245,4.22
25,Florida,66,42-24,587,298,275,4.22
26,Louisiana,60,37-23,532.1,287,250,4.23
27,Stanford,65,47-18,581,300,273,4.23
28,Florida St.,59,34-25,534,293,251,4.23
29,Louisiana Tech,64,43-21,567.2,304,268,4.25
30,UCF,60,35-25,522.2,302,247,4.25
31,East Carolina,67,46-21,597.1,313,283,4.26
32,Texas,69,47-22,603.1,311,287,4.28
33,Liberty,60,37-23,535,302,255,4.29
34,Portland,55,32-23,481,264,230,4.3
35,Gonzaga,56,37-19,504.1,270,242,4.32
36,LSU,62,40-22,546,318,262,4.32
37,Creighton,49,31-18,430,245,207,4.33
38,William & Mary,49,26-23,429.1,263,207,4.34
39,Texas St.,61,47-14,538.1,306,260,4.35
40,UC Irvine,56,32-24,506.1,274,245,4.35
41,McNeese,57,34-23,506.1,306,247,4.39
42,Virginia Tech,59,45-14,531,283,260,4.41
43,Lamar University,58,37-21,512,303,251,4.41
44,LIU,58,37-21,516.2,324,257,4.48
45,Pepperdine,50,24-26,445.1,262,222,4.49
46,Cal Poly,58,37-21,517.1,297,258,4.49
47,Auburn,65,43-22,579,328,289,4.49
48,Wake Forest,61,41-19-1,536.1,331,268,4.5
49,Miami (FL),60,40-20,534,304,268,4.52
50,Grand Canyon,62,41-21,541,315,275,4.57
51,Central Conn. St.,47,29-18,415,244,211,4.58
52,Belmont,59,39-20,516,284,263,4.59
53,Washington,56,30-26,495.1,278,253,4.6
54,Hawaii,52,28-24,464.2,295,239,4.63
55,Alabama,58,31-27,511.1,293,264,4.65
56,North Dakota St.,50,31-19,424,256,219,4.65
57,Ball St.,59,40-19,478,280,247,4.65
58,Wofford,59,42-16-1,512.1,313,265,4.66
59,TCU,60,38-22,525.1,306,272,4.66
60,San Diego,57,37-20,513.2,294,266,4.66
61,Central Mich.,62,43-19,512.2,293,266,4.67
62,Texas A&M,64,44-20,566,345,294,4.67
63,Old Dominion,58,41-17,524.2,314,274,4.7
64,Nebraska,53,23-30,458,299,240,4.72
65,South Alabama,54,31-23,476,278,250,4.73
66,Oregon,61,36-25,539,320,284,4.74
67,Omaha,57,26-31,498.2,305,263,4.75
68,Army West Point,56,31-25,469.2,288,248,4.75
69,Oklahoma St.,64,42-22,571,342,302,4.76
70,Lipscomb,58,35-23,511,306,272,4.79
71,Campbell,60,41-19,534,350,285,4.8
72,Jacksonville,55,27-28,492,294,263,4.81
73,Ga. Southern,61,41-20,539,319,289,4.83
74,Jacksonville St.,55,27-28,487.2,317,263,4.85
75,Clemson,58,35-23,510.2,320,276,4.86
76,James Madison,53,27-26,462.1,299,250,4.87
77,Toledo,58,33-25,478.1,303,259,4.87
78,Charlotte,58,36-22,516.2,308,280,4.88
79,Southern Ill.,60,44-16,530,326,288,4.89
80,Kentucky,59,33-26,513,327,279,4.89
81,UAB,56,31-25,484.2,327,264,4.9
82,FGCU,58,35-23,511.2,342,279,4.91
83,Saint Mary's (CA),55,25-30,474.1,304,259,4.91
84,Bethune-Cookman,59,27-32,513,345,281,4.93
85,Stetson,55,26-29,492,308,270,4.94
86,UNCW,55,31-24,488.1,298,269,4.96
87,Coastal Carolina,60,39-20-1,518,339,286,4.97
88,Texas Tech,61,39-22,539.1,324,298,4.97
89,San Diego St.,56,18-38,499.1,347,276,4.97
90,Troy,56,32-24,496,329,275,4.99
91,Nicholls,51,26-25,440,296,245,5.01
92,Maryland,62,48-14,557,347,311,5.03
93,Tulane,60,33-26-1,520.1,342,291,5.03
94,Arizona,64,39-25,569.2,374,319,5.04
95,NC State,57,36-21,512.1,335,287,5.04
96,Eastern Ky.,58,38-20,510.1,319,287,5.06
97,DBU,59,34-24-1,514.1,322,290,5.07
98,Mercer,58,40-18,515.1,340,291,5.08
99,South Dakota St.,45,22-23,380.2,263,215,5.08
100,Illinois St.,51,20-31,449.2,289,255,5.1
101,Fresno St.,55,27-28,493.2,320,280,5.1
102,Houston,61,37-24,539,330,306,5.11
103,ETSU,51,30-21,449,321,256,5.13
104,UTRGV,58,33-25,490,330,280,5.14
105,West Virginia,55,33-22,479.1,309,274,5.14
106,Delaware,51,25-26,444.1,314,254,5.14
107,Washington St.,53,27-26,466.2,315,268,5.17
108,Louisville,64,42-21-1,575.1,388,333,5.21
109,The Citadel,57,26-31,495.1,346,287,5.21
,Georgia St.,57,30-27,495.1,343,287,5.21
111,Sam Houston,56,31-25,484.2,331,281,5.22
112,Cal St. Fullerton,55,22-33,477.2,310,277,5.22
113,Dayton,50,23-27,434,324,252,5.23
114,Bryant,57,30-27,500.1,359,293,5.27
115,Evansville,56,32-24,481.1,321,283,5.29
116,Indiana St.,49,26-22-1,432,296,254,5.29
117,Alabama St.,59,34-25,512.2,344,302,5.3
118,UIC,47,22-25,402,282,238,5.33
119,Monmouth,51,24-27,444.1,319,265,5.37
120,Canisius,54,29-25,465.2,338,278,5.37
121,Oklahoma,69,45-24,614.1,418,367,5.38
122,California,56,29-27,497.1,337,298,5.39
123,UTSA,58,38-20,502,343,301,5.4
124,South Carolina,55,27-28,479,321,288,5.41
125,Youngstown St.,57,21-36,473.1,356,285,5.42
126,George Washington,52,22-30,454.1,315,274,5.43
127,Lehigh,50,26-24,411,307,249,5.45
128,Florida A&M,59,29-30,503,381,305,5.46
129,UNC Greensboro,64,34-30,557,399,338,5.46
130,Southern California,53,25-28,467.1,328,284,5.47
131,Fairfield,52,31-21,458.2,320,279,5.47
132,Columbia,50,32-18,432.1,303,263,5.47
133,Eastern Ill.,53,33-20,456.1,313,280,5.52
134,Middle Tenn.,55,29-26,479.2,352,295,5.54
135,Brown,36,13-23,310.1,228,191,5.54
136,Northwestern St.,54,25-29,458,326,282,5.54
137,CSU Bakersfield,52,18-34,462.1,368,285,5.55
138,Jackson St.,56,29-27,468.1,349,289,5.55
139,Missouri,51,28-23,438.1,301,272,5.58
140,Illinois,53,31-22,468.2,323,291,5.59
141,Sacramento St.,58,32-26,500,343,312,5.62
142,Central Ark.,53,24-29,466.1,313,292,5.64
143,Hofstra,53,30-23,471,333,295,5.64
144,Georgia,59,36-23,519,355,326,5.65
145,Fla. Atlantic,58,35-23,513.1,358,324,5.68
146,San Francisco,57,28-29,516.1,361,326,5.68
147,Santa Clara,53,24-29,464,351,293,5.68
148,UMass Lowell,58,28-30,509.2,370,322,5.69
149,Murray St.,55,30-25,486.2,363,309,5.71
150,Marist,46,29-17,399.1,303,254,5.72
151,Villanova,49,19-29-1,419.1,311,268,5.75
152,Rider,54,28-26,472,338,302,5.76
153,Southeast Mo. St.,59,37-22,516.1,373,331,5.77
154,Xavier,60,33-27,514.1,387,330,5.77
155,Miami (OH),56,23-33,464.1,367,298,5.78
156,New Orleans,53,30-23,464,345,299,5.8
157,Georgetown,56,32-24,495,358,319,5.8
158,South Fla.,57,28-29,494.2,362,320,5.82
159,Penn St.,55,26-29,490,378,317,5.82
160,Kansas St.,58,29-29,506.2,372,329,5.84
161,Baylor,54,26-28,469.2,342,305,5.84
162,Abilene Christian,59,30-29,511.1,397,333,5.86
163,USC Upstate,58,35-22-1,513.1,384,335,5.87
164,Duke,54,22-32,478,351,313,5.89
165,Prairie View,57,30-27,472.1,396,310,5.91
166,Saint Joseph's,54,29-25,471.1,391,312,5.96
167,A&M-Corpus Christi,55,27-28,474.1,375,314,5.96
168,App State,53,20-33,465,369,308,5.96
169,North Florida,55,22-33,477,366,316,5.96
170,ULM,56,20-35-1,487.1,392,323,5.97
171,Wichita St.,57,21-36,497.2,368,330,5.97
172,Utah,54,26-27-1,473.1,351,314,5.97
173,UMBC,55,23-32,479.1,377,318,5.97
174,Samford,57,28-29,491,388,326,5.98
175,Richmond,56,30-26,503.2,398,335,5.99
176,Bucknell,48,22-26,399.2,289,266,5.99
177,Western Ky.,54,18-36,464,375,309,5.99
178,Harvard,41,19-22,357,287,238,6
179,Western Caro.,58,26-31-1,509.2,411,341,6.02
180,Rice,56,17-39,485.2,406,326,6.04
181,Purdue,50,29-21,450.2,332,303,6.05
182,NJIT,53,26-27,458,343,308,6.05
183,LMU (CA),55,20-34-1,495,390,333,6.05
184,Memphis,55,26-29,478.1,375,322,6.06
185,UNC Asheville,51,21-29-1,441,358,297,6.06
186,Morehead St.,54,27-27,461.2,378,311,6.06
187,Mississippi St.,56,26-30,489.2,354,330,6.07
188,Binghamton,52,22-30,450.1,342,306,6.12
189,Missouri St.,60,31-29,518.1,395,353,6.13
190,Michigan St.,54,24-30,470.2,393,322,6.16
191,Dartmouth,43,24-19,374,289,256,6.16
192,Stony Brook,52,27-25,448,342,307,6.17
193,Saint Louis,53,29-24,454.1,360,312,6.18
194,Kennesaw St.,64,36-28,554.2,432,381,6.18
195,Pittsburgh,56,29-27,489.2,387,338,6.21
196,FDU,54,24-30,473.2,375,328,6.23
197,Valparaiso,48,16-32,397.2,311,276,6.25
198,Oakland,58,31-27,486.2,384,339,6.27
199,Gardner-Webb,60,24-36,514,413,359,6.29
200,Milwaukee,50,20-30,418,342,292,6.29
201,Marshall,55,20-34-1,478.1,391,335,6.3
202,UMES,54,17-37,420.2,377,295,6.31
203,Maine,49,27-22,426.1,343,299,6.31
204,UT Arlington,54,15-39,462.1,377,327,6.37
205,High Point,56,23-33,487.2,403,345,6.37
206,Wright St.,57,30-27,489,383,346,6.37
207,Southeastern La.,61,30-31,535,429,379,6.38
208,Seton Hall,53,18-35,457.1,356,324,6.38
209,UAlbany,47,22-25,399.1,313,283,6.38
210,Yale,38,20-18,334.1,264,237,6.38
211,UNLV,58,36-22,520.1,446,369,6.38
212,St. John's (NY),55,22-32-1,466,389,331,6.39
213,Tennessee Tech,57,30-27,500,405,357,6.43
214,George Mason,56,23-33,489,395,350,6.44
215,Little Rock,51,24-27,442,375,318,6.48
216,Delaware St.,48,25-23,370.2,321,267,6.48
