,Rank,Team,Conference
0,1,Florida,SEC
1,2,Miami,ACC
2,3,LSU,SEC
3,4,Vanderbilt,SEC
4,5,Texas A&M,SEC
5,6,Texas Christian,Big12
6,7,UCLA,Pac12
7,8,Florida State,ACC
8,9,Dallas Baptist,MVC
9,10,Missouri State,MVC
10,11,Virginia,ACC
11,12,Illinois,Big10
12,14,Radford,BigSou
13,15,Col of Charleston,CAA
14,16,Oklahoma State,Big12
15,17,Florida Atlantic,ConfUSA
16,18,Houston,AAC
17,19,Coastal Carolina,BigSou
18,20,Cal State Fullerton,BigWest
19,21,Arkansas,SEC
20,22,North Carolina State,ACC
21,23,Bradley,MVC
22,24,UC Santa Barbara,BigWest
23,24,Louisville,ACC
24,25,UNC Wilmington,CAA
25,26,Auburn,SEC
26,27,USC,Pac12
27,28,Iowa,Big10
28,29,California,Pac12
29,30,North Carolina,ACC
30,31,Maryland,Big10
31,32,UL Lafayette,SBC
32,33,Notre Dame,ACC
33,34,South Florida,AAC
34,35,Indiana,Big10
35,36,East Carolina,AAC
36,37,Rice,ConfUSA
37,38,Georgia Tech,ACC
38,39,Ole Miss,SEC
39,40,Oregon State,Pac12
40,41,Wright State,Horiz
41,42,Arizona State,Pac12
42,43,Oral Roberts,Summ
43,44,Ohio State,Big10
44,45,Alabama,SEC
45,46,UC Irvine,BigWest
46,47,Nebraska,Big10
47,47,North Florida,AtlSun
48,49,Columbia,Ivy
49,50,Tulane,AAC
50,51,Southeastern Louisiana,Sthland
51,52,Michigan State,Big10
52,53,Connecticut,AAC
53,54,Michigan,Big10
54,55,Southern Miss,ConfUSA
55,56,Stony Brook,AmEast
56,57,Nevada,MWC
57,58,Missouri,SEC
58,59,Duke,ACC
59,60,Kentucky,SEC
60,61,St. John's,BigEast
61,62,Central Florida,AAC
62,62,Lipscomb,AtlSun
63,63,Clemson,ACC
64,64,South Carolina,SEC
65,65,Liberty,BigSou
66,66,Oregon,Pac12
67,67,Cal State Northridge,BigWest
68,68,VCU,Atl10
69,69,Creighton,BigEast
70,70,Fresno State,MWC
71,71,Alabama-Birmingham,ConfUSA
72,73,Tennessee,SEC
73,74,San Diego State,MWC
74,75,Virginia Tech,ACC
75,76,UT San Antonio,ConfUSA
76,77,Memphis,AAC
77,78,South Alabama,SBC
78,79,Winthrop,BigSou
79,80,Texas Tech,Big12
80,81,Boston College,ACC
81,82,High Point,BigSou
82,83,Middle Tennessee,ConfUSA
83,84,Nicholls State,Sthland
84,85,San Diego,WCC
85,87,Long Beach State,BigWest
86,87,Oklahoma,Big12
87,88,Texas,Big12
88,89,Wake Forest,ACC
89,90,Indiana State,MVC
90,91,Georgia,SEC
91,92,New Mexico,MWC
92,93,Washington,Pac12
93,94,Northwestern State,Sthland
