,team,conference,avg_talent,season,sp_conf_rating,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,sacks,sacksOpponent,tacklesForLoss,tacklesForLossOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent,total_turnovers,thirdDownConversionRate,fourthDownConversionRate,possessionTimeMinutes,color,alt_color,logo,fpi,fpi_rank,fpi_sor,fpi_sos,def_eff,off_eff,special_eff,games_played,wins,losses,conference_games,conference_wins,conference_losses,Offense_explosiveness,Defense_explosiveness,Offense_ppa,Defense_ppa,Defense_havoc_total,Offense_successRate,Defense_successRate,Offense_powerSuccess,Defense_powerSuccess,Offense_stuffRate,Defense_stuffRate,Offense_pointsPerOpportunity,Defense_pointsPerOpportunity,Offense_fieldPosition_averagePredictedPoints,Defense_fieldPosition_averagePredictedPoints,Offense_fieldPosition_averageStart,Defense_fieldPosition_averageStart,offense_drive_quality,defense_drive_quality,avg_opp_offense_drive_quality_pct,avg_opp_defense_drive_quality_pct,adj_offense_drive_quality,adj_defense_drive_quality,elo_x,avg_opp_offense_ppa,avg_opp_defense_ppa,avg_opp_offense_ppo,avg_opp_defense_ppo,adj_offense_ppa,adj_defense_ppa,adj_offense_ppo,adj_defense_ppo,unweighted_power,power_rating,sp_conf_scaled,total_turnovers_scaled,possession_scaled,third_down_scaled,offense_avg_field_position_scaled,defense_avg_field_position_scaled,offense_ppo_scaled,offense_success_scaled,offense_explosive,talent_scaled,defense_ppo_scaled,penalties_scaled,offense_ppa_scaled,defense_ppa_scaled,defense_success_scaled,defense_explosive,PBR,PBR_rank,STM,STM_rank,DCE,DCE_rank,DefensivePossessionTime,DDE,DDE_rank,offensive_total,defensive_total,offensive_rank,defensive_rank,talent_scaled_rank,offense_success_rank,defense_success_rank,offense_explosive_rank,defense_explosive_rank,total_turnovers_rank,penalties_rank,avg_expected_wins,SOS,wins_above_average,wins_above_good,wins_above_elite,SOR,most_deserving_wins,most_deserving,elo_y
0,Ohio State,Big Ten,982.3666666666667,2025,11.216666666666667,43.0,26.0,2.0,2.0,3.0,6.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,17.0,29.0,1.0,2.0,503.0,242.0,48.0,52.0,37.0,28.0,2.0,1.0,6.0,1.0,5.0,12.0,30.0,90.0,3780.0,3420.0,0.0,0.0,8.0,3.0,1.0,1.0,72.0,70.0,5.0,0.0,351.0,260.0,3.0,0.0,10.0,2.0,8.0,8.0,19.0,28.0,854.0,502.0,1.0,4.0,3.0,0.4211,0.6667,63.0,#ce1141,#505056,"['http://a.espncdn.com/i/teamlogos/ncaa/500/194.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/194.png']",22.376,3,1,17,89.924,88.305,47.185,2,2,0,0,0,0,1.0627474435798487,0.9584332597250274,0.3561382337938329,-0.1862559442366844,0.132,0.5630252100840336,0.34710743801652894,0.6666666666666666,0.8,0.15714285714285714,0.13636363636363635,6.3,1.75,1.249,-1.155,73.9,73.5,27.3,-13.0,20.8,-7.7,35.0,-33.8,1978,0.031606310459295156,-0.07334651405370371,3.1666666666666665,2.625,0.42948474784753665,-0.21786225469597956,3.675,-1.4166666666666665,29.2,26.0,8.384530352811128,69.53846153846155,51.82036676854682,44.03039513677811,23.197309417040344,3.191489361702125,97.54342431761786,78.3108251732396,32.20077765053939,969.6553928723151,78.13253012048193,95.95918367346938,58.18408277823485,97.04071788447838,66.718070273285,80.39253240083573,0.0309388265362336,1.0,24.599999999999994,87.0,49.045,42.0,57.0,26.8,54.0,2.651383475333352,-4.043831729962005,20,4,3.0,14.0,43.0,114.0,11.0,14.0,2.0,9.868,26,1.0,0.95,0.36,3,0.606,5,1978
1,Alabama,SEC,1009.0866666666666,2025,16.8375,47.0,29.0,4.0,2.0,7.0,3.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,48.0,1.0,6.0,625.0,207.0,76.0,32.0,52.0,19.0,1.0,0.0,9.0,0.0,13.0,8.0,125.0,81.0,3832.0,3368.0,0.0,0.0,45.0,3.0,2.0,1.0,65.0,81.0,3.0,4.0,299.0,323.0,1.0,3.0,15.0,9.0,15.0,11.0,29.0,26.0,924.0,530.0,0.0,4.0,4.0,0.5172,0.5714,63.87,#9e1632,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/333.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png']",21.125,4,76,34,54.534,76.184,79.766,2,1,1,0,0,0,1.4222127531372024,1.5787797439525224,0.4081102897986538,0.13241953414967778,0.193,0.475177304964539,0.32456140350877194,0.7142857142857143,0.7142857142857143,0.09523809523809523,0.2222222222222222,5.1875,5.166666666666667,2.362,-1.011,56.6,74.9,71.4,9.1,40.0,20.5,50.9,-30.9,1920,0.35672376027440833,0.20107527264759595,4.6875,4.55,0.20703501715105788,-0.22430422612473055,0.6375000000000002,0.47916666666666696,26.1,24.5,10.0,77.15384615384616,53.01694915254237,58.489209726443775,100.0,4.680851063829792,81.14578163771712,58.51171468551541,64.99888991518908,1000.0,23.79518072289156,63.96938775510204,63.44659024817036,55.922221300150596,71.81893768162738,21.95367605768216,0.125,34.0,41.800000000000004,32.0,48.535,45.0,56.13,28.6,39.0,3.562911866914517,1.6245500721304418,14,100,1.0,46.0,31.0,21.0,126.0,8.0,95.0,9.159,9,-0.04,-0.6,-0.98,75,-0.84,74,1920
2,Georgia,SEC,995.9133333333333,2025,16.8375,53.0,17.0,3.0,1.0,3.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,52.0,1.0,3.0,480.0,280.0,68.0,44.0,46.0,27.0,1.0,0.0,3.0,0.0,5.0,9.0,39.0,52.0,4058.0,3142.0,0.0,0.0,35.0,14.0,5.0,2.0,84.0,59.0,7.0,1.0,429.0,123.0,2.0,0.0,11.0,9.0,13.0,6.0,29.0,28.0,909.0,403.0,2.0,1.0,-1.0,0.4483,1.0,67.63,#ba0c2f,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/61.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/61.png']",20.349,6,41,119,88.819,62.27,55.2,2,2,0,0,0,0,0.9620169977173699,0.9605971300222347,0.3317206220928784,-0.08814309776997072,0.162,0.5592105263157895,0.30392156862745096,0.75,0.625,0.16470588235294117,0.3333333333333333,5.5,3.25,1.367,-1.018,70.8,75.1,33.3,-32.0,-34.8,40.9,-7.6,2.8,2072,0.060658040553236814,0.32666863144803093,3.4,5.0,0.005051990644847459,-0.14880113832320752,0.5,-0.1499999999999999,26.8,24.4,10.0,39.07692307692308,58.18838566268407,48.12279635258359,36.95964125560542,4.893617021276583,85.75186104218362,77.45107393272389,23.00999238134591,985.0396847095046,54.27710843373494,92.92857142857143,55.71164135774654,84.381279000922,76.4885420425839,80.18868808373415,0.03959231349293443,3.0,31.299999999999997,66.0,58.297999999999995,8.0,52.370000000000005,9.8,130.0,2.07873250142312,-2.9782270262379162,29,16,2.0,16.0,17.0,131.0,12.0,88.0,4.0,9.43,14,0.04,0.0,0.0,54,0.0,37,2072
3,Oregon,Big Ten,910.89,2025,11.216666666666667,53.0,26.0,3.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,56.0,0.0,0.0,2.0,0.0,0.0,91.0,84.0,4.0,5.0,572.0,265.0,50.0,50.0,37.0,30.0,2.0,0.0,6.0,0.0,9.0,15.0,64.0,99.0,3529.0,3674.0,0.0,0.0,49.0,0.0,5.0,0.0,76.0,69.0,10.0,1.0,565.0,190.0,5.0,0.0,11.0,3.0,14.0,7.0,22.0,28.0,1137.0,455.0,0.0,2.0,2.0,0.6364,0.75,58.82,#007030,#fee11a,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2483.png']",24.489,1,29,105,89.696,99.188,75.279,2,2,0,0,0,0,1.4121293504341421,0.9116738441826258,0.6724683908805152,-0.10390760770516949,0.203,0.6,0.3559322033898305,0.8571428571428571,0.5,0.11842105263157894,0.13846153846153847,6.266666666666667,2.2857142857142856,1.819,-0.878,63.6,76.5,77.3,-25.0,-11.5,26.1,51.2,-13.5,1992,-0.018443468023697514,0.39375902700498533,3.75,4.666666666666667,0.2787093638755299,-0.08546413968147198,1.5999999999999996,-1.4642857142857144,33.0,24.2,8.384530352811128,61.92307692307692,46.07126979716588,76.42355623100303,68.92376681614351,6.38297872340425,97.05210918114143,86.64418212478918,64.07886629935841,888.4828117047812,69.61273666092943,84.51020408163265,90.21456112760248,86.4153638047053,64.7215347821566,84.79743649402977,0.07203290728517264,7.0,45.449999999999996,25.0,50.774,35.0,61.18,14.6,119.0,6.168048079171767,-3.5741641881750694,2,9,7.0,7.0,49.0,24.0,7.0,26.0,20.0,10.076,35,0.33,0.01,0.0,33,0.001,28,1992
4,Penn State,Big Ten,887.93,2025,11.216666666666667,45.0,27.0,4.0,4.0,7.0,7.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0,17.0,0.0,0.0,2.0,0.0,0.0,106.0,85.0,3.0,4.0,503.0,274.0,68.0,54.0,48.0,29.0,2.0,0.0,3.0,1.0,6.0,7.0,55.0,54.0,3563.0,3637.0,0.0,0.0,23.0,10.0,6.0,2.0,67.0,70.0,6.0,0.0,344.0,219.0,5.0,3.0,18.0,8.0,9.0,10.0,25.0,29.0,847.0,493.0,0.0,5.0,5.0,0.36,0.5714,59.38,#041E42,#FFFFFF,"['http://a.espncdn.com/i/teamlogos/ncaa/500/213.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/213.png']",19.556,7,40,118,90.405,51.344,79.539,2,2,0,0,0,0,1.0981186057033043,1.1911158035393312,0.29144158395391145,-0.030740298253986213,0.238,0.5037037037037037,0.3442622950819672,0.7272727272727273,0.5,0.09375,0.21875,4.466666666666667,1.6666666666666667,1.814,-1.084,63.8,74.1,56.5,-8.7,15.9,35.6,20.9,-24.6,2087,0.09711784346289357,0.16952051029653192,3.25,3.4006410256410255,0.12192107365737953,-0.1278581417168798,1.0660256410256412,-1.5833333333333333,20.8,23.4,8.384530352811128,84.76923076923077,46.84148374548485,34.837537993920975,68.0358744394619,3.8297872340425414,70.5210918114144,64.94097807757166,35.428091428563704,862.4082540830877,79.4578313253012,87.54081632653062,51.633127722102245,76.97463187582625,67.3617620436488,58.47300501211105,0.06377489981061926,6.0,49.46666666666667,20.0,44.718,72.0,60.62,36.8,14.0,1.8070218660744528,-2.9529513547782997,34,17,11.0,32.0,42.0,107.0,60.0,5.0,11.0,10.076,34,0.1,0.0,0.0,35,0.0,41,2087
5,Notre Dame,FBS Independents,896.11,2025,7.65,18.0,20.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,1.0,0.0,0.0,0.0,15.0,32.0,1.0,1.0,221.0,205.0,30.0,31.0,19.0,20.0,0.0,1.0,2.0,2.0,5.0,6.0,30.0,51.0,1563.0,2037.0,0.0,0.0,9.0,9.0,2.0,1.0,27.0,37.0,1.0,1.0,94.0,127.0,1.0,3.0,2.0,5.0,4.0,5.0,9.0,14.0,315.0,332.0,2.0,0.0,-2.0,0.4444,0.0,26.05,#0c2340,#c99700,"['http://a.espncdn.com/i/teamlogos/ncaa/500/87.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/87.png']",17.166,10,117,1,85.044,62.757,40.387,1,0,1,0,0,0,1.239430959101071,0.8863613204071918,0.18095500376344736,0.16400600729287595,0.074,0.4482758620689655,0.5,0.4,0.7142857142857143,0.19230769230769232,0.16216216216216217,6.0,4.5,1.029,-1.556,74.2,67.0,-16.7,18.2,52.6,-4.8,-11.9,-34.4,2166,0.32045964074728334,-0.006104204463747705,5.142857142857143,3.857142857142857,0.18705920822719507,-0.15645363345440738,2.142857142857143,-0.6428571428571432,12.4,21.7,7.359443608560813,31.461538461538463,1.0,47.536018237082075,21.86547085201795,-3.723404255319153,93.12158808933002,52.448682909809854,48.32162609767845,871.6978830615483,34.39759036144578,95.95918367346938,40.44564548114546,51.84663853292273,32.12730061349693,87.18196671738923,0.0344155935019998,2.0,12.299999999999997,110.0,30.494,134.0,33.95,6.800000000000001,135.0,-0.09550188205544385,1.6534771302634057,69,101,9.0,63.0,127.0,70.0,4.0,105.0,2.0,9.951,29,-0.01,-0.18,-0.88,69,-0.431,66,2166
6,Texas,SEC,946.91,2025,16.8375,34.0,27.0,3.0,1.0,7.0,4.0,1.0,3.0,3.0,1.0,2.0,0.0,0.0,0.0,46.0,2.0,1.0,0.0,0.0,51.0,0.0,3.0,0.0,487.0,314.0,63.0,63.0,38.0,34.0,1.0,2.0,5.0,1.0,18.0,5.0,165.0,30.0,3490.0,3710.0,0.0,0.0,3.0,21.0,2.0,2.0,69.0,63.0,1.0,2.0,321.0,162.0,2.0,2.0,4.0,5.0,7.0,7.0,26.0,27.0,808.0,476.0,3.0,4.0,1.0,0.2692,0.4286,58.17,#c15d26,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/251.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/251.png']",22.39,2,57,5,92.892,54.293,67.423,2,1,1,0,0,0,1.0580320991003036,0.7675003897749413,0.031606310459295156,-0.07334651405370371,0.143,0.4198473282442748,0.35714285714285715,0.75,0.5714285714285714,0.11940298507462686,0.1935483870967742,3.1666666666666665,2.625,1.679,-1.148,67.6,75.3,20.8,-7.7,20.4,10.4,10.4,-28.1,1896,0.16055012363414428,-0.01424968958198343,3.8499999999999996,2.4416666666666664,0.045856000041278586,-0.233896637687848,0.7250000000000001,-1.2249999999999996,15.1,20.6,10.0,54.30769230769231,45.17727146429564,21.17613981762918,51.165919282511254,5.106382978723403,51.35980148883374,46.04147625606631,31.77054309522984,929.3889774510094,64.21686746987952,50.5,25.323122445587586,82.47208510850896,64.44763365468887,98.37909127058383,0.17753599838523756,66.0,26.200000000000003,81.0,40.349000000000004,107.0,61.83,31.599999999999998,34.0,-1.9474073004239916,-2.4085346579739135,107,23,4.0,82.0,50.0,118.0,2.0,45.0,125.0,9.082,7,0.09,-0.01,-0.25,56,-0.035,56,1896
7,LSU,SEC,908.5166666666668,2025,16.8375,52.0,25.0,0.0,3.0,1.0,5.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,42.0,16.0,1.0,1.0,485.0,326.0,80.0,64.0,55.0,34.0,1.0,1.0,2.0,1.0,15.0,18.0,122.0,187.0,4442.0,2758.0,0.0,0.0,42.0,33.0,3.0,3.0,65.0,47.0,2.0,1.0,236.0,89.0,4.0,4.0,9.0,16.0,13.0,6.0,27.0,26.0,719.0,415.0,3.0,1.0,-2.0,0.4815,0.0,74.03,#461d7c,#fdd023,"['http://a.espncdn.com/i/teamlogos/ncaa/500/99.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/99.png']",13.368,15,5,35,87.628,61.26,38.424,2,2,0,0,0,0,1.1621347689194081,1.12254881663368,0.09064179745765087,-0.04014008621222486,0.189,0.4068965517241379,0.3333333333333333,0.6666666666666666,1.0,0.27419354838709675,0.23255813953488372,2.857142857142857,2.8333333333333335,1.41,-1.081,71.1,73.8,45.5,-18.2,0.0,22.7,22.8,-18.2,1735,0.0061621443983760574,0.008660454718960781,3.396103896103896,1.6363636363636362,0.0819813427386901,-0.04630223061060092,1.220779220779221,-0.5627705627705626,14.7,18.8,10.0,31.461538461538463,66.99083078632954,53.117933130699086,35.627802690582996,3.510638297872333,46.79758950726692,43.122637669360934,41.26901474463939,885.7875322293683,60.90361445783132,64.9795918367347,31.300848077440776,78.1874806052338,69.83435582822086,64.93226028241706,0.13773054548752553,43.0,58.7,13.0,41.83,96.0,45.97,15.799999999999999,116.0,-1.0135228846531859,-2.4538171980232266,91,22,8.0,89.0,37.0,94.0,40.0,105.0,94.0,9.032,5,1.02,0.91,0.22,5,0.728,2,1735
8,Texas A&M,SEC,919.2433333333333,2025,16.8375,47.0,35.0,2.0,2.0,4.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,161.0,33.0,5.0,2.0,610.0,342.0,70.0,65.0,45.0,37.0,0.0,1.0,8.0,4.0,12.0,15.0,104.0,106.0,3633.0,3567.0,1.0,0.0,160.0,9.0,7.0,1.0,67.0,68.0,3.0,2.0,345.0,281.0,7.0,2.0,18.0,7.0,8.0,7.0,24.0,30.0,955.0,623.0,1.0,1.0,0.0,0.3333,0.5,60.55,#500000,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/245.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/245.png']",13.653,14,27,102,55.994,72.301,85.891,2,2,0,0,0,0,1.3276682031809943,1.520640076564264,0.301099463139988,0.103828501932352,0.211,0.4855072463768116,0.3233082706766917,0.5555555555555556,0.6666666666666666,0.22727272727272727,0.19672131147540983,5.615384615384615,4.75,1.582,-1.177,67.3,72.7,-85.2,-7.4,3.8,-46.3,-38.9,-11.2,1724,0.14266334375281886,0.23224758440217957,4.928571428571429,5.636363636363637,0.0688518787378084,-0.038834841820466856,-0.020979020979021712,-0.17857142857142883,13.3,18.5,10.0,46.69230769230769,48.45068074465128,30.820364741641338,52.49775784753366,2.340425531914889,87.45256728383278,60.8398709582814,56.372514348398155,897.969286937064,30.421686746987945,71.04081632653062,52.61105057656365,59.611304208328406,72.10244937497117,27.430640555308273,0.11581687872058485,23.0,60.45714285714287,10.0,43.608,81.0,59.45,32.0,31.0,-1.994360696631235,0.4411971824834855,108,82,6.0,39.0,28.0,45.0,121.0,68.0,81.0,9.28,12,0.51,0.03,0.0,19,0.002,23,1724
9,Clemson,ACC,920.3133333333334,2025,5.488235294117647,30.0,41.0,2.0,1.0,5.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,13.0,4.0,2.0,3.0,0.0,0.0,30.0,0.0,2.0,0.0,426.0,471.0,62.0,70.0,37.0,48.0,3.0,2.0,2.0,2.0,9.0,16.0,87.0,142.0,2989.0,4211.0,0.0,0.0,16.0,19.0,1.0,2.0,51.0,63.0,2.0,1.0,151.0,186.0,5.0,3.0,13.0,8.0,8.0,9.0,25.0,24.0,577.0,655.0,3.0,5.0,2.0,0.32,0.4,49.82,#f56600,#522d80,"['http://a.espncdn.com/i/teamlogos/ncaa/500/228.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png']",9.182,32,64,41,77.002,23.004,67.651,2,1,1,0,0,0,1.1776877178635539,1.2703847302836055,0.0344457167631947,0.06746857707346608,0.198,0.3893805309734513,0.3816793893129771,0.8,0.7777777777777778,0.2708333333333333,0.3050847457627119,3.3636363636363638,1.8181818181818181,1.496,-1.145,68.1,73.4,22.7,33.3,41.9,2.3,20.4,-8.6,1696,0.15142651331295146,0.0143851603832283,3.1285714285714286,3.6388888888888893,0.020060556379966402,-0.08395793623948537,-0.2752525252525255,-1.3103896103896104,13.1,18.4,6.738136222339828,61.92307692307692,33.692831342039455,28.819300911854103,48.94618834080722,3.085106382978722,54.263027295285355,39.17488695548359,42.68808732815128,899.1844340039288,77.04819277108433,76.76530612244898,25.610630734331586,64.30280244875436,58.89643141478949,51.00558875319048,0.0967543439476621,17.0,36.30000000000001,47.0,36.11,122.0,70.18,35.8,18.0,-1.7115487679709611,-0.5138177732969349,104,65,5.0,99.0,72.0,86.0,81.0,26.0,48.0,10.283,44,0.16,-0.08,-0.76,61,-0.53,67,1696
