,team,conference,avg_talent,season,sp_conf_rating,firstDowns,firstDownsOpponent,fourthDownConversions,fourthDownConversionsOpponent,fourthDowns,fourthDownsOpponent,fumblesLost,fumblesLostOpponent,fumblesRecovered,fumblesRecoveredOpponent,games,interceptionTDs,interceptionTDsOpponent,interceptionYards,interceptionYardsOpponent,interceptions,interceptionsOpponent,kickReturnTDs,kickReturnTDsOpponent,kickReturnYards,kickReturnYardsOpponent,kickReturns,kickReturnsOpponent,netPassingYards,netPassingYardsOpponent,passAttempts,passAttemptsOpponent,passCompletions,passCompletionsOpponent,passesIntercepted,passesInterceptedOpponent,passingTDs,passingTDsOpponent,penalties,penaltiesOpponent,penaltyYards,penaltyYardsOpponent,possessionTime,possessionTimeOpponent,puntReturnTDs,puntReturnTDsOpponent,puntReturnYards,puntReturnYardsOpponent,puntReturns,puntReturnsOpponent,rushingAttempts,rushingAttemptsOpponent,rushingTDs,rushingTDsOpponent,rushingYards,rushingYardsOpponent,sacks,sacksOpponent,tacklesForLoss,tacklesForLossOpponent,thirdDownConversions,thirdDownConversionsOpponent,thirdDowns,thirdDownsOpponent,totalYards,totalYardsOpponent,turnovers,turnoversOpponent,total_turnovers,thirdDownConversionRate,fourthDownConversionRate,possessionTimeMinutes,color,alt_color,logo,fpi,fpi_rank,fpi_sor,fpi_sos,def_eff,off_eff,special_eff,games_played,wins,losses,conference_games,conference_wins,conference_losses,Offense_explosiveness,Defense_explosiveness,Offense_ppa,Defense_ppa,Defense_havoc_total,Offense_successRate,Defense_successRate,Offense_powerSuccess,Defense_powerSuccess,Offense_stuffRate,Defense_stuffRate,Offense_pointsPerOpportunity,Defense_pointsPerOpportunity,Offense_fieldPosition_averagePredictedPoints,Defense_fieldPosition_averagePredictedPoints,Offense_fieldPosition_averageStart,Defense_fieldPosition_averageStart,offense_drive_quality,defense_drive_quality,avg_opp_offense_drive_quality_pct,avg_opp_defense_drive_quality_pct,adj_offense_drive_quality,adj_defense_drive_quality,elo_x,avg_opp_offense_ppa,avg_opp_defense_ppa,avg_opp_offense_ppo,avg_opp_defense_ppo,adj_offense_ppa,adj_defense_ppa,adj_offense_ppo,adj_defense_ppo,avg_opp_offense_sr,avg_opp_defense_sr,adj_offense_sr,adj_defense_sr,last_week,unweighted_power,power_rating,sp_conf_scaled,total_turnovers_scaled,possession_scaled,third_down_scaled,offense_avg_field_position_scaled,defense_avg_field_position_scaled,offense_ppo_scaled,offense_success_scaled,offense_explosive,talent_scaled,defense_ppo_scaled,penalties_scaled,offense_ppa_scaled,defense_ppa_scaled,defense_success_scaled,defense_explosive,PBR,PBR_rank,STM,STM_rank,DCE,DCE_rank,DefensivePossessionTime,DDE,DDE_rank,offensive_total,defensive_total,offensive_rank,defensive_rank,talent_scaled_rank,offense_success_rank,defense_success_rank,offense_explosive_rank,defense_explosive_rank,total_turnovers_rank,penalties_rank,avg_expected_wins,SOS,wins_above_average,wins_above_good,wins_above_elite,SOR,most_deserving_wins,most_deserving,elo_y
0,Ohio State,Big Ten,982.3666666666667,2025,12.183333333333334,71.0,35.0,2.0,4.0,4.0,9.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,5.0,4.0,3.0,2.0,0.0,0.0,20.0,29.0,2.0,2.0,850.0,355.0,80.0,73.0,62.0,38.0,2.0,3.0,9.0,2.0,11.0,15.0,80.0,115.0,5743.0,5057.0,0.0,0.0,28.0,3.0,4.0,1.0,102.0,104.0,6.0,0.0,577.0,328.0,7.0,1.0,17.0,4.0,13.0,11.0,28.0,43.0,1427.0,683.0,3.0,4.0,1.0,0.4643,0.5,95.72,#ce1141,#505056,"['http://a.espncdn.com/i/teamlogos/ncaa/500/194.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/194.png']",22.305,2,5,49,87.37,82.825,38.277,3,3,0,0,0,0,1.1143906074163998,1.0310597474352068,0.36331620274067294,-0.1475176337565502,0.16,0.569060773480663,0.32,0.6666666666666666,0.7142857142857143,0.16161616161616163,0.15463917525773196,5.375,1.6666666666666667,1.242,-1.225,73.4,72.4,39.4,-11.8,23.2,10.5,28.9,-35.0,2010,0.04348475714203021,0.06565168370194394,3.196428571428571,2.5021929824561404,0.29766451903872904,-0.1910023908985804,2.8728070175438596,-1.5297619047619044,0.38727067211546823,0.40235143106838545,0.16670934241227753,-0.06727067211546822,1,26.7,25.8,8.734197633225296,60.4,63.98516599952907,56.03343465045593,23.611111111111043,2.023121387283254,81.56966019417476,87.80833145284323,25.44296220553788,969.6553928723151,84.48717948717949,88.48837209302326,62.868574971856,95.17836870715547,73.02908438061041,81.24147887143354,0.08250353742995627,4.0,16.0,117.0,46.54966666666667,59.0,84.28,45.400000000000006,30.0,2.652740563772455,-4.640794658180668,25,3,3.0,9.0,20.0,114.0,14.0,52.0,9.0,10.007,36,1.04,0.82,0.13,5,0.402,6,2010
1,Oregon,Big Ten,910.89,2025,12.183333333333334,74.0,41.0,3.0,4.0,4.0,7.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,123.0,-1.0,1.0,4.0,0.0,0.0,91.0,123.0,4.0,6.0,769.0,400.0,76.0,72.0,56.0,41.0,4.0,1.0,7.0,0.0,9.0,19.0,64.0,126.0,5191.0,5612.0,0.0,0.0,58.0,0.0,6.0,0.0,106.0,106.0,13.0,3.0,741.0,368.0,7.0,0.0,15.0,7.0,21.0,10.0,33.0,39.0,1510.0,768.0,1.0,4.0,3.0,0.6364,0.75,86.52,#007030,#fee11a,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2483.png']",24.228,1,20,98,91.97,98.327,60.837,3,3,0,1,1,0,1.413240090651304,1.0179084813866626,0.5581386390827628,-0.017885200342524037,0.198,0.569060773480663,0.384180790960452,0.8421052631578947,0.5555555555555556,0.1509433962264151,0.15,5.818181818181818,2.3,1.853,-0.876,62.5,77.0,75.0,-17.6,5.1,21.1,53.9,-22.7,1984,0.0472121491654459,0.2822647239687575,2.2596153846153846,4.0,0.27587391511400533,-0.06509734950796994,1.8181818181818183,0.04038461538461524,0.3941482843137255,0.4376068376068376,0.13145393587382537,-0.009967493353273515,1,27.1,24.4,8.734197633225296,73.6,53.26230280197785,84.80395136778117,90.22222222222221,7.341040462427756,89.32233009708737,87.80833145284323,57.66786141882561,888.4828117047812,73.76923076923077,93.75083056478405,89.32841017744794,75.58848709088788,55.82989988741137,82.79682003046926,0.07203290728517264,2.0,46.916666666666664,24.0,50.204,33.0,93.48,24.200000000000003,119.0,5.838133597555661,-3.4013550939694444,2,13,7.0,9.0,63.0,18.0,12.0,28.0,6.0,9.917,33,0.6,0.03,0.0,27,0.01,23,1984
2,Alabama,SEC,1009.0866666666666,2025,16.66875,69.0,43.0,5.0,3.0,9.0,4.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,1.0,1.0,143.0,1.0,7.0,1007.0,324.0,106.0,49.0,76.0,30.0,3.0,0.0,13.0,1.0,20.0,14.0,182.0,146.0,5568.0,5232.0,0.0,0.0,64.0,3.0,5.0,1.0,87.0,115.0,4.0,4.0,371.0,415.0,5.0,4.0,19.0,10.0,17.0,17.0,37.0,37.0,1378.0,739.0,0.0,6.0,6.0,0.4595,0.5556,92.8,#9e1632,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/333.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png']",21.985,3,38,50,72.259,84.649,60.334,3,2,1,0,0,0,1.4320854974019357,1.3617360242136076,0.4438375033574074,0.11074938629831053,0.188,0.49222797927461137,0.36363636363636365,0.75,0.8333333333333334,0.11904761904761904,0.17117117117117117,5.2631578947368425,4.428571428571429,1.88,-1.089,63.7,73.7,63.3,9.4,20.5,15.3,48.0,-11.1,1948,0.3058806332538397,0.18005448261805954,4.180555555555555,3.639393939393939,0.2637830207393479,-0.19513124695552914,1.6237639553429033,0.24801587301587347,0.4401801430977062,0.4065535876780031,0.08567439159660828,-0.07654377946134255,1,23.1,23.3,10.0,93.39999999999999,60.581822462914985,55.231003039513695,82.88888888888886,3.5260115606936466,79.61318344404701,63.4995134576303,59.69995907079034,1000.0,37.74725274725274,54.94019933554817,73.80458616677619,56.14939875715912,61.33540068549044,42.13388104080005,0.182,27.0,23.799999999999997,98.0,46.64033333333334,58.0,87.2,37.4,62.0,4.074274987027352,0.6792717026189259,7,84,1.0,36.0,48.0,16.0,100.0,2.0,98.0,9.233,11,0.73,-0.56,-0.98,64,-0.784,63,1948
3,USC,Big Ten,869.0099999999999,2025,12.183333333333334,77.0,60.0,4.0,5.0,4.0,6.0,2.0,1.0,1.0,2.0,3.0,2.0,0.0,179.0,0.0,0.0,6.0,0.0,0.0,113.0,118.0,6.0,6.0,1092.0,699.0,85.0,112.0,61.0,68.0,6.0,0.0,7.0,5.0,22.0,12.0,241.0,121.0,5508.0,5292.0,0.0,0.0,2.0,1.0,1.0,2.0,102.0,90.0,12.0,1.0,721.0,259.0,14.0,3.0,31.0,13.0,15.0,14.0,29.0,43.0,1813.0,958.0,2.0,7.0,5.0,0.5172,1.0,91.8,#9e2237,#ffcc00,"['http://a.espncdn.com/i/teamlogos/ncaa/500/30.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/30.png']",20.624,5,21,109,76.145,96.994,32.401,3,3,0,1,1,0,1.4332556759595578,1.3723664846937107,0.63671301842862,-0.06424465813718067,0.219,0.6,0.36666666666666664,0.8888888888888888,0.8571428571428571,0.10909090909090909,0.22077922077922077,5.590909090909091,1.9473684210526316,1.111,-1.116,73.8,72.6,68.8,12.1,28.0,41.5,27.3,-15.9,1878,0.13643993404104982,0.3625483555417446,3.26937134502924,4.469145517738869,0.27416466288687547,-0.20068459217823048,1.121763573170222,-1.3220029239766082,0.4222222222222222,0.49749819894912056,0.10250180105087942,-0.05555555555555558,1,27.5,21.6,8.734197633225296,86.8,59.41629385448552,64.87689969604864,21.166666666666657,2.25433526011561,85.34660194174756,97.59706859487979,59.826139265826114,840.9217283774065,79.73684210526315,35.53488372093024,100.00000000000001,82.59426694145276,60.52333931777379,40.87666423268619,0.28659028761811106,78.0,19.633333333333326,108.0,55.772,16.0,88.2,47.0,26.0,5.911077039862337,-2.6837472142888283,1,25,14.0,3.0,52.0,15.0,107.0,11.0,126.0,9.833,31,0.5,0.03,0.0,29,0.014,22,1878
4,Georgia,SEC,995.9133333333333,2025,16.66875,81.0,40.0,5.0,1.0,5.0,2.0,3.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,38.0,1.0,3.0,0.0,0.0,48.0,52.0,2.0,3.0,784.0,651.0,100.0,80.0,69.0,51.0,3.0,1.0,5.0,4.0,10.0,19.0,78.0,134.0,6196.0,4604.0,0.0,0.0,47.0,14.0,6.0,3.0,139.0,93.0,10.0,2.0,627.0,248.0,3.0,3.0,13.0,15.0,21.0,11.0,46.0,40.0,1411.0,899.0,4.0,3.0,-1.0,0.4565,1.0,103.27,#ba0c2f,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/61.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/61.png']",21.541,4,2,26,79.362,79.802,58.909,3,3,0,1,1,0,1.030687585505759,1.1460302161717397,0.2947855310181396,0.08443813550393457,0.155,0.5188284518828452,0.3684210526315789,0.75,0.7272727272727273,0.16176470588235295,0.23595505617977527,5.421052631578948,4.111111111111111,1.305,-1.143,71.6,73.1,34.2,-2.6,28.2,7.6,26.6,-30.8,2043,0.251197315865659,0.17848296885383336,4.442028985507246,4.729166666666666,0.11630256216430623,-0.16675918036172444,0.6918859649122817,-0.3309178743961354,0.4454473532796318,0.4011904761904762,0.117637975692369,-0.07702630064805288,1,20.6,21.5,10.0,47.199999999999996,72.78490699317165,54.72948328267479,34.61111111111113,2.832369942196536,82.37526826775678,71.91552974210994,16.417276714230383,985.0396847095046,43.119658119658126,89.14617940199335,53.56107264125816,60.12552012326457,60.05319852593783,67.6444379903883,0.07918462698586887,3.0,33.33333333333333,59.0,58.98833333333333,7.0,76.73,16.6,131.0,2.016392099386618,-0.3486169074816793,33,63,2.0,22.0,53.0,129.0,39.0,84.0,8.0,9.453,19,1.03,0.76,0.1,7,0.613,4,2043
5,Penn State,Big Ten,887.93,2025,12.183333333333334,73.0,38.0,5.0,6.0,8.0,9.0,0.0,3.0,3.0,0.0,3.0,1.0,0.0,78.0,0.0,1.0,4.0,0.0,0.0,123.0,164.0,4.0,8.0,731.0,370.0,99.0,81.0,65.0,42.0,4.0,1.0,5.0,2.0,11.0,11.0,80.0,83.0,5259.0,5541.0,0.0,0.0,75.0,10.0,10.0,2.0,105.0,105.0,9.0,0.0,581.0,303.0,8.0,3.0,29.0,8.0,14.0,16.0,36.0,46.0,1312.0,673.0,1.0,7.0,6.0,0.3889,0.625,87.65,#041E42,#FFFFFF,"['http://a.espncdn.com/i/teamlogos/ncaa/500/213.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/213.png']",19.387,7,40,134,86.486,49.721,83.94,3,3,0,0,0,0,1.1129649726956414,1.1877866018983596,0.2951312658077783,-0.0795058173138598,0.271,0.5135135135135135,0.3313253012048193,0.8,0.45454545454545453,0.08602150537634409,0.2558139534883721,4.590909090909091,1.4285714285714286,2.01,-0.924,61.2,77.1,64.5,-15.6,19.7,23.6,40.9,-35.3,2152,0.08866056232084175,0.14767053762526994,3.319607843137255,3.44281045751634,0.14746072818250838,-0.16816637963470155,1.1480986333927508,-1.8910364145658265,0.4207729468599034,0.41685746663891393,0.09665604687459955,-0.08944764565508412,0,19.0,21.0,8.734197633225296,93.39999999999999,54.57935012950318,43.428571428571445,98.16666666666664,7.456647398843927,67.85339805825242,70.23395781945713,25.28923620710512,862.4082540830877,88.51648351648352,88.48837209302326,53.6080286578774,84.90051310010746,69.99412731716812,62.70609782348304,0.09276349063362802,5.0,54.14999999999999,14.0,45.60566666666667,68.0,92.35,52.2,15.0,2.4959834196808357,-4.535167427587506,27,4,11.0,24.0,27.0,115.0,50.0,2.0,9.0,9.753,27,0.16,0.01,0.0,37,0.001,35,2152
6,Oklahoma,SEC,891.39,2025,16.66875,75.0,27.0,3.0,0.0,4.0,1.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,17.0,60.0,4.0,5.0,949.0,254.0,108.0,71.0,72.0,33.0,0.0,3.0,5.0,0.0,14.0,8.0,108.0,77.0,5844.0,4956.0,0.0,0.0,12.0,20.0,4.0,4.0,114.0,84.0,8.0,1.0,469.0,290.0,7.0,5.0,24.0,18.0,19.0,7.0,40.0,41.0,1418.0,544.0,5.0,0.0,-5.0,0.475,0.75,97.4,#a32036,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/201.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/201.png']",16.486,13,8,59,89.999,79.69,52.135,3,3,0,0,0,0,1.2518164143389343,1.3823891291694064,0.315392048805067,-0.14030781309992946,0.226,0.5,0.21935483870967742,0.6470588235294118,0.5,0.17272727272727273,0.25316455696202533,4.894736842105263,1.3333333333333333,1.131,-1.272,75.1,71.1,30.6,-21.6,26.8,0.0,30.6,-48.4,1742,0.3087062187910387,0.05234977464470964,5.135294117647058,3.9615384615384617,0.26304227416035736,-0.44901403189096817,0.9331983805668012,-3.8019607843137253,0.4553414580588494,0.38119074103501244,0.11880925896498756,-0.23598661934917198,1,20.5,18.1,10.0,20.799999999999997,65.94325406169061,57.82218844984803,13.222222222222229,0.5202312138728331,73.1683188553909,65.95847176079734,40.26156831268803,866.3376081497715,90.12820512820512,79.27906976744185,56.35974960598823,94.08883016021927,100.0,39.691331093056114,0.12466271691777817,9.0,3.25,127.0,52.21666666666667,26.0,82.6,37.6,60.0,1.5273080110555808,-5.338164801264558,36,2,10.0,29.0,1.0,68.0,109.0,127.0,31.0,9.063,5,1.13,0.78,0.1,6,0.34,8,1742
7,Miami,ACC,867.6633333333333,2025,5.823529411764706,78.0,47.0,2.0,0.0,4.0,3.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,12.0,27.0,2.0,3.0,0.0,0.0,57.0,15.0,2.0,1.0,920.0,612.0,97.0,89.0,75.0,57.0,3.0,2.0,7.0,3.0,19.0,9.0,170.0,65.0,5883.0,4917.0,0.0,0.0,38.0,9.0,5.0,3.0,105.0,87.0,9.0,1.0,531.0,226.0,6.0,4.0,19.0,7.0,16.0,12.0,31.0,39.0,1451.0,838.0,2.0,6.0,4.0,0.5161,0.5,98.05,#005030,#f47321,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2390.png']",17.056,11,7,55,74.685,81.822,43.109,3,3,0,0,0,0,1.165568169814317,1.240135382450436,0.38005888133261195,-0.0032918905669145184,0.205,0.5527638190954773,0.3352272727272727,0.7692307692307693,0.5714285714285714,0.15,0.25,5.5,3.6363636363636362,1.372,-1.003,70.1,74.4,43.8,-5.9,-13.3,37.3,6.5,7.4,1825,0.1675345481919724,0.22289753511868124,4.636363636363637,4.2408906882591095,0.1571613462139307,-0.1708264387588869,1.2591093117408905,-1.0000000000000004,0.3852213053263316,0.4435579697844169,0.10920584931106042,-0.04999403259905888,1,19.2,17.7,6.939435751688178,80.19999999999999,66.70084765716976,64.69300911854104,43.777777777777786,4.335260115606943,83.75631067961164,82.65220375868002,30.961431812387815,839.3923844054025,51.15384615384615,58.88704318936877,65.14248410039711,73.38316544903726,68.94847600783417,56.51504270244506,0.20252745099709515,36.0,40.40000000000001,35.0,47.84433333333333,46.0,81.95,47.0,26.0,3.0608767729066737,-1.5617415309874012,21,39,15.0,14.0,28.0,96.0,69.0,16.0,83.0,10.273,47,1.28,0.88,0.18,4,0.487,5,1825
8,Texas A&M,SEC,919.2433333333333,2025,16.66875,71.0,58.0,3.0,4.0,5.0,6.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,3.0,10.0,2.0,1.0,0.0,0.0,216.0,72.0,7.0,4.0,970.0,635.0,107.0,97.0,62.0,57.0,1.0,2.0,10.0,5.0,25.0,20.0,190.0,137.0,5246.0,5554.0,1.0,1.0,160.0,65.0,7.0,4.0,99.0,107.0,6.0,5.0,473.0,417.0,9.0,2.0,26.0,9.0,12.0,14.0,35.0,45.0,1443.0,1052.0,2.0,2.0,0.0,0.3429,0.6,87.43,#500000,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/245.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/245.png']",15.88,15,1,19,65.1,84.866,56.489,3,3,0,0,0,0,1.4057154737976907,1.505062957660006,0.3282529261757354,0.13652477044030384,0.206,0.45410628019323673,0.35294117647058826,0.5714285714285714,0.5833333333333334,0.19387755102040816,0.22448979591836735,5.35,4.8,1.679,-1.382,67.1,69.8,-32.5,-28.2,1.0,-8.7,-23.8,-29.2,1749,0.22562300987134568,0.23639600500046057,5.126806526806527,5.355769230769231,0.09185692117527486,-0.08909823943104184,-0.005769230769231193,-0.3268065268065268,0.41166968208416327,0.43786996827743385,0.01623631191580288,-0.05872850561357501,1,14.4,16.8,10.0,53.8,54.3229338356487,35.73860182370821,62.11111111111113,-0.9826589595375737,81.13233009708738,51.43834277897206,56.85648300484421,897.969286937064,31.461538461538453,52.308970099667775,58.10645138334248,52.254256849710856,64.20149963037278,25.183248457997706,0.2115885284318377,41.0,56.41428571428572,10.0,44.57233333333333,79.0,92.57,44.0,35.0,-0.5457950199524411,-0.5351287061125864,75,56,6.0,59.0,39.0,21.0,125.0,66.0,103.0,9.469,20,1.52,0.89,0.18,3,0.767,2,1749
9,Notre Dame,FBS Independents,896.11,2025,7.15,41.0,44.0,2.0,2.0,4.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,15.0,2.0,1.0,0.0,0.0,54.0,87.0,3.0,3.0,514.0,565.0,62.0,68.0,39.0,37.0,1.0,2.0,3.0,4.0,10.0,19.0,61.0,137.0,3550.0,3650.0,1.0,0.0,65.0,9.0,5.0,1.0,66.0,69.0,4.0,4.0,230.0,255.0,1.0,5.0,4.0,13.0,11.0,9.0,24.0,25.0,744.0,820.0,3.0,1.0,-2.0,0.4583,0.5,59.17,#0c2340,#c99700,"['http://a.espncdn.com/i/teamlogos/ncaa/500/87.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/87.png']",16.43,14,126,1,69.058,69.427,70.004,2,0,2,0,0,0,1.3673129926524532,1.2019634396344396,0.19021126070619468,0.2740805715399595,0.088,0.4263565891472868,0.44525547445255476,0.45454545454545453,0.6666666666666666,0.23809523809523808,0.14492753623188406,5.2727272727272725,4.6923076923076925,1.386,-1.703,69.3,66.9,-45.8,50.0,1.4,-17.8,-28.0,48.6,2141,0.3541559037541737,0.06661643993669467,5.425,4.218181818181818,0.12359482076950001,-0.0800753322142142,1.0545454545454547,-0.7326923076923073,0.503435049644357,0.3440842245989305,0.08227236454835629,-0.05817957519180228,-1,4.7,16.8,7.313771010778623,40.599999999999994,21.385095361431596,55.030395136778125,48.66666666666666,-4.335260115606928,79.78058252427184,42.65872990624048,52.7155486754623,871.6978830615483,33.28402366863905,94.7375415282392,39.35830415549472,31.46700640470347,39.46309085428979,61.02946690791148,0.06997837345406625,1.0,28.60000000000001,86.0,44.168,84.0,60.83,12.0,135.0,-2.0988000545976466,3.972078133670834,106,128,9.0,80.0,107.0,27.0,56.0,99.0,4.0,9.699,25,-0.01,-0.25,-1.6,56,-0.706,60,2141
