,team,power_rating,conference,week,year
1,Ohio State,33.9,Big Ten,17,2019
2,LSU,31.2,SEC,17,2019
3,Alabama,30.3,SEC,17,2019
4,Clemson,29.7,ACC,17,2019
5,Georgia,24.8,SEC,17,2019
6,Penn State,22.2,Big Ten,17,2019
7,Florida,22.0,SEC,17,2019
8,Oklahoma,20.9,Big 12,17,2019
9,Auburn,20.6,SEC,17,2019
10,Wisconsin,20.5,Big Ten,17,2019
11,Oregon,20.1,Pac-12,17,2019
12,Michigan,19.9,Big Ten,17,2019
13,Notre Dame,19.1,FBS Independents,17,2019
14,Utah,18.1,Pac-12,17,2019
15,Washington,15.8,Pac-12,17,2019
16,Minnesota,15.7,Big Ten,17,2019
17,Baylor,15.2,Big 12,17,2019
18,Iowa,15.1,Big Ten,17,2019
19,UCF,14.7,American Athletic,17,2019
20,Texas A&M,13.8,SEC,17,2019
21,Memphis,13.2,American Athletic,17,2019
22,Texas,12.2,Big 12,17,2019
23,USC,11.3,Pac-12,17,2019
24,Iowa State,11.0,Big 12,17,2019
25,Indiana,9.1,Big Ten,17,2019
26,App State,9.0,Sun Belt,17,2019
27,Air Force,9.0,Mountain West,17,2019
28,North Carolina,8.9,ACC,17,2019
29,Washington State,8.8,Pac-12,17,2019
30,Tennessee,8.7,SEC,17,2019
31,Kentucky,8.5,SEC,17,2019
32,Cincinnati,8.1,American Athletic,17,2019
33,Oklahoma State,8.1,Big 12,17,2019
34,Navy,7.9,American Athletic,17,2019
35,Boise State,7.6,Mountain West,17,2019
36,Missouri,7.3,SEC,17,2019
37,Michigan State,7.0,Big Ten,17,2019
38,Louisiana,6.9,Sun Belt,17,2019
39,Miami,6.9,ACC,17,2019
40,TCU,6.6,Big 12,17,2019
41,Kansas State,6.4,Big 12,17,2019
42,Virginia,6.1,ACC,17,2019
43,Virginia Tech,5.7,ACC,17,2019
44,Arizona State,5.6,Pac-12,17,2019
45,South Carolina,5.4,SEC,17,2019
46,Mississippi State,5.0,SEC,17,2019
47,Tulane,4.0,American Athletic,17,2019
48,Ole Miss,4.0,SEC,17,2019
49,SMU,3.8,American Athletic,17,2019
50,Nebraska,3.3,Big Ten,17,2019
51,Florida State,2.8,ACC,17,2019
52,Wake Forest,2.0,ACC,17,2019
53,Florida Atlantic,1.9,Conference USA,17,2019
54,Texas Tech,1.8,Big 12,17,2019
55,Pittsburgh,1.7,ACC,17,2019
56,BYU,1.3,FBS Independents,17,2019
57,Louisville,1.0,ACC,17,2019
58,San Diego State,0.6,Mountain West,17,2019
59,California,0.4,Pac-12,17,2019
60,Oregon State,0.0,Pac-12,17,2019
61,Illinois,-0.4,Big Ten,17,2019
62,Ohio,-0.5,Mid-American,17,2019
63,Purdue,-0.8,Big Ten,17,2019
64,Western Kentucky,-1.0,Conference USA,17,2019
65,Wyoming,-1.2,Mountain West,17,2019
66,Duke,-1.4,ACC,17,2019
