,team,power_rating,conference,week,year
1,Ohio State,26.299999999999997,Big Ten,9,2024
2,Alabama,22.2,SEC,9,2024
3,Texas,21.2,SEC,9,2024
4,Georgia,20.1,SEC,9,2024
5,Notre Dame,19.1,FBS Independents,9,2024
6,Penn State,18.8,Big Ten,9,2024
7,Clemson,18.5,ACC,9,2024
8,Miami,18.1,ACC,9,2024
9,Oregon,18.1,Big Ten,9,2024
10,Ole Miss,18.1,SEC,9,2024
11,Indiana,17.6,Big Ten,9,2024
12,LSU,16.1,SEC,9,2024
13,Texas A&M,15.4,SEC,9,2024
14,Tennessee,15.3,SEC,9,2024
15,USC,13.3,Big Ten,9,2024
16,Florida,12.6,SEC,9,2024
17,SMU,12.4,ACC,9,2024
18,Boise State,12.0,Mountain West,9,2024
19,Pittsburgh,11.1,ACC,9,2024
20,Missouri,11.0,SEC,9,2024
21,Iowa State,9.8,Big 12,9,2024
22,Washington,9.7,Big Ten,9,2024
23,Arkansas,9.4,SEC,9,2024
24,Louisville,9.1,ACC,9,2024
25,Syracuse,8.4,ACC,9,2024
26,Minnesota,8.3,Big Ten,9,2024
27,Colorado,7.9,Big 12,9,2024
28,BYU,7.4,Big 12,9,2024
29,South Carolina,7.3,SEC,9,2024
30,Oklahoma,7.1,SEC,9,2024
31,Wisconsin,7.1,Big Ten,9,2024
32,Kentucky,7.0,SEC,9,2024
33,Vanderbilt,7.0,SEC,9,2024
34,Nebraska,7.0,Big Ten,9,2024
35,Kansas State,7.0,Big 12,9,2024
36,Virginia Tech,6.7,ACC,9,2024
37,Kansas,6.7,Big 12,9,2024
38,Arizona State,6.6,Big 12,9,2024
39,Army,6.4,American Athletic,9,2024
40,Auburn,6.4,SEC,9,2024
41,TCU,6.2,Big 12,9,2024
42,Iowa,6.2,Big Ten,9,2024
43,Illinois,5.9,Big Ten,9,2024
44,Navy,5.8,American Athletic,9,2024
45,California,5.6,ACC,9,2024
46,Cincinnati,5.3,Big 12,9,2024
47,Memphis,5.2,American Athletic,9,2024
48,Baylor,5.0,Big 12,9,2024
49,Maryland,4.3,Big Ten,9,2024
50,Washington State,4.2,Pac-12,9,2024
51,Virginia,3.9,ACC,9,2024
52,Texas Tech,3.6,Big 12,9,2024
53,Tulane,2.9,American Athletic,9,2024
