,team,power_rating,conference,week,year
1,Ohio State,26.3,Big Ten,6,2025
2,Oregon,25.7,Big Ten,6,2025
3,Indiana,23.0,Big Ten,6,2025
4,Alabama,22.4,SEC,6,2025
5,Penn State,21.2,Big Ten,6,2025
6,Texas,21.2,SEC,6,2025
7,Notre Dame,20.8,FBS Independents,6,2025
8,Texas Tech,20.3,Big 12,6,2025
9,Miami,20.0,ACC,6,2025
10,Ole Miss,20.0,SEC,6,2025
11,Georgia,19.5,SEC,6,2025
12,Oklahoma,19.3,SEC,6,2025
13,Michigan,18.6,Big Ten,6,2025
14,Tennessee,18.4,SEC,6,2025
15,USC,17.8,Big Ten,6,2025
16,Missouri,17.6,SEC,6,2025
17,Vanderbilt,17.3,SEC,6,2025
18,LSU,17.1,SEC,6,2025
19,Texas A&M,16.8,SEC,6,2025
20,Utah,15.8,Big 12,6,2025
21,Nebraska,14.9,Big Ten,6,2025
22,Florida State,14.5,ACC,6,2025
23,BYU,14.2,Big 12,6,2025
24,Auburn,13.6,SEC,6,2025
25,Louisville,12.2,ACC,6,2025
26,Iowa State,12.0,Big 12,6,2025
27,Washington,12.0,Big Ten,6,2025
28,Illinois,11.9,Big Ten,6,2025
29,TCU,11.8,Big 12,6,2025
30,Iowa,10.7,Big Ten,6,2025
31,Kansas,10.5,Big 12,6,2025
32,Arizona State,10.5,Big 12,6,2025
33,Mississippi State,10.4,SEC,6,2025
34,South Carolina,10.3,SEC,6,2025
35,Florida,9.8,SEC,6,2025
36,Georgia Tech,8.7,ACC,6,2025
37,Cincinnati,8.5,Big 12,6,2025
38,Memphis,8.4,American Athletic,6,2025
39,Virginia,7.9,ACC,6,2025
40,Arkansas,7.5,SEC,6,2025
41,Maryland,7.3,Big Ten,6,2025
42,Baylor,6.8,Big 12,6,2025
43,Duke,6.6,ACC,6,2025
44,Clemson,6.3,ACC,6,2025
45,SMU,6.1,ACC,6,2025
46,Pittsburgh,5.9,ACC,6,2025
47,Minnesota,5.9,Big Ten,6,2025
48,Arizona,5.8,Big 12,6,2025
49,Rutgers,5.7,Big Ten,6,2025
50,Boise State,5.6,Mountain West,6,2025
51,Houston,5.5,Big 12,6,2025
52,Kansas State,5.5,Big 12,6,2025
53,UCF,5.4,Big 12,6,2025
54,James Madison,5.2,Sun Belt,6,2025
55,Toledo,4.6,Mid-American,6,2025
56,South Florida,4.3,American Athletic,6,2025
57,Kentucky,3.8,SEC,6,2025
58,North Texas,3.8,American Athletic,6,2025
