,team,power_rating,conference,week,year
1,Clemson,29.6,ACC,16,2018
2,Alabama,26.8,SEC,16,2018
3,Georgia,25.7,SEC,16,2018
4,Ohio State,23.6,Big Ten,16,2018
5,Florida,18.5,SEC,16,2018
6,Mississippi State,17.8,SEC,16,2018
7,Oklahoma,17.4,SEC,16,2018
8,LSU,16.3,SEC,16,2018
9,Michigan,16.2,Big Ten,16,2018
10,Penn State,15.9,Big Ten,16,2018
11,Notre Dame,15.4,FBS Independents,16,2018
12,Auburn,15.1,SEC,16,2018
13,Texas A&M,14.3,SEC,16,2018
14,Wisconsin,13.9,Big Ten,16,2018
15,Stanford,12.8,ACC,16,2018
16,Oregon,12.8,Big Ten,16,2018
17,UCF,12.2,Big 12,16,2018
18,Texas,11.6,SEC,16,2018
19,Washington State,11.1,Pac-12,16,2018
20,Miami,10.3,ACC,16,2018
21,Washington,10.2,Big Ten,16,2018
22,Missouri,10.0,SEC,16,2018
23,Arizona State,10.0,Big 12,16,2018
24,Kentucky,10.0,SEC,16,2018
25,USC,9.9,Big Ten,16,2018
26,Ole Miss,9.8,SEC,16,2018
27,Utah,8.6,Big 12,16,2018
28,West Virginia,8.3,Big 12,16,2018
29,Boise State,8.3,Mountain West,16,2018
30,Utah State,8.1,Mountain West,16,2018
31,South Carolina,8.0,SEC,16,2018
32,Fresno State,8.0,Mountain West,16,2018
33,NC State,7.9,ACC,16,2018
34,Army,7.8,American Athletic,16,2018
35,Syracuse,6.7,ACC,16,2018
36,Cincinnati,6.6,Big 12,16,2018
37,App State,6.4,Sun Belt,16,2018
38,Virginia,6.4,ACC,16,2018
39,Oklahoma State,6.0,Big 12,16,2018
40,Michigan State,5.2,Big Ten,16,2018
41,Texas Tech,5.0,Big 12,16,2018
42,Minnesota,4.8,Big Ten,16,2018
43,Iowa,4.4,Big Ten,16,2018
44,Tennessee,4.4,SEC,16,2018
45,Ohio,4.0,Mid-American,16,2018
46,BYU,3.6,Big 12,16,2018
47,Georgia Tech,3.2,ACC,16,2018
48,California,3.1,ACC,16,2018
49,Iowa State,3.1,Big 12,16,2018
50,Vanderbilt,2.4,SEC,16,2018
51,Virginia Tech,2.3,ACC,16,2018
52,Memphis,1.8,American Athletic,16,2018
53,Nebraska,1.7,Big Ten,16,2018
54,TCU,1.6,Big 12,16,2018
55,Maryland,1.4,Big Ten,16,2018
56,Northwestern,1.4,Big Ten,16,2018
57,Boston College,1.2,ACC,16,2018
58,Duke,1.1,ACC,16,2018
59,Baylor,1.1,Big 12,16,2018
60,Pittsburgh,1.0,ACC,16,2018
61,Florida State,1.0,ACC,16,2018
62,Toledo,1.0,Mid-American,16,2018
63,UCLA,0.9,Big Ten,16,2018
64,North Texas,0.9,American Athletic,16,2018
65,Arkansas State,0.8,Sun Belt,16,2018
66,Temple,0.8,American Athletic,16,2018
67,Houston,0.6,Big 12,16,2018
68,Wake Forest,0.1,ACC,16,2018
69,Purdue,-0.2,Big Ten,16,2018
70,Marshall,-0.3,Sun Belt,16,2018
71,Arizona,-0.4,Big 12,16,2018
72,Florida International,-0.5,Conference USA,16,2018
73,Colorado,-0.6,Big 12,16,2018
74,UAB,-0.8,American Athletic,16,2018
75,Kansas State,-1.0,Big 12,16,2018
76,Air Force,-1.5,Mountain West,16,2018
77,North Carolina,-1.6,ACC,16,2018
78,Georgia Southern,-2.3,Sun Belt,16,2018
79,Troy,-2.5,Sun Belt,16,2018
