,team,power_rating,conference,week,year
1,Alabama,28.9,SEC,16,2016
2,Michigan,26.0,Big Ten,16,2016
3,LSU,25.8,SEC,16,2016
4,Washington,22.0,Big Ten,16,2016
5,USC,20.7,Big Ten,16,2016
6,Oklahoma,20.3,SEC,16,2016
7,Clemson,19.2,ACC,16,2016
8,Ohio State,19.1,Big Ten,16,2016
9,Florida State,18.0,ACC,16,2016
10,Auburn,17.3,SEC,16,2016
11,Louisville,15.9,ACC,16,2016
12,Miami,15.7,ACC,16,2016
13,Notre Dame,14.4,FBS Independents,16,2016
14,Tennessee,13.8,SEC,16,2016
15,Texas A&M,13.7,SEC,16,2016
16,Penn State,13.2,Big Ten,16,2016
17,Wisconsin,11.3,Big Ten,16,2016
18,Georgia,11.3,SEC,16,2016
19,Boise State,10.3,Mountain West,16,2016
20,Florida,10.2,SEC,16,2016
21,Oklahoma State,9.8,Big 12,16,2016
22,Western Michigan,9.4,Mid-American,16,2016
23,Texas,9.3,SEC,16,2016
24,North Carolina,8.5,ACC,16,2016
25,Stanford,8.2,ACC,16,2016
26,Virginia Tech,8.1,ACC,16,2016
27,TCU,8.0,Big 12,16,2016
28,Western Kentucky,7.7,Conference USA,16,2016
29,West Virginia,7.6,Big 12,16,2016
30,Ole Miss,7.5,SEC,16,2016
31,NC State,7.5,ACC,16,2016
32,Pittsburgh,7.4,ACC,16,2016
33,San Diego State,7.2,Mountain West,16,2016
34,UCLA,7.0,Big Ten,16,2016
35,Mississippi State,6.9,SEC,16,2016
36,Toledo,6.6,Mid-American,16,2016
37,Iowa,5.0,Big Ten,16,2016
38,Temple,4.9,American Athletic,16,2016
39,Washington State,4.7,Pac-12,16,2016
40,Northwestern,4.5,Big Ten,16,2016
41,South Florida,4.5,American Athletic,16,2016
42,Baylor,4.4,Big 12,16,2016
43,Arkansas,4.2,SEC,16,2016
44,Missouri,3.9,SEC,16,2016
45,Minnesota,3.4,Big Ten,16,2016
46,Utah,3.2,Big 12,16,2016
47,Colorado,3.2,Big 12,16,2016
48,Nebraska,3.0,Big Ten,16,2016
49,Louisiana Tech,2.9,Conference USA,16,2016
50,Houston,2.3,Big 12,16,2016
51,BYU,2.3,Big 12,16,2016
52,Kansas State,2.2,Big 12,16,2016
53,App State,2.1,Sun Belt,16,2016
54,Texas Tech,2.1,Big 12,16,2016
55,Air Force,2.0,Mountain West,16,2016
56,Navy,1.9,American Athletic,16,2016
57,Michigan State,1.8,Big Ten,16,2016
58,Tulsa,1.7,American Athletic,16,2016
59,Memphis,1.7,American Athletic,16,2016
60,Vanderbilt,1.2,SEC,16,2016
61,Georgia Tech,1.1,ACC,16,2016
62,Oregon,0.7,Big Ten,16,2016
63,Arkansas State,0.6,Sun Belt,16,2016
64,Indiana,0.6,Big Ten,16,2016
65,South Carolina,0.5,SEC,16,2016
66,Army,0.3,American Athletic,16,2016
67,Duke,-1.0,ACC,16,2016
68,Arizona State,-1.4,Big 12,16,2016
69,Southern Miss,-1.5,Sun Belt,16,2016
70,Kentucky,-1.9,SEC,16,2016
71,California,-2.0,ACC,16,2016
72,Troy,-2.2,Sun Belt,16,2016
73,UCF,-2.4,Big 12,16,2016
74,Colorado State,-3.2,Mountain West,16,2016
75,Maryland,-3.6,Big Ten,16,2016
76,New Mexico,-3.7,Mountain West,16,2016
77,Middle Tennessee,-4.0,Conference USA,16,2016
78,Wake Forest,-4.3,ACC,16,2016
79,Iowa State,-4.7,Big 12,16,2016
80,Boston College,-4.7,ACC,16,2016
81,Miami (OH),-4.8,Mid-American,16,2016
82,Cincinnati,-4.9,Big 12,16,2016
83,Virginia,-5.0,ACC,16,2016
84,Arizona,-5.0,Big 12,16,2016
85,Old Dominion,-5.6,Sun Belt,16,2016
86,Oregon State,-5.6,Pac-12,16,2016
87,Ohio,-5.7,Mid-American,16,2016
88,Northern Illinois,-6.7,Mid-American,16,2016
89,UTSA,-6.7,American Athletic,16,2016
90,Wyoming,-6.7,Mountain West,16,2016
91,Georgia Southern,-7.3,Sun Belt,16,2016
92,Illinois,-7.3,Big Ten,16,2016
93,Tulane,-7.3,American Athletic,16,2016
94,Louisiana,-7.4,Sun Belt,16,2016
95,South Alabama,-7.8,Sun Belt,16,2016
96,Utah State,-7.8,Mountain West,16,2016
97,Syracuse,-8.5,ACC,16,2016
98,Ball State,-8.9,Mid-American,16,2016
99,Eastern Michigan,-9.6,Mid-American,16,2016
