,team,conference,season,sp_conf_rating,firstDowns,fourthDownConversions,fourthDowns,fumblesLost,fumblesRecovered,games,interceptionTDs,interceptionYards,interceptions,kickReturnTDs,kickReturnYards,kickReturns,netPassingYards,passAttempts,passCompletions,passesIntercepted,passingTDs,penalties,penaltyYards,possessionTime,puntReturnTDs,puntReturnYards,puntReturns,rushingAttempts,rushingTDs,rushingYards,thirdDownConversions,thirdDowns,totalYards,turnovers,total_turnovers,thirdDownConversionRate,fourthDownConversionRate,possessionTimeMinutes,color,alt_color,logo,qb_average_ppa,qb_total_ppa,fpi,fpi_rank,fpi_sor,fpi_sos,def_eff,off_eff,special_eff,games_played,wins,losses,conference_games,conference_wins,conference_losses,Offense_success_rate,Defense_success_rate,Offense_explosiveness,Defense_explosiveness,Offense_ppa,Offense_power_success,Offense_stuff_rate,Defense_power_success,Defense_stuff_rate,Defense_ppa,Offense_points_per_opportunity,Defense_points_per_opportunity,Defense_havoc_total,Offense_field_position_average_predicted_points,Defense_field_position_average_predicted_points,Offense_field_position_average_start,Defense_field_position_average_start,avg_talent,sp_conf_scaled,total_turnovers_scaled,possession_scaled,third_down_scaled,offense_avg_field_position_scaled,defense_avg_field_position_scaled,offense_ppo_scaled,offense_success_scaled,offense_explosive,talent_scaled,defense_ppo_scaled,penalties_scaled,offense_ppa_scaled,defense_ppa_scaled,defense_success_scaled,defense_explosive,adjusted_metric,average_metric,in_house_pr,ranking,power_ranking,calculated_rank,combined_rank,PBR,PBR_rank,STM,STM_rank,DCE,DCE_rank,DefensivePossessionTime,DDE,DDE_rank,offensive_total,offensive_rank,defensive_total,defensive_rank,talent_scaled_rank,offense_success_rank,defense_success_rank,offense_explosive_rank,defense_explosive_rank,total_turnovers_rank,penalties_rank,power_rating,avg_expected_wins,SOS,wins_above_average,wins_above_good,wins_above_elite,SOR,most_deserving_wins,most_deserving
0,Florida State,ACC,2013,83.74075330844927,357.0,3.0,4.0,5.0,9.0,14.0,5.0,529.0,13.0,67.0,873.0,32.0,4423.0,442.0,288.0,26.0,42.0,79.0,694.0,24612.0,1.0,340.0,37.0,505.0,42.0,2844.0,82.0,157.0,7267.0,18.0,19.0,85.95115606936416,86.50515463917526,410.2,#782f40,#ceb888,"['http://a.espncdn.com/i/teamlogos/ncaa/500/52.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/52.png']",0.12700000000000003,89.2735,33.166,1.0,1.0,63.0,89.172,93.458,61.449,14.0,14.0,0.0,9.0,9.0,0.0,94.74493041749503,89.15663194653501,57.02722361026133,86.81486650029458,99.99999999999999,83.5,24.60767279590739,22.731707317073173,37.96,92.61537563769643,95.19417475728156,82.312,94.24531590413943,86.0838471023428,13.022975929978116,68.9,73.1,91.15791728926783,8.52188666440448,82.0,57.319385474860326,85.95115606936416,78.91666666666659,6.7521367521367495,95.19417475728156,94.74493041749503,57.02722361026133,919.6174299024348,82.312,48.23857868020305,99.99999999999999,92.61537563769642,89.15663194653501,86.8148665002946,255.010678910767,86.7265046853804,31.1,1.0,107.09097937993663,1.0,1.5529084606392396,0.7546616423675536,21.0,40.67043918918918,8.0,2618.9146534771467,1.0,429.8,106.0,56.0,541.1578486832882,1,424.6135573315773,1,3.0,3.0,4.0,14.0,18.0,2.0,91.0,29.6,0.7663076923076922,11,,,,105,,105
1,Alabama,SEC,2013,100.0,302.0,7.0,12.0,10.0,8.0,13.0,3.0,253.0,7.0,34.0,736.0,30.0,3230.0,365.0,244.0,11.0,30.0,63.0,520.0,24923.0,60.400000000000006,413.0,30.0,461.0,28.0,2673.0,70.0,147.0,5903.0,17.0,52.75,72.76069364161852,59.49926362297497,415.38,#9e1632,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/333.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png']",0.1815,44.96,28.891,2.0,10.0,38.0,85.927,85.666,65.635,13.0,11.0,2.0,8.0,7.0,1.0,87.05818032978598,78.62846696853723,33.426698557293946,82.313695272609,74.38152580402907,73.94736842105263,14.29598470295771,25.75,35.67564766839378,85.53756602776475,100.0,100.00000000000001,43.87635869565218,80.71270036991369,1.0,69.2,74.9,100.00000000000001,10.0,48.25,60.18430167597765,72.76069364161852,76.16666666666661,9.82905982905983,100.0,87.05818032978598,33.426698557293946,1000.0,100.0,70.09898477157361,74.38152580402907,85.53756602776474,78.62846696853723,82.31369527260901,232.41345935793987,73.55768882666999,20.2,2.0,99.2716560916155,2.0,3.105816921278479,0.52,1.0,44.00000000000001,2.0,1949.544516567992,24.0,364.62,76.0,107.0,463.822458185033,10,408.9053759373047,4,1.0,5.0,20.0,79.0,41.0,47.0,38.0,25.8,0.7934166666666668,19,5.33,2.74,0.45,5,1.869,5
2,Ohio State,Big Ten,2013,79.72446555819478,361.0,14.0,22.0,10.0,8.0,14.0,2.0,197.0,9.0,1.0,665.0,29.0,2846.0,368.0,238.0,16.0,38.0,73.0,638.0,26316.0,20.8,243.0,31.0,635.0,45.0,4321.0,79.0,169.0,7167.0,19.0,46.0,70.27138728323702,68.10162002945506,438.6,#ce1141,#505056,"['http://a.espncdn.com/i/teamlogos/ncaa/500/194.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/194.png']",-0.09700000000000002,13.259333333333332,22.063,7.0,16.0,57.0,58.72,89.412,69.145,14.0,12.0,2.0,9.0,8.0,1.0,95.15881532000051,64.40012954541938,27.50641895051129,84.17307136340287,76.53430821385443,79.57142857142857,7.970230767639251,33.507462686567166,39.529086538461534,69.16912857627423,86.70821306743638,41.455211267605634,52.660907127429816,88.15906288532678,2.2997811816192666,68.3,74.9,93.12886745187662,8.156769596199524,55.0,73.02664804469273,70.27138728323702,84.41666666666666,9.82905982905983,86.70821306743638,95.15881532000051,27.50641895051129,937.5351586534237,41.455211267605634,55.2741116751269,76.53430821385443,69.16912857627423,64.40012954541936,84.17307136340288,218.54686417538184,69.49031199491044,13.5,5.0,85.7860197164044,3.0,9.129792695507902,0.6805078125457777,9.0,37.36974416017799,20.0,2096.0748448500426,13.0,401.4,84.0,91.0,461.60847777619716,11,334.53387115935004,78,2.0,2.0,70.0,95.0,28.0,31.0,74.0,19.2,0.8191538461538461,31,5.36,2.53,0.28,7,1.677,8
3,Clemson,ACC,2013,83.74075330844927,327.0,15.0,26.0,12.0,12.0,13.0,2.0,264.0,12.0,1.0,545.0,29.0,4330.0,493.0,341.0,18.0,39.0,73.0,650.0,23374.0,1.0,252.0,27.0,544.0,26.0,2270.0,88.0,197.0,6600.0,24.0,43.75,64.3199421965318,58.462444771723106,389.57,#f56600,#522d80,"['http://a.espncdn.com/i/teamlogos/ncaa/500/228.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/228.png']",0.23199999999999998,41.580333333333336,19.981,11.0,11.0,51.0,79.539,73.966,44.842,13.0,11.0,2.0,8.0,7.0,1.0,73.2423212823897,88.95579088260766,32.89026211805893,66.79733869736204,59.10566520919954,65.56521739130434,30.96098299707343,48.519999999999996,14.274999999999991,80.74996816310257,95.19417475728156,43.24,66.5944055944056,87.67077681874231,19.846827133479238,68.5,72.7,81.50439483167796,8.52188666440448,57.25,45.90949720670389,64.3199421965318,82.5833333333333,6.068376068376082,95.19417475728156,73.2423212823897,32.89026211805893,831.8581348334359,43.24,53.766497461928935,59.10566520919954,80.74996816310255,88.95579088260766,66.79733869736205,221.09080896035076,66.95689105878674,14.8,8.0,81.05504448839156,4.0,14.471143273581472,0.7813832344503674,24.0,32.326436781609196,42.0,1842.4152404767033,30.0,390.43,120.0,32.0,444.6294005740498,17,362.38492487655145,33,12.0,18.0,6.0,80.0,115.0,29.0,81.0,16.9,0.847909090909091,53,5.72,3.48,1.64,2,2.893,2
4,Oregon,Big Ten,2013,79.72446555819478,348.0,15.0,31.0,12.0,12.0,13.0,3.0,309.0,6.0,34.0,1063.0,49.0,3789.0,405.0,256.0,17.0,32.0,106.0,912.0,20303.0,40.6,285.0,24.0,568.0,42.0,3556.0,69.0,160.0,7345.0,18.0,32.5,59.88497109826591,43.39617083946981,338.38,#007030,#fee11a,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2483.png']",0.345,56.751,27.204,3.0,9.0,34.0,71.299,87.716,50.138,13.0,11.0,2.0,9.0,7.0,2.0,84.29890184850265,74.25655475946775,55.79453780733709,88.89085950382274,81.04651830037399,68.01538461538462,19.140685624870272,26.892307692307682,53.59731285988484,83.16974271564261,95.19417475728156,56.339746835443044,51.61180000000001,84.37484586929718,28.620350109409216,68.9,71.3,78.7220049222115,8.156769596199524,68.5,17.597709497206694,59.88497109826591,78.91666666666659,3.6752136752136835,95.19417475728156,84.29890184850265,55.79453780733709,806.5636811110135,56.33974683544304,20.850253807106597,81.04651830037399,83.16974271564261,74.25655475946775,88.89085950382275,221.1207406732086,77.90951915585781,14.8,3.0,80.8192294574861,6.0,4.658725381917719,1.1307228695739828,64.0,35.9688775510204,28.0,1492.8023585412861,58.0,441.62,96.0,73.0,487.86504882304735,3,411.7668744759779,3,14.0,6.0,31.0,18.0,9.0,14.0,120.0,16.8,0.8350833333333334,43,4.88,2.09,-0.05,11,1.228,11
5,Texas A&M,SEC,2013,100.0,356.0,11.0,18.0,8.0,5.0,13.0,4.0,247.0,13.0,1.0,1012.0,47.0,4593.0,489.0,339.0,17.0,40.0,81.0,690.0,21052.0,1.0,147.0,22.0,465.0,33.0,2406.0,81.0,161.0,6999.0,21.0,55.0,80.45751445086707,64.00294550810014,350.87,#500000,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/245.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/245.png']",0.23633333333333337,46.419333333333334,18.773,16.0,21.0,32.0,40.354,87.712,52.862,13.0,9.0,4.0,8.0,4.0,4.0,100.0,57.33759360017237,34.90839615789122,78.81709489937077,83.18191831341787,59.23529411764706,22.369911234918447,35.57142857142857,39.033671399594326,59.176425838711694,91.02629091846379,50.43472527472528,57.78837719298246,91.33292231812577,1.3249452954048309,68.1,75.0,75.93308868770328,10.0,46.0,24.50558659217876,80.45751445086707,86.25000000000001,10.000000000000014,91.02629091846379,100.0,34.90839615789122,781.2098971609388,50.434725274725274,48.74111675126903,83.18191831341787,59.17642583871169,57.337593600172376,78.81709489937077,213.0327652353377,68.90357146826065,10.9,16.0,76.02480374952957,7.0,24.846535370227834,0.8832453384264428,37.0,35.113733075435206,31.0,2111.6240546706736,12.0,429.13,82.0,97.0,482.0547330604642,5,321.69588487940786,99,18.0,1.0,101.0,78.0,63.0,54.0,90.0,14.5,0.78475,16,3.17,0.65,-1.45,19,-0.235,18
6,Baylor,Big 12,2013,84.79334916864607,371.0,13.0,25.0,10.0,10.0,13.0,5.0,441.0,6.0,34.0,1056.0,49.0,4668.0,448.0,277.0,19.0,35.0,120.0,1070.0,21404.0,40.6,250.0,29.0,626.0,47.0,3376.0,95.0,202.0,8044.0,16.0,28.0,71.07254335260116,49.24447717231222,356.73,#154734,#ffb81c,"['http://a.espncdn.com/i/teamlogos/ncaa/500/239.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/239.png']",0.33599999999999997,70.617,25.521,4.0,13.0,52.0,77.794,87.875,36.75,13.0,11.0,2.0,9.0,8.0,1.0,68.7022686217719,89.0759918735672,54.999784162756384,74.35265563015354,70.19981380485369,70.3,25.645710356158816,48.903225806451616,17.9996015936255,93.18977830413252,87.77731060316489,63.96888888888889,64.85982721382288,77.7829839704069,30.678336980306355,69.5,70.5,64.17808956666961,8.617577197149643,73.0,27.746592178770953,71.07254335260116,73.41666666666664,2.307692307692321,87.77731060316489,68.7022686217719,54.999784162756384,674.3462687879054,63.968888888888884,1.0,70.19981380485369,93.1897783041325,89.0759918735672,74.35265563015355,207.64059508709187,75.08671539953922,8.3,16.0,74.33222079161935,8.0,16.655033016357613,1.5867219105746029,97.0,31.17171006333568,53.0,1723.0557462030251,38.0,423.27,84.0,91.0,455.40787151911263,13,418.16847907712565,2,35.0,27.0,5.0,19.0,91.0,8.0,124.0,13.7,0.86075,57,4.39,1.69,-0.28,13,0.779,14
7,LSU,SEC,2013,100.0,286.0,3.0,9.0,10.0,8.0,13.0,0.0,76.0,9.0,1.0,917.0,37.0,3263.0,326.0,205.0,11.0,23.0,90.0,732.0,24162.0,1.0,172.0,25.0,523.0,37.0,2630.0,92.0,161.0,5893.0,19.0,57.25,100.00000000000001,18.998527245949923,402.7,#461d7c,#fdd023,"['http://a.espncdn.com/i/teamlogos/ncaa/500/99.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/99.png']",0.30900000000000005,75.361,19.358,15.0,14.0,26.0,62.381,85.172,52.126,13.0,10.0,3.0,8.0,5.0,3.0,67.85098290565489,66.7382900230481,73.4586075627962,80.78071519126236,75.25636021256352,77.5,27.450279334949414,40.98076923076923,37.23125,70.12663989767984,90.12997181334168,1.8679452054794528,37.26354916067147,73.14426633785452,16.489059080962804,69.7,72.6,86.4176298672761,10.0,43.75,53.17134078212288,100.00000000000001,71.58333333333329,5.897435897435898,90.12997181334168,67.85098290565489,73.4586075627962,876.5239078843281,1.8679452054794439,43.464467005076145,75.25636021256352,70.12663989767984,66.73829002304808,80.78071519126237,203.86821114898225,72.36859929883416,6.5,3.0,74.25137955155944,9.0,12.850227735787941,0.8351169813118202,30.0,34.56378378378378,35.0,1410.9474679959217,71.0,377.3,84.0,91.0,484.7904681671602,4,314.21466862920175,108,9.0,29.0,60.0,3.0,51.0,61.0,99.0,13.6,0.7531666666666667,10,4.71,2.23,-0.06,10,1.269,10
8,Auburn,SEC,2013,100.0,334.0,8.0,15.0,11.0,6.0,14.0,1.0,112.0,8.0,67.0,936.0,40.0,2422.0,285.0,173.0,13.0,20.0,70.0,569.0,25369.0,20.8,377.0,35.0,729.0,48.0,4596.0,87.0,187.0,7018.0,19.0,57.25,69.61329479768786,51.39911634756995,422.82,#002b5c,#f26522,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2.png']",0.216,25.3285,19.925,12.0,2.0,9.0,66.802,83.497,63.792,14.0,12.0,2.0,9.0,8.0,1.0,78.96967133369992,64.35109753632919,21.995542349743545,67.42890806468087,65.62987232254041,81.01369863013699,7.812612124097797,36.357142857142854,25.850112359550565,61.42742876228897,90.79257780600672,19.421333333333337,39.56411889596603,72.2897657213317,11.723194748358864,70.2,73.3,86.857069086754,10.0,43.75,64.29916201117317,69.61329479768786,66.99999999999996,7.09401709401709,90.79257780600672,78.96967133369992,21.995542349743545,880.5188098795817,19.421333333333322,63.942893401015226,65.62987232254041,61.427428762288955,64.35109753632919,67.42890806468088,202.23295317844367,59.967086728213815,5.7,6.0,73.27264758891232,10.0,13.413201940770549,0.6462099317081205,6.0,37.271428571428565,21.0,1754.3167034997061,35.0,417.18,68.0,117.0,418.5037402875571,39,286.5592176616846,122,8.0,12.0,71.0,110.0,112.0,61.0,53.0,13.2,0.7254615384615384,5,6.74,4.07,1.64,1,3.121,1
9,Georgia,SEC,2013,100.0,324.0,13.0,22.0,10.0,8.0,13.0,1.0,78.0,12.0,1.0,465.0,26.0,4085.0,459.0,293.0,7.0,31.0,83.0,617.0,24082.0,1.0,73.0,25.0,486.0,26.0,2209.0,69.0,166.0,6294.0,22.0,73.0,55.45,60.730486008836515,401.37,#ba0c2f,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/61.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/61.png']",0.372,75.5375,18.376,18.0,24.0,5.0,51.848,79.552,53.583,13.0,8.0,5.0,8.0,5.0,3.0,71.89149854237803,72.84555667936503,57.220881515721885,76.6584726300707,77.42946749900771,77.5,34.45280185532677,28.72,31.849677419354848,70.39553373292091,85.67961165048544,20.404,18.792662721893493,55.077681874229356,29.37855579868709,71.7,70.8,87.05720972136768,10.0,28.0,52.435754189944134,55.45,53.24999999999997,2.8205128205128176,85.67961165048544,71.89149854237803,57.220881515721885,882.3382701942517,20.40400000000001,57.91243654822335,77.42946749900771,70.3955337329209,72.84555667936503,76.65847263007072,203.5807103541602,71.07356843324405,6.3,7.0,72.60765901981006,11.0,18.37923638218905,0.6992782936460005,13.0,19.904615384615376,112.0,1799.9843355613457,31.0,378.63,96.0,73.0,459.2519429371492,12,330.2517962603986,85,7.0,21.0,34.0,12.0,73.0,102.0,68.0,12.8,0.7100000000000001,4,,,,106,,106
